Player,Position,Age,Year 1,Year 2,Year 3,Year 4
Dylan Coghlan,D,25,,,,12.87
Victor Mete,D,24,16.57,15.29,,12.54
Teuvo Teravainen,L,28,14.28,14.33,,13.16
Seth Jarvis,C,21,,,,12.49
Jordan Greenway,L,26,12.93,12.88,14.00,12.75
Jared McCann,C,26,12.53,13.01,12.06,13.26
Jake DeBrusk,L,26,13.27,13.39,12.71,13.08
Mason Marchment,L,27,,,13.14,13.21
Mason Appleton,C,27,7.89,10.08,12.87,13.50
Jason Zucker,L,31,14.66,13.84,14.29,13.25
Chad Ruhwedel,D,32,,13.38,,13.54
Cal Foote,D,24,,,12.21,12.84
Brandon Saad,L,30,14.50,13.71,12.25,13.59
Jordan Staal,C,34,14.64,13.96,13.78,13.70
Kasperi Kapanen,R,26,14.21,12.81,13.90,12.87
Nino Niederreiter,R,30,13.96,12.86,14.18,13.34
Jake Walman,D,27,,,,13.00
Nicolas Roy,C,26,,,11.80,13.16
Alexander Kerfoot,C,28,12.75,13.16,12.28,13.36
Vinnie Hinostroza,L,29,13.77,12.23,,13.32
Sonny Milano,L,26,,11.81,,13.13
T.J. Oshie,R,36,14.66,14.44,14.46,13.62
Ryan Johansen,C,30,15.10,13.33,13.67,13.29
Marcus Johansson,L,32,13.40,14.31,12.78,13.54
Jeff Carter,C,38,14.43,13.66,13.40,14.13
Tanner Jeannot,L,25,,,,12.92
Filip Zadina,R,23,,,14.59,12.26
Alex Formenton,L,23,,,,12.71
Johan Larsson,C,30,11.86,12.77,12.13,13.58
Trevor Moore,L,28,,10.85,12.40,13.39
Alex Killorn,L,33,11.57,13.01,13.02,13.68
Andreas Johnsson,L,28,12.09,13.44,12.15,13.20
Max Comtois,L,24,,,13.62,12.34
Rem Pitlick,C,26,,,,12.82
Peyton Krebs,C,22,,,,12.36
Andrew Mangiapane,L,27,10.02,13.03,13.49,12.64
Jonathan Toews,C,34,15.98,14.47,,13.36
Nils Hoglander,L,22,,,13.97,12.06
Joe Veleno,C,23,,,,12.42
James van Riemsdyk,L,33,13.82,12.25,13.78,13.46
Jake Evans,C,26,,,9.83,13.29
Filip Chytil,C,23,12.32,13.48,12.43,12.08
Evgenii Dadonov,R,34,15.00,13.63,12.62,13.41
Radim Simek,D,30,14.31,15.31,12.75,12.85
Dominik Kubalik,L,27,,12.30,12.98,12.81
Tyler Toffoli,C,30,13.85,13.67,14.23,12.76
Frederick Gaudreau,C,29,8.98,,,12.97
Jack Roslovic,C,26,9.10,13.50,14.87,11.96
Erik Haula,"C, L",32,,12.70,12.46,13.33
Evan Rodrigues,L,29,12.80,10.05,12.45,13.44
Lars Eller,C,33,12.91,12.75,13.48,13.30
Lucas Carlsson,D,25,,,,12.51
Sean Kuraly,C,30,12.40,11.54,12.13,13.27
Yakov Trenin,C,26,,,11.23,12.80
Janne Kuokkanen,"C, L",24,,,13.49,12.21
Jakob Silfverberg,R,32,13.28,13.55,13.10,13.10
Ilya Mikheyev,R,28,,13.52,12.46,12.74
Jesper Fast,R,31,13.87,14.07,12.92,12.93
Michael Rasmussen,C,23,10.27,,11.95,12.31
Blake Coleman,C,31,13.56,13.49,12.80,13.02
Alex Newhook,C,22,,,,12.08
Conor Sheary,L,30,12.89,11.86,12.62,13.14
Rasmus Asplund,C,25,,,,12.50
Kyle Okposo,R,34,11.88,12.01,12.15,13.59
Tomas Tatar,L,32,14.10,14.06,12.86,12.97
Teddy Blueger,C,28,,13.22,12.66,12.64
Vasily Podkolzin,R,21,,,,12.03
Luke Kunin,C,25,13.13,13.19,12.96,12.12
Brock McGinn,L,29,11.81,10.69,12.77,12.90
Brendan Gallagher,R,30,13.89,14.77,12.94,12.54
Calle Jarnkrok,C,31,12.74,12.54,13.10,12.93
Anthony Duclair,L,27,11.05,12.75,13.70,12.28
Gavin Bayreuther,D,28,,,,12.56
Patrice Bergeron,C,37,13.51,13.29,13.09,13.40
Denis Gurianov,R,25,,11.02,13.58,12.17
J.T. Compher,L,28,12.46,12.37,10.62,12.85
Brendan Smith,D,34,13.65,8.98,14.94,12.81
David Kampf,C,28,11.95,11.36,12.20,12.67
Jesper Boqvist,C,24,,10.05,,12.43
Marcus Foligno,L,31,10.11,12.66,13.08,12.81
Vladislav Namestnikov,C,30,12.76,11.70,13.57,12.72
Zach Sanford,L,28,11.85,12.56,12.40,12.56
Mattias Janmark,C,30,13.40,12.27,13.55,12.61
Josh Brown,D,29,12.41,12.85,,12.37
Max Domi,L,28,14.74,14.69,13.57,11.81
Kyle Burroughs,D,27,,,,12.33
Colton Sissons,C,29,12.90,11.78,11.78,12.80
Frank Vatrano,C,29,12.98,12.21,12.76,12.31
Andrej Sekera,D,36,,15.58,12.83,12.80
Oskar Lindblom,L,26,11.84,,11.13,12.39
Sean Monahan,C,28,15.71,15.13,13.93,11.68
Morgan Frost,C,23,,,,11.93
Quinton Byfield,C,20,,,,11.53
Kevin Connauton,D,33,15.47,,,12.57
Dustin Brown,R,38,16.13,15.20,14.53,12.60
Warren Foegele,L,27,11.08,12.49,12.99,11.87
Adam Erne,L,27,9.73,10.85,12.34,12.32
Nick Bonino,C,34,12.71,12.47,11.02,13.13
Zemgus Girgensons,C,29,11.14,11.55,,12.34
Sam Steel,C,25,,13.33,12.82,11.32
Craig Smith,R,33,12.61,11.08,13.29,12.74
Ryan Dzingel,L,31,15.02,11.86,10.93,12.73
Eeli Tolvanen,R,23,,,12.47,11.54
Matt Nieto,L,30,11.10,11.02,,12.52
Artturi Lehkonen,L,27,12.73,12.82,11.20,12.11
Nick Seeler,D,29,11.51,,,12.19
Ondrej Kase,R,27,,13.94,,11.80
Adam Lowry,C,30,12.25,12.44,12.18,12.20
Dryden Hunt,L,27,10.96,,,12.06
Jason Dickinson,C,27,11.80,12.65,14.31,11.46
Jonathan Dahlen,C,25,,,,11.85
Philipp Kurashev,C,23,,,11.55,11.56
Owen Tippett,R,24,,,10.61,11.72
Gerry Mayhew,C,30,,,,12.19
Chris Wideman,D,33,,,,12.26
Tyler Motte,"C, L",28,11.02,10.97,,12.06
Alex Galchenyuk,C,29,12.52,10.59,11.66,12.29
Michael Amadio,C,26,9.54,11.35,,11.89
Laurent Dauphin,C,28,,,,11.91
Mathieu Joseph,R,26,10.47,10.56,10.24,11.98
Daniel Sprong,R,26,10.67,,10.99,11.78
Jesperi Kotkaniemi,C,22,11.80,11.26,12.80,10.81
Jimmy Vesey,L,29,13.08,12.45,11.08,12.12
Yegor Chinakhov,R,22,,,,11.22
Logan O'Connor,R,26,,,,11.72
Dillon Dube,C,24,,11.84,12.28,11.15
Michael Raffl,L,34,10.42,10.95,11.97,12.64
William Lagesson,D,27,,,,11.61
Cody Eakin,C,31,12.92,12.23,11.22,12.26
Maxim Mamin,C,28,,,,11.78
Danton Heinen,C,27,12.47,12.11,12.51,11.51
Gabriel Carlsson,D,26,,,,11.49
Anders Bjork,L,26,,12.00,12.20,11.40
Ryan Donato,C,27,11.62,9.79,10.83,11.91
