,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
469,Brett Seney,L,26.6,69,156,0.1258732257490348,0.0433093375390342,0.14220757266765371,,,0.07490727910835761,2.8406940982795033,0.4115263732404857,,,0.03538664859389059,,,3.3784264508892066,3.0242766988992127,2.888886567971569,5.3764003234672835
470,Sven Baertschi,L,30.0,71,190,0.1316217344502839,0.1119828838702927,0.07630157194251995,0.13812381184677774,,0.0522209911247979,2.9072224871860084,0.359971596955771,0.17817841712634766,,0.033453865473331804,0.21107561740518924,,3.1957743531278857,3.07803350942385,3.0300040395396883,5.372912476569192
471,Sean Monahan,C,28.0,74,196,0.10702315532643213,0.0514625238517311,0.058367737780010184,0.35042034404410566,0.06852709556278468,0.05112349696307315,2.865124353322208,0.4917165947983956,0.2920782582382105,0.18398664476803978,0.04227999240480292,0.18756350872869615,0.006345055660596884,3.1667415304365876,3.11363392813825,3.0208516175696642,5.371081143905643
472,Dylan Strome,C,25.6,75,200,0.09241842943510557,0.0671184665962289,0.17244099929061932,0.28059944956648386,0.15250146655764182,0.035946623538436626,1.9114983233055685,0.2969095361486598,0.6537710332890813,0.11367736222963412,0.09014587396718005,0.349622336682847,0.025223911490723533,3.496680390388827,3.0458744830375566,2.7087967101257275,5.3704473496848495
473,Charlie McAvoy,D,24.8,73,209,0.2905060691582322,0.1095097706818204,0.019326329753588486,0.07261983167495988,0.06869188922039088,0.12702134858258463,2.500648066002092,0.6581210593479593,0.3459616151752518,0.1660016153407241,0.051840090856902284,,0.0613300389251579,2.573512976275423,3.8097481734796936,2.7746290975022614,5.369889832491544
474,Michael Carcone,L,26.4,69,170,0.20673489980520535,0.0673096262615229,0.08359320160284406,0.16798350690421726,0.12411309959071998,0.06731054871495785,2.9264848607160094,0.40786001228009633,0.14382405503435944,0.1230064671921929,0.045403643620795305,0.1792609872170341,0.16878732419120776,3.1861649174745548,3.0892736925242694,3.0221403853191977,5.369226325761044
475,Justin Dowling,C,32.0,70,180,0.16697294666841417,0.2172109823669999,0.06841755550699083,0.15999928548914547,0.12844665571272326,0.05391684081588155,3.0115291531047816,0.43621346948778117,0.14297242362711549,0.13199456540682533,0.033308420309549336,0.21332622087295572,0.004037532953809792,3.1425928262338227,3.0967672969848947,3.0582873042466496,5.368331081303356
476,Taro Hirose,L,26.3,70,162,0.36343336382127334,0.0588585554778436,0.06852406465250298,0.2368312117783881,,0.09151449226000045,2.8659125510036074,0.37767933967197176,0.16560468677071724,,0.03166655839724443,0.23555711260578027,,3.078324397441164,3.157538584060282,3.050337887019129,5.361967197838424
477,Lucas Raymond,L,20.5,71,176,0.17054392852848138,0.1090135861048424,0.12671955144718425,0.1462084160490822,0.1540762945506903,0.12332365680580536,2.083217883467786,0.6978330413955378,0.1947458712492718,0.21563263082104223,0.05393852678842779,0.3346794438936907,0.08561676812093226,3.290929973951621,3.2742154760024134,2.673381975524864,5.357021398483317
478,Noah Juulsen,D,25.5,74,201,0.0222620513905255,0.1786439194843741,0.024186349365177,0.1231075387846561,0.0105849202769742,0.027188950455830394,3.0501014589682085,0.41395974369474337,0.20367094805191896,0.039413692133281567,0.02534279438646251,,0.055137966718254224,3.080161422422136,3.09429686692563,3.0928944945213157,5.350519960067768
479,Kevin Bahl,D,22.3,78,230,0.1877391936878849,0.3910205655460659,0.0239716546750094,0.1334753180195709,0.0344976998103583,0.028738393322579145,3.010300136199047,0.40381318259205584,0.19562724417856475,0.0299391527531267,0.03945119022653417,,0.04605208952303112,3.052653839998583,3.0828473523060262,3.113840960017009,5.340285459482295
480,Taylor Raddysh,R,24.6,75,198,0.690897049950034,0.2814443864757319,0.10578367840086883,0.1818640099046506,0.23904950444949224,0.13813868382583191,2.3290668066845996,0.9087820458017156,0.14519418217971558,0.2296919711015748,0.02313682448236442,0.18619127549823183,0.009911566966648378,3.2624948285847464,3.235136262021207,2.7011209202969853,5.329731078248957
481,Kevin Fiala,L,26.2,70,204,0.17094666112125737,0.3561849353187752,0.05169721053584457,0.16059262275377317,0.19195297047711377,0.12189943632462401,2.1412652801556376,0.2753208215650854,0.7453019714438108,0.07988180478911269,0.09633333883997272,0.24292072644205073,0.07354839777458735,2.5291807167089537,3.743056811852058,2.8236210594730475,5.327294367877958
