,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
240,Gustav Forsling,D,26.3,72,186,0.7860760699999989,2.6258684799999994,0.48790926075028884,0.5172488507943703,0.03170411062619076,0.5372972095020113,76.81369999999998,18.731055940000036,1.2059577701156343,0.08749216528307527,0.4378550624390295,0.0,0.3108303965159195,12.73297275898398,14.8117191169924,12.72688296659381,40.27157484257019
241,Josh Bailey,R,33.0,73,200,1.3885461300000004,1.0869168899999997,0.6283857177770352,0.5801293677873985,0.13925896000942262,0.7547355932888097,70.27160000000002,13.257703619999987,1.9900912536501347,0.036734607339202405,0.4826378608318637,2.4429001221514026,0.036987743361662564,11.72918902929567,15.675402334800008,12.836355773416773,40.24094713751245
242,Anthony Mantha,R,28.0,77,234,1.7700280599999993,0.04241776,0.8470833631288862,1.3025741663866024,0.2464959011165478,0.7159576412158587,65.51140000000004,14.513018119999993,0.7703607386637472,0.18390384293686152,0.3489303973664277,1.887237873426327,0.03771862995302667,17.363202493219376,13.774380855605608,9.0,40.13758334882498
243,Joonas Donskoi,R,30.5,72,185,1.2743630299999993,1.6411563000000011,0.670743139803952,1.6204086685787806,0.23909461509810256,0.697842800899308,73.8213,11.81717521,1.3091107144520848,0.2686618269894802,0.5231217507349959,1.8817925211486475,0.013550491304798462,13.816850278833337,14.570997973300262,11.443409431910691,39.83125768404429
244,Sonny Milano,L,26.4,72,194,1.536708789999999,0.06830471,0.7678739917026713,1.3910808115722157,0.0,0.6874448056808684,68.74870000000001,12.63414263,1.3631136378740785,0.0,0.6380981228024158,1.541215180423849,0.0,13.565396827661655,13.310856769882541,12.945617990898533,39.82187158844273
245,Oliver Wahlstrom,R,22.3,74,204,1.6464176500000003,0.0942387299999999,1.0934559789977238,2.164752628726687,0.3201557962215691,0.6382073310111549,73.72279999999999,11.031393430000003,1.3230310671047445,0.4328963254808796,0.38160311195171875,1.9170899895209903,0.018673320897343457,19.237474543658866,11.0,9.445501333572626,39.68297587723149
246,Devon Toews,D,28.6,73,191,1.7824562499999976,2.6054554899999967,0.44713544296286567,0.6416716773690982,0.030476392319903182,0.47464959063134504,68.76760000000002,19.922162340000014,1.218100409767062,0.0954914882947778,0.513313929806639,0.0,0.05233594445567552,12.225155706055482,14.688966880736611,12.689200679875345,39.60332326666744
247,Blake Coleman,C,30.8,71,199,0.16193178999999994,1.4779732600000002,0.9184644513530629,1.8185629328110515,0.7086528034480061,0.6576434781502255,78.9137,13.130891100000008,0.8698050376687457,0.21622963066189663,0.4456729787921764,1.2905765040598811,0.03061035693041864,18.750332312214244,12.699263563217858,8.0,39.4495958754321
248,Jesperi Kotkaniemi,C,22.2,74,201,1.6432982600000017,0.1408041100000001,0.8300285434975726,1.3281780173796558,0.4270614194044651,0.6546967704207303,70.23150000000003,12.184320810000013,1.3192239811851112,0.39828648666590183,0.4042332411953507,2.1710501117271903,0.023036136045601712,15.928055276514987,12.804022690320597,10.627323849041064,39.359401815876645
249,Ryan Getzlaf,C,37.4,76,220,1.7591524099999993,0.5746564100000002,0.34487540191590454,1.1261085702939655,0.21818068347824893,0.7614003579008712,70.60199999999999,14.419850289999998,1.533718800950396,0.3253897897423602,0.5401100555863378,2.017328563980624,0.009611862916965894,8.888925281302326,17.41809918269104,13.0,39.307024463993365
