,Player,Position,Age,Height,Weight,GP
786,Ryan McLeod,C,24.0,74,207,73.0072
787,Ryan Murray,D,30.0,73,206,
788,Ryan Nugent-Hopkins,C,30.5,72,195,73.1471
789,Ryan O'Reilly,C,32.6,73,207,72.1192
790,Ryan Poehling,C,24.7,74,196,71.60230000000003
791,Ryan Pulock,D,29.0,74,216,
792,Ryan Reaves,R,36.7,74,225,69.25219999999999
793,Ryan Strome,C,30.2,73,191,73.7138
794,Ryan Suter,D,38.7,73,205,
795,Saku Maenalanen,R,29.3,76,214,71.1578
796,Sam Bennett,C,27.3,73,195,73.56979999999997
797,Sam Carrick,C,31.7,72,200,70.97509999999996
798,Sam Gagner,C,34.1,71,201,68.64939999999999
799,Sam Lafferty,C,28.6,73,195,69.55389999999997
800,Sam Poulin,R,22.6,73,208,62.79130000000002
801,Sam Reinhart,C,27.9,74,193,77.5829
802,Sam Steel,C,25.7,71,184,70.92980000000003
803,Sammy Blais,L,27.3,74,206,72.19909999999999
804,Sampo Ranta,L,23.3,74,195,61.89120000000002
805,Samuel Bolduc,D,22.8,76,220,
806,Samuel Fagemo,L,23.5,72,200,63.26119999999998
807,Samuel Girard,D,25.4,70,170,
808,Samuel Knazko,D,21.1,73,198,
809,Samuel Walker,C,24.3,70,180,69.0249
810,Scott Harrington,D,30.6,74,204,
811,Scott Laughton,C,29.3,73,190,72.92479999999998
812,Scott Mayfield,D,31.0,77,220,
813,Sean Durzi,D,24.9,72,195,
814,Sean Farrell,C,21.9,69,175,67.0981
815,Sean Kuraly,C,30.7,74,213,68.6918
816,Sean Monahan,C,29.0,74,196,65.52990000000001
817,Sean Walker,D,28.9,71,195,
818,Sebastian Aho,C,26.2,72,176,74.35230000000001
819,Semyon Der-Arguchintsev,C,23.0,70,188,65.86219999999999
820,Seth Jarvis,C,21.7,70,175,79.15320000000003
821,Seth Jones,D,29.0,76,213,
822,Shane Bowers,C,24.2,74,186,65.71439999999997
823,Shane Pinto,C,22.9,75,201,74.57
824,Shane Wright,C,19.7,72,192,65.63070000000002
825,Shayne Gostisbehere,D,30.4,71,180,
826,Shea Theodore,D,28.2,74,197,
827,Sheldon Dries,C,29.4,69,180,71.44340000000001
828,Sheldon Rempal,R,28.2,70,165,71.67660000000002
829,Sidney Crosby,C,36.2,71,200,72.78240000000001
830,Simon Benoit,D,25.0,75,203,
831,Simon Edvinsson,D,20.7,78,209,
832,Simon Holmstrom,R,22.4,74,205,73.47590000000002
833,Sonny Milano,L,27.4,72,194,70.522
834,Spencer Stastney,D,23.7,72,184,
835,Stanislav Svozil,D,20.7,72,183,
836,Stefan Noesen,R,30.6,73,205,77.15164944444443
837,Steven Fogarty,C,30.5,75,204,70.83099999999999
838,Steven Lorentz,C,27.5,76,206,70.36629999999997
839,Steven Santini,D,28.6,74,209,
840,Steven Stamkos,C,33.6,72,182,73.38939999999998
841,T.J. Oshie,R,36.8,72,187,71.91310000000001
842,TJ Brodie,D,33.3,74,187,
843,Tage Thompson,"C, R",25.9,78,220,70.6965
844,Tanner Jeannot,L,26.3,74,208,74.1344
845,Tanner Laczynski,C,26.3,73,190,64.40890000000002
846,Tanner Pearson,L,31.1,73,201,68.16260000000003
847,Taro Hirose,L,27.3,70,162,70.05690000000001
848,Taylor Fedun,D,35.3,73,200,
849,Taylor Hall,L,31.9,73,210,72.88719999999999
850,Taylor Raddysh,R,25.6,75,198,73.88319999999999
851,Teddy Blueger,C,29.1,72,185,69.63469999999998
852,Teuvo Teravainen,L,29.1,71,191,73.51359999999998
853,Thomas Bordeleau,C,21.7,70,175,70.25350000000003
854,Thomas Chabot,D,26.7,74,195,
855,Thomas Harley,D,22.1,75,205,
856,Thomas Novak,C,26.4,73,179,71.95380000000002
857,Tim Berni,D,23.6,72,192,
858,Tim St��tzle,L,21.7,72,193,74.52480000000003
859,Timo Meier,R,27.0,73,220,74.7498
860,Timothy Liljegren,D,24.4,73,192,
861,Tobias Bjornfot,D,22.5,72,200,
862,Tom Wilson,R,29.5,76,220,63.31149999999999
863,Tomas Hertl,C,29.9,75,215,75.61059999999998
864,Tomas Nosek,L,31.1,75,205,69.7971
865,Tomas Tatar,L,32.8,70,173,75.22999999999998
866,Tony DeAngelo,D,27.9,71,180,
867,Torey Krug,D,32.5,69,194,
868,Travis Boyd,C,30.0,72,190,70.4743
869,Travis Dermott,D,26.8,72,202,
870,Travis Hamonic,D,33.1,73,200,
871,Travis Konecny,R,26.6,70,175,74.4281
872,Travis Sanheim,D,27.5,75,181,
873,Trent Frederic,C,25.6,75,214,73.30650000000003
874,Trevor Lewis,C,36.7,73,201,67.82040000000002
875,Trevor Moore,"C, L",28.5,70,195,69.37960000000001
876,Trevor Zegras,C,22.5,72,185,78.23079999999996
877,Trevor van Riemsdyk,D,32.2,75,191,
878,Trey Fix-Wolansky,R,24.4,67,191,65.3791
879,Tristen Robins,C,21.9,70,176,69.34499999999998
880,Troy Stecher,D,29.5,70,184,
881,Troy Terry,R,26.1,72,185,71.20740000000002
882,Tucker Poolman,D,30.3,74,199,
883,Ty Dellandrea,C,23.2,73,195,74.13069999999998
884,Ty Smith,D,23.5,71,180,
885,Tyce Thompson,R,24.2,73,175,71.50019999999998
886,Tyler Angle,C,23.0,70,171,72.6312
887,Tyler Benson,L,25.5,72,190,62.51859999999997
888,Tyler Bertuzzi,L,28.6,73,186,70.77380000000001
889,Tyler Johnson,C,33.2,68,185,71.6626
890,Tyler Kleven,D,21.7,76,200,
891,Tyler Motte,"C, L",28.6,70,192,71.14309999999999
892,Tyler Myers,D,33.7,80,229,
893,Tyler Pitlick,C,31.9,74,200,72.3973
894,Tyler Seguin,C,31.7,73,205,73.73310000000005
895,Tyler Toffoli,R,31.4,72,203,75.89450000000002
896,Tyler Tucker,D,23.6,73,204,
897,Tyson Barrie,D,32.2,71,197,
898,Tyson Foerster,R,21.7,74,194,66.87709999999998
899,Tyson Jost,C,25.6,71,187,73.04990000000001
900,Urho Vaakanainen,D,24.7,74,200,
901,Valeri Nichushkin,R,28.6,76,210,73.66250000000002
902,Vasily Podkolzin,R,22.3,73,190,64.3111
903,Victor Hedman,D,32.8,79,244,
904,Victor Mete,D,25.3,69,187,
905,Victor Olofsson,L,28.2,71,181,74.15179999999997
906,Victor Soderstrom,D,22.6,71,184,
907,Viktor Arvidsson,"L, R",30.5,70,185,71.12960000000002
908,Ville Heinola,D,22.7,71,181,
909,Vince Dunn,D,26.9,72,200,
910,Vincent Desharnais,D,27.3,78,215,
911,Vincent Iorio,D,20.9,76,200,
912,Vincent Trocheck,C,30.2,71,184,77.7216
913,Vinni Lettieri,C,28.6,70,184,68.72939999999997
914,Vinnie Hinostroza,C,29.5,70,183,69.60790000000003
915,Vitali Kravtsov,R,23.8,75,186,71.57179999999998
916,Vladimir Tarasenko,R,31.8,73,228,69.8562
917,Vladislav Gavrikov,D,27.9,75,221,
918,Vladislav Kolyachonok,D,22.4,73,193,
919,Vladislav Namestnikov,C,30.9,72,179,73.61089999999999
920,Wade Allison,R,26.0,74,205,73.1894
921,Walker Duehr,R,25.9,74,210,68.03519999999999
922,Warren Foegele,L,27.5,74,198,73.91770000000001
923,Wayne Simmonds,R,35.1,74,184,67.25459999999997
924,Will Borgen,D,26.8,75,204,
925,Will Cuylle,L,21.7,75,211,66.5749
926,William Bitten,C,25.2,71,180,72.10409999999999
927,William Carrier,L,28.8,74,218,69.83819999999997
928,William Dufour,R,21.7,74,215,64.12720000000002
929,William Eklund,L,21.0,71,181,72.07339999999995
930,William Karlsson,C,30.7,72,190,76.72150000000002
931,William Lockwood,R,25.3,71,172,72.3048
932,William Nylander,R,27.4,72,204,77.67579999999998
933,Wyatt Johnston,C,20.4,73,185,77.40520000000001
934,Wyatt Kaiser,D,21.2,72,173,
935,Yakov Trenin,C,26.7,74,201,74.52560000000003
936,Yanni Gourde,C,31.8,69,174,72.84880000000001
937,Yegor Chinakhov,R,22.7,73,204,60.17459999999999
938,Yegor Sharangovich,C,25.3,74,196,74.1949
939,Zac Dalpe,C,33.9,74,197,68.4414
940,Zac Jones,D,23.0,70,178,
