,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60
310,Evander Kane,L,31.2,74,210,0.3338366984166484,0.1203520298076957,0.1062159341418227,0.9402185392579012,0.2705201108852804,0.0525068051388046,2.1320461979047263,0.34383335544372845,0.3034227323654871,0.10424849758436044,0.03776589065341767
311,Evgeni Malkin,C,36.2,75,195,0.32498915574424203,0.0411260613928734,0.0671400676564531,0.1712360767400663,0.1301081854345355,0.059950390944576,1.3907102358147794,0.33653580048077764,0.19869141499586548,0.06047367170857993,0.056636777497576556
312,Evgenii Dadonov,R,33.6,71,189,0.21860081403526246,0.0799877856009377,0.1614926001512373,0.5826744235896487,0.0878367662475224,0.0618472893698532,1.4575709382393702,0.18902775963587207,0.6926349391299762,0.28887763986667875,0.056850786690334755
313,Evgeny Kuznetsov,C,30.4,74,207,0.20560446590200326,0.1860861312684787,0.0904526064176215,0.095923095482807,0.1112843446529763,0.0464346782700988,3.6104690484755584,0.3122503900175839,0.3972898465460084,0.12941424856456063,0.05262609464148362
314,Evgeny Svechnikov,L,25.9,75,208,0.09950212265726328,0.0873407285810439,0.0587951920406451,0.1339523408680804,0.1034737750676426,0.026231067251067,5.779267492511485,0.39741727343337435,0.14566964563232923,0.07198353035213265,0.11575239011533886
315,Fabian Zetterlund,L,23.1,71,220,0.3092641626613053,0.1544857590400729,0.0586604206227836,0.1589406452161344,,0.0464426120614463,3.416116231921859,0.5134167049737708,0.15637570936411574,,0.041328820822128486
316,Filip Chytil,C,23.1,74,204,0.1771968071224589,0.0568118020025205,0.0941981166621261,0.1381236715042265,0.1033028592291114,0.1424459939798388,1.7595736159649589,0.28278924518427695,0.11818457520170522,0.11044322641397752,0.030612004982455684
317,Filip Forsberg,L,28.1,73,205,0.10184730222293643,0.1808186215583792,0.0608808804060278,0.3364387945135231,0.1516499328107335,0.0450896267467928,1.580224955504753,0.2640852076659429,0.19688926686423575,0.15307449113002336,0.03153149752615451
318,Filip Hallander,C,22.3,73,190,0.07817718607782964,0.0911015142460123,0.0518063866878158,,,0.0336803149034135,5.3897055012310275,0.47447143695922656,,,0.03529392463500056
319,Filip Hronek,D,24.9,72,190,0.1277136624405741,0.1385841492891084,0.0230965756462099,0.3651097251181207,0.0437048790492263,0.03862304226868204,2.451240214666853,0.46577352641075315,0.4524198662279619,0.07653531224932646,0.03472571527525964
320,Filip Zadina,R,22.8,72,190,0.19241627228269875,0.1690002352372501,0.0400736165926897,0.1350209694086349,0.1492237202924558,0.0495652895120163,1.561851196497285,0.3432174984148119,0.16829998443173905,0.12558411218977666,0.03828512521478284
321,Frank Vatrano,R,28.6,71,197,0.24493807531319936,0.3248221474316404,0.0632142514489336,0.2251686640731871,0.268372689479523,0.0602760273812161,2.7067960322122535,0.676775846017665,0.10365797702867392,0.15835068812673347,0.034559980031040424
322,Frederick Gaudreau,C,29.4,72,184,0.12549150256484878,0.2021616974444596,0.0495293667795369,0.2128226481032731,0.3715495019458893,0.0764749830930948,3.4953781712427054,0.21301568586941685,0.15372083354364524,0.07990077174156633,0.02177834537831335
323,Frederik Gauthier,C,27.4,77,239,0.07624441966422467,0.2616520020930508,0.1073855653889757,,0.1846860902922048,0.0456311654527429,2.865611367579352,0.5813325057975987,,0.1102424642311954,0.03916480816022846
324,Fredrik Claesson,D,29.9,73,196,0.0353938651741499,0.1426947261700039,0.0291722974067024,,0.0481225271288863,0.026964605651281087,2.8150054547016423,0.5866908995418071,,0.031640033203539766,0.02943286060471187
325,Fredrik Karlstrom,C,24.7,75,200,0.05349343315662584,0.0694969270204625,0.06212222690952,0.1500345369752508,,0.0381980342857639,4.130703189530808,0.43571077288677257,0.18424435116713248,,0.033237387532379835
326,Gabriel Carlsson,D,25.7,77,195,0.0687316493277296,0.1874311246866097,0.0188967606435706,0.1352412633418879,0.1241706330106262,0.03244431099656607,2.079941006374941,0.5336593912670096,0.17336087021949867,0.09574164114811061,0.029114000366833804
327,Gabriel Fortier,L,22.7,70,177,0.2598387267642754,0.0432729464953381,0.0604815691166457,0.2296094906999471,,0.0481632847489236,4.434449778721143,0.30589801320681104,0.14921285608977905,,0.02775375970260604
328,Gabriel Landeskog,L,29.9,73,215,0.13520947170965936,0.1688774950579794,0.06530918459355,0.1251090373356233,0.0557750239261768,0.0403657516107702,2.0043175272396336,0.1899675883986243,0.11184553763274557,0.07113338180963705,0.039325327042251064
329,Gabriel Vilardi,"C, R",23.1,75,215,0.13932276594121298,0.1679761678137706,0.0661072032699281,0.1751762103956525,0.142367342857179,0.0660528128810394,3.6179835198629635,0.3833279218558831,0.14442357217603055,0.15431953726048456,0.042340720705225335
330,Garnet Hathaway,R,30.9,75,208,0.1885315881008472,0.2460201510175264,0.0596610628748773,0.1491528159712912,0.1423782373853658,0.1170394743120782,2.7616471606633604,0.42563862386380874,0.1899309857113115,0.10312078431228132,0.031155831464905717
331,Garrett Pilon,C,24.5,72,191,0.05104026317665203,0.0977945895901869,0.0361510227229202,,,0.0349667948980901,3.2379451431424844,0.2792787995962801,,,0.03622441925539178
332,Gavin Bayreuther,D,28.4,73,196,0.0726998327315378,0.1620737408780599,0.0276384886743396,0.1351021251732126,0.0624037421972464,0.045801120906016055,5.861316175570126,0.6951427873861805,0.1516697388598411,0.06829907316492373,0.027454455584248985
333,Gemel Smith,C,28.5,70,203,0.0934761142452894,0.1294627474805691,0.0476679477872542,0.170631981731625,,0.0456420323422116,2.2300166344671055,0.4910003772476058,0.1575819335429237,,0.03052257276262927
334,Gerry Mayhew,C,29.8,69,161,0.1352185479112599,0.0394636240659673,0.1000970638625024,0.1532707820359757,,0.0492995403136489,3.5018374091325244,0.46013324948516304,0.14366955410950896,,0.030408270107284946
335,Givani Smith,R,24.6,74,214,0.09218082985059899,0.1422805236027841,0.0640110376618158,0.1571911464662931,0.0761884805064019,0.0416145868923386,2.4645330977692304,0.24673559986330668,0.16708660297300926,0.07416057239203591,0.025400707897401217
336,Glenn Gawdin,C,25.5,73,191,0.018848591358112142,0.1879048637891768,0.0857442916691314,,0.0695260764737512,0.047212012799366,3.579302999188528,0.3282921948410765,,0.11790966186079031,0.035803525501804954
337,Grant Hutton,D,27.2,76,214,0.029346901395103,0.225958787817269,0.0267977546125249,0.1452852614504896,0.0410915262662498,0.026296667596324815,2.381876201652806,1.1765284400285727,0.2400752226560249,0.07125411421857965,0.025664464649207085
338,Greg McKegg,C,30.3,72,195,0.04188978576180596,0.1437911823722248,0.0613666234686079,0.1191705702107697,0.127616249287847,0.0441160036670639,3.4052227225249148,0.3907381950220506,0.11272668135638694,0.09393708834183172,0.03675850813669674
339,Greg Pateryn,D,32.3,75,212,0.0178246576065292,0.1852125121829228,0.0158226569514067,0.1474166146957239,0.0121271487523283,0.018742922690114253,2.994609463686375,0.22167544324808333,0.22454433747178992,0.07151942270418574,0.026189344253409606
340,Gregory Hofmann,C,29.9,72,194,0.1644443298182702,0.1471882497052923,0.0848695079701185,0.134519149871609,0.093389073315351,0.049667265101187,2.869716381456536,0.3232938417983991,0.10960527617656865,0.10402594805721255,0.030883887152850457
341,Grigori Denisenko,L,22.3,71,186,0.16910529343733133,0.0521842456049179,0.0582245777598593,0.1597330314721644,,0.0588216647832446,4.511550509525522,0.3767351109311275,0.15148126790902697,,0.02973027850908061
342,Guillaume Brisebois,D,25.2,74,175,0.0340680725089283,0.1765979687872779,0.0178918260972545,,,0.03183785169146312,2.92811850853069,0.5003959332898356,,,0.026183946489547767
343,Gustav Forsling,D,26.3,72,186,0.380318148083949,0.2508268304725587,0.0266896037670026,0.0655427510897277,0.0304365314102904,0.028192244555655634,3.283815054170985,0.3190455572980576,0.16161938828732,0.08135751678898454,0.07682856834968277
344,Gustav Lindstrom,D,23.9,74,186,0.0360325086479681,0.2143369761534613,0.0205620068786366,0.1260853847257088,0.0315965648228664,0.0330825887533065,2.3578229344036847,0.2621632079013436,0.16458750621450483,0.05401040555428096,0.03829321117335938
345,Gustav Nyquist,"C, L",33.1,71,180,0.18982785297476096,0.0675876128423981,0.1247556935515982,0.3976659707588684,0.3621447866376591,0.0631020538941457,8.368028806714278,0.2343706407862097,0.32238933311787094,0.08614547488432056,0.05273698458679995
346,Hampus Lindholm,D,28.7,76,215,0.6405842090627558,0.1224572013864318,0.0473290139876842,0.0842019307918595,0.0371240111685941,0.09134383427225914,5.467496263373208,0.27342782202835336,0.1837769758303787,0.022232325503039482,0.05308750868836848
347,Hayden Hodgson,R,26.6,74,208,0.0685818317320732,0.1528312862275427,0.0397085939406773,0.1494255635666732,,0.0553873419050552,3.2005842263561814,0.41112180504907975,0.18740102309034393,,0.032537460704849114
348,Haydn Fleury,D,26.2,76,208,0.1473232396576982,0.1326998587855537,0.0297313701414701,0.1446665478103919,0.0463598750780931,0.03904013855684813,3.147075474150564,0.5964449977649138,0.21092953582338822,0.023219305400762957,0.024497515155827553
349,Hendrix Lapierre,C,20.6,72,180,0.2270195255073944,0.1083043961639526,0.0667136767148049,0.2569940421786114,,0.0386039111003742,4.167195722545319,0.36075468478475564,0.13767516430260435,,0.0428059808321349
350,Henri Jokiharju,D,23.3,72,200,0.3685601896267424,0.0987418640346691,0.0279963518677415,0.1095215451720965,0.031510868407067,0.05722405574761718,5.011951790470454,0.2412639677271036,0.16081403791240861,0.03590466086279608,0.019419467618408206
351,Henrik Borgstrom,C,25.2,75,199,0.2605386633661137,0.1144014032759821,0.0577088210586354,0.1337633926620494,0.1451557005156379,0.0472463932727314,2.9456912176940744,0.4135702838287698,0.16366047593217942,0.1679119626161281,0.029063684016605654
352,Hudson Fasching,R,27.2,75,204,0.06817202534443585,0.1560037883946859,0.0368396534073963,,0.1194410946701947,0.0408396667988807,3.474076422590614,0.3724870657552016,,0.17664780530445778,0.03757943904810184
353,Hunter Drew,D,23.9,74,191,0.0347338108825334,0.2674881493659253,0.0191322458525155,,,0.020597660094836042,1.967620845081695,0.30004721559816594,,,0.023470773734702494
354,Ian Cole,D,33.6,73,225,0.0105655929083558,0.3491258179007998,0.0153566354826309,0.1588568349628294,0.0297433244928588,0.022853975059547026,2.691992977331107,0.9050798118356655,0.1896433589988808,0.04726055282672431,0.029071006377667713
355,Ian Mitchell,D,23.7,71,193,0.1714140856968224,0.2874456370788556,0.0181954016325554,0.169972091894986,0.0669559109654524,0.023733841966717076,1.8488380648396443,0.5218248740959988,0.1571320568785237,0.02086496200583888,0.03263086034765862
356,Ilya Lyubushkin,D,28.5,74,200,0.0194647848321295,0.1115071310978309,0.0217690194783205,0.1285860532292301,0.134697670485978,0.032746623999282735,2.8173309549997847,0.869361111926213,0.1866816603333522,0.14200614184002755,0.027273316338742144
357,Ilya Mikheyev,R,28.0,74,192,0.16315974663192614,0.0747889016815165,0.0610483899792443,0.163300833456341,0.3904572731696308,0.0367098133112877,1.7952923856575564,0.5193172047470848,0.13642296257165212,0.08387350048883081,0.03228917885508396
