,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
Joe Pavelski 2009,Joe Pavelski,2009,C,24.225,71,200,,,,82,80,,,,10.7878,13.7154,2.9276
Joe Pavelski 2010,Joe Pavelski,2010,C,25.225,71,200,,,82.0,80,67,,,10.7878,13.7154,13.9978,1.7462
Joe Pavelski 2011,Joe Pavelski,2011,C,26.224,71,200,,82.0,80.0,67,74,,10.7878,13.7154,13.9978,14.3383,1.5046333333333326
Joe Pavelski 2012,Joe Pavelski,2012,C,27.223,71,200,82.0,80.0,67.0,74,82,10.7878,13.7154,13.9978,14.3383,15.815,2.605174999999999
Joe Pavelski 2013,Joe Pavelski,2013,C,28.225,71,200,80.0,67.0,74.0,82,82,13.7154,13.9978,14.3383,15.815,14.3285,-0.1381250000000005
Joe Pavelski 2014,Joe Pavelski,2014,C,29.225,71,200,67.0,74.0,82.0,82,82,13.9978,14.3383,15.815,14.3285,14.7319,0.1120000000000001
Joe Pavelski 2015,Joe Pavelski,2015,C,30.224,71,200,74.0,82.0,82.0,82,82,14.3383,15.815,14.3285,14.7319,15.3073,0.503874999999999
Joe Pavelski 2016,Joe Pavelski,2016,C,31.223,71,200,82.0,82.0,82.0,82,82,15.815,14.3285,14.7319,15.3073,15.5799,0.5342250000000011
Joe Pavelski 2017,Joe Pavelski,2017,C,32.225,71,200,82.0,82.0,82.0,82,81,14.3285,14.7319,15.3073,15.5799,15.5014,0.5145
Joe Pavelski 2018,Joe Pavelski,2018,C,33.225,71,200,82.0,82.0,82.0,81,82,14.7319,15.3073,15.5799,15.5014,15.7657,0.48557500000000076
Joe Pavelski 2019,Joe Pavelski,2019,C,34.224,71,200,82.0,82.0,81.0,82,75,15.3073,15.5799,15.5014,15.7657,15.346,-0.19257499999999972
Joe Pavelski 2020,Joe Pavelski,2020,C,35.223,71,200,82.0,81.0,82.0,75,79,15.5799,15.5014,15.7657,15.346,13.4129,-2.135349999999999
Joe Pavelski 2021,Joe Pavelski,2021,C,36.225,71,200,81.0,82.0,75.0,79,82,15.5014,15.7657,15.346,13.4129,15.1682,0.16169999999999973
Joe Pavelski 2022,Joe Pavelski,2022,C,37.225,71,200,82.0,75.0,79.0,82,82,15.7657,15.346,13.4129,15.1682,15.2142,0.2909999999999986
Joe Pavelski 2023,Joe Pavelski,2023,C,38.224,71,200,75.0,79.0,82.0,82,82,15.346,13.4129,15.1682,15.2142,14.5018,-0.2835250000000009
Alex Ovechkin 2009,Alex Ovechkin,2009,L,23.04,75,238,,,,82,79,,,,17.24,16.6732,-0.5667999999999971
Alex Ovechkin 2010,Alex Ovechkin,2010,L,24.039,75,238,,,82.0,79,72,,,17.24,16.6732,16.6701,-0.2865000000000002
Alex Ovechkin 2011,Alex Ovechkin,2011,L,25.038,75,238,,82.0,79.0,72,79,,17.24,16.6732,16.6701,16.716,-0.14509999999999934
Alex Ovechkin 2012,Alex Ovechkin,2012,L,26.038,75,238,82.0,79.0,72.0,79,78,17.24,16.6732,16.6701,16.716,16.1205,-0.7043250000000008
Alex Ovechkin 2013,Alex Ovechkin,2013,L,27.04,75,238,79.0,72.0,79.0,78,82,16.6732,16.6701,16.716,16.1205,16.2139,-0.3310500000000012
Alex Ovechkin 2014,Alex Ovechkin,2014,L,28.039,75,238,72.0,79.0,78.0,82,78,16.6701,16.716,16.1205,16.2139,15.4387,-0.9914249999999996
Alex Ovechkin 2015,Alex Ovechkin,2015,L,29.038,75,238,79.0,78.0,82.0,78,81,16.716,16.1205,16.2139,15.4387,16.4784,0.3561249999999987
