,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y5 dEV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 EV Rebounds Created/60,Y2 EV Rebounds Created/60,Y3 EV Rebounds Created/60,Y4 EV Rebounds Created/60,Y5 EV Rebounds Created/60,Y1 EV Rush Attempts/60,Y2 EV Rush Attempts/60,Y3 EV Rush Attempts/60,Y4 EV Rush Attempts/60,Y5 EV Rush Attempts/60,Y1 EV oixGF/60,Y2 EV oixGF/60,Y3 EV oixGF/60,Y4 EV oixGF/60,Y5 EV oixGF/60
Joe Pavelski 2015,Joe Pavelski,2015,C,30.224,71,200,74.0,82.0,82.0,82,82,14.3383,15.815,14.3285,14.7319,15.3073,0.9048,0.6477,0.5234,0.6954,0.5736,-0.33187500000000003,0.622,0.2776,0.1745,0.3973,0.4302,1.3572,1.2029,0.7852,1.192,0.6692,1.3006,0.8328,0.9596,0.3973,2.9962,3.3924,2.8801,2.5535,3.1092,2.9962
Joe Pavelski 2016,Joe Pavelski,2016,C,31.223,71,200,82.0,82.0,82.0,82,82,15.815,14.3285,14.7319,15.3073,15.5799,0.6477,0.5234,0.6954,0.5736,0.7045,-0.3029749999999999,0.2776,0.1745,0.3973,0.4302,0.4227,1.2029,0.7852,1.192,0.6692,0.6575,0.8328,0.9596,0.3973,0.4302,2.9616,2.8801,2.5535,3.1092,2.9962,2.9616
Joe Pavelski 2017,Joe Pavelski,2017,C,32.225,71,200,82.0,82.0,82.0,82,81,14.3285,14.7319,15.3073,15.5799,15.5014,0.5234,0.6954,0.5736,0.7045,0.5734,-0.48487500000000006,0.1745,0.3973,0.4302,0.4227,0.5734,0.7852,1.192,0.6692,0.6575,0.669,0.9596,0.3973,0.4302,0.2348,2.8375,2.5535,3.1092,2.9962,2.9616,2.8375
Joe Pavelski 2018,Joe Pavelski,2018,C,33.225,71,200,82.0,82.0,82.0,81,82,14.7319,15.3073,15.5799,15.5014,15.7657,0.6954,0.5736,0.7045,0.5734,0.6962,-0.37305,0.3973,0.4302,0.4227,0.5734,0.6033,1.192,0.6692,0.6575,0.669,0.6498,0.3973,0.4302,0.2348,0.5256,2.9518,3.1092,2.9962,2.9616,2.8375,2.9518
Joe Pavelski 2019,Joe Pavelski,2019,C,34.224,71,200,82.0,82.0,81.0,82,75,15.3073,15.5799,15.5014,15.7657,15.346,0.5736,0.7045,0.5734,0.6962,0.5734,-0.3719,0.4302,0.4227,0.5734,0.6033,0.3128,0.6692,0.6575,0.669,0.6498,1.3554,0.4302,0.2348,0.5256,0.3713,3.327,2.9962,2.9616,2.8375,2.9518,3.327
Joe Pavelski 2020,Joe Pavelski,2020,C,35.223,71,200,82.0,81.0,82.0,75,79,15.5799,15.5014,15.7657,15.346,13.4129,0.7045,0.5734,0.6962,0.5734,0.4674,-0.588625,0.4227,0.5734,0.6033,0.3128,0.2671,0.6575,0.669,0.6498,1.3554,0.7344,0.2348,0.5256,0.3713,0.4692,2.9263,2.9616,2.8375,2.9518,3.327,2.9263
Joe Pavelski 2021,Joe Pavelski,2021,C,36.225,71,200,81.0,82.0,75.0,79,82,15.5014,15.7657,15.346,13.4129,15.1682,0.5734,0.6962,0.5734,0.4674,0.6357,-0.248575,0.5734,0.6033,0.3128,0.2671,0.6357,0.669,0.6498,1.3554,0.7344,0.7064,0.5256,0.3713,0.4692,0.6677,2.7478,2.8375,2.9518,3.327,2.9263,2.7478
Joe Pavelski 2022,Joe Pavelski,2022,C,37.225,71,200,82.0,75.0,79.0,82,82,15.7657,15.346,13.4129,15.1682,15.2142,0.6962,0.5734,0.4674,0.6357,1.2023,0.357,0.6033,0.3128,0.2671,0.6357,0.7695,0.6498,1.3554,0.7344,0.7064,1.0581,0.3713,0.4692,0.6677,0.4238,3.3791,2.9518,3.327,2.9263,2.7478,3.3791
Joe Pavelski 2023,Joe Pavelski,2023,C,38.224,71,200,75.0,79.0,82.0,82,82,15.346,13.4129,15.1682,15.2142,14.5018,0.5734,0.4674,0.6357,1.2023,1.0596,0.20800000000000007,0.3128,0.2671,0.6357,0.7695,0.6559,1.3554,0.7344,0.7064,1.0581,1.5137,0.4692,0.6677,0.4238,0.4809,3.5829,3.327,2.9263,2.7478,3.3791,3.5829
Alex Ovechkin 2012,Alex Ovechkin,2012,L,26.038,75,238,82.0,79.0,72.0,79,78,17.24,16.6732,16.6701,16.716,16.1205,1.0186,0.7744,1.2497,1.1359,0.4295,-1.159225,0.3395,0.4555,0.5499,0.4998,0.3817,1.4006,1.7765,1.1998,1.4085,0.6203,0.7215,1.321,1.2497,1.2267,2.2337,3.1059,3.3216,3.1273,3.2359,2.2337
