,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 PP A1/60,Y2 PP A1/60,Y3 PP A1/60,Y4 PP A1/60,Y5 PP A1/60,Y5 dPP A1/60,Y1 PP A2/60,Y2 PP A2/60,Y3 PP A2/60,Y4 PP A2/60,Y5 PP A2/60,Y5 dPP A2/60,Y1 PP Rebounds Created/60,Y2 PP Rebounds Created/60,Y3 PP Rebounds Created/60,Y4 PP Rebounds Created/60,Y5 PP Rebounds Created/60,Y1 PP oixGF/60,Y2 PP oixGF/60,Y3 PP oixGF/60,Y4 PP oixGF/60,Y5 PP oixGF/60
Nikolaj Ehlers 2023,Nikolaj Ehlers,2023,L,26.629,72,169,62.0,83.0,68.0,62,45,1.2997,1.3315,1.6695,2.2153,2.867,0.3354,1.1784,0.7601,0.9807,1.255,0.4024,0.5612,0.7601,0.3678,0.5229,2.2337,0.0,0.7647,0.8737,1.3952,0.4271750000000001,1.4891,1.2694,4.5879,1.3105,2.7903,0.6260749999999997,1.4891,1.9041,2.294,2.1842,2.7903,5.5322,5.598,8.0977,8.2475,9.3709
Nick Ritchie 2020,Nick Ritchie,2020,L,23.823,75,236,33.0,77.0,76.0,60,56,0.6758,0.5515,0.4311,1.8239,1.5701,0.1642,0.4407,0.3182,0.7908,0.7029,0.1642,0.3778,0.6364,0.3954,0.4017,0.0,1.4129,1.8311,3.2897,0.7961,-0.8373249999999999,0.0,0.0,1.8311,0.5483,0.0,-0.59485,0.0,0.0,1.8311,2.7414,0.0,3.5247,5.383,8.9176,7.0838,6.6077
Nick Ritchie 2021,Nick Ritchie,2021,L,24.825,75,236,77.0,76.0,60.0,56,82,0.5515,0.4311,1.8239,1.5701,2.7473,0.4407,0.3182,0.7908,0.7029,0.3413,0.3778,0.6364,0.3954,0.4017,0.256,1.4129,1.8311,3.2897,0.7961,1.17,-0.66245,0.0,1.8311,0.5483,0.0,0.39,-0.20484999999999998,0.0,1.8311,2.7414,0.0,0.78,5.383,8.9176,7.0838,6.6077,7.3981
Nick Ritchie 2022,Nick Ritchie,2022,L,25.824,75,236,76.0,60.0,56.0,82,57,0.4311,1.8239,1.5701,2.7473,1.4883,0.3182,0.7908,0.7029,0.3413,0.2822,0.6364,0.3954,0.4017,0.256,0.4703,1.8311,3.2897,0.7961,1.17,0.7073,-1.064425,1.8311,0.5483,0.0,0.39,1.4145,0.7221500000000001,1.8311,2.7414,0.0,0.78,2.1218,8.9176,7.0838,6.6077,7.3981,7.6951
Nick Ritchie 2023,Nick Ritchie,2023,L,26.823,75,236,60.0,56.0,82.0,57,74,1.8239,1.5701,2.7473,1.4883,2.3086,0.7908,0.7029,0.3413,0.2822,0.3614,0.3954,0.4017,0.256,0.4703,0.1446,3.2897,0.7961,1.17,0.7073,1.4049,-0.08587499999999992,0.5483,0.0,0.39,1.4145,0.7024,0.11419999999999997,2.7414,0.0,0.78,2.1218,1.4049,7.0838,6.6077,7.3981,7.6951,6.2587
Kevin Fiala 2019,Kevin Fiala,2019,L,22.194,70,204,1.0,5.0,54.0,80,83,,0.6433,0.8287,2.2908,2.2187,0.0,0.0,0.2654,0.6419,0.755,0.0,0.0,0.177,0.2918,0.1618,,0.0,0.0,0.9822,0.6516,0.3242,,0.0,0.0,1.9644,2.2807,1.6259000000000001,,0.0,2.6816,0.9822,1.3033,,9.6995,5.6313,6.4398,5.855
Kevin Fiala 2020,Kevin Fiala,2020,L,23.193,70,204,5.0,54.0,80.0,83,75,0.6433,0.8287,2.2908,2.2187,2.3898,0.0,0.2654,0.6419,0.755,1.0963,0.0,0.177,0.2918,0.1618,0.5116,0.0,0.0,0.9822,0.6516,1.9614,1.55295,0.0,0.0,1.9644,2.2807,1.5691,0.507825,0.0,2.6816,0.9822,1.3033,1.9614,9.6995,5.6313,6.4398,5.855,6.0412
Kevin Fiala 2021,Kevin Fiala,2021,L,24.195,70,204,54.0,80.0,83.0,75,73,0.8287,2.2908,2.2187,2.3898,3.0833,0.2654,0.6419,0.755,1.0963,0.8063,0.177,0.2918,0.1618,0.5116,0.2688,0.0,0.9822,0.6516,1.9614,1.1676,0.26879999999999993,0.0,1.9644,2.2807,1.5691,1.9459,0.49235000000000007,2.6816,0.9822,1.3033,1.9614,1.1676,5.6313,6.4398,5.855,6.0412,6.4956
Kevin Fiala 2022,Kevin Fiala,2022,L,25.194,70,204,80.0,83.0,75.0,73,82,2.2908,2.2187,2.3898,3.0833,2.6909,0.6419,0.755,1.0963,0.8063,1.359,0.2918,0.1618,0.5116,0.2688,0.6795,0.9822,0.6516,1.9614,1.1676,1.3596,0.16889999999999983,1.9644,2.2807,1.5691,1.9459,2.1754,0.2353749999999999,0.9822,1.3033,1.9614,1.1676,1.9035,6.4398,5.855,6.0412,6.4956,6.1373
Kevin Fiala 2023,Kevin Fiala,2023,L,26.194,70,204,83.0,75.0,73.0,82,69,2.2187,2.3898,3.0833,2.6909,3.0041,0.755,1.0963,0.8063,1.359,1.1942,0.1618,0.5116,0.2688,0.6795,0.7165,0.6516,1.9614,1.1676,1.3596,3.763,2.47795,2.2807,1.5691,1.9459,2.1754,1.1578,-0.834975,1.3033,1.9614,1.1676,1.9035,1.7368,5.855,6.0412,6.4956,6.1373,7.717
Jakub Vrana 2020,Jakub Vrana,2020,L,23.59,72,190,,21.0,73.0,82,81,,1.8063,0.6708,1.14,1.9249,,0.3071,0.4871,0.7377,0.8128,,0.3071,0.3479,0.3972,0.2709,,1.5817,2.4506,1.2837,3.1623,1.3903,,0.0,0.0,0.6418,1.807,1.5930666666666666,,6.3269,1.2253,0.0,1.807,,8.7311,6.1634,4.4222,6.6543
Jakub Vrana 2021,Jakub Vrana,2021,L,24.592,72,190,21.0,73.0,82.0,81,73,1.8063,0.6708,1.14,1.9249,2.227,0.3071,0.4871,0.7377,0.8128,0.6604,0.3071,0.3479,0.3972,0.2709,0.4717,1.5817,2.4506,1.2837,3.1623,2.1554,0.035824999999999996,0.0,0.0,0.6418,1.807,0.5388,-0.07340000000000002,6.3269,1.2253,0.0,1.807,1.0777,8.7311,6.1634,4.4222,6.6543,5.841
Jakub Vrana 2022,Jakub Vrana,2022,L,25.591,72,190,73.0,82.0,81.0,73,26,0.6708,1.14,1.9249,2.227,2.366,0.4871,0.7377,0.8128,0.6604,0.9183,0.3479,0.3972,0.2709,0.4717,0.0,2.4506,1.2837,3.1623,2.1554,0.0,-2.263,0.0,0.6418,1.807,0.5388,0.9753,0.22839999999999994,1.2253,0.0,1.807,1.0777,0.9753,6.1634,4.4222,6.6543,5.841,6.6909
Jakub Vrana 2023,Jakub Vrana,2023,L,26.591,72,190,82.0,81.0,73.0,26,25,1.14,1.9249,2.227,2.366,2.1927,0.7377,0.8128,0.6604,0.9183,0.7769,0.3972,0.2709,0.4717,0.0,0.1942,1.2837,3.1623,2.1554,0.0,0.0,-1.65035,0.6418,1.807,0.5388,0.9753,0.0,-0.990725,0.0,1.807,1.0777,0.9753,0.0,4.4222,6.6543,5.841,6.6909,5.6151
Dylan Larkin 2017,Dylan Larkin,2017,C,20.173,73,198,,,,80,80,,,,2.0479,1.8794,,,,0.7813,0.3764,,,,0.3125,0.3227,,,,0.3662,0.0,-0.3662,,,,0.0,0.7981,0.7981,,,,1.0987,1.1972,,,,6.376,6.0499
Dylan Larkin 2018,Dylan Larkin,2018,C,21.172,73,198,,,80.0,80,82,,,2.0479,1.8794,2.1644,,,0.7813,0.3764,0.9803,,,0.3125,0.3227,0.8402,,,0.3662,0.0,1.0142,0.8311,,,0.0,0.7981,1.3522,0.95315,,,1.0987,1.1972,0.6761,,,6.376,6.0499,6.244
Dylan Larkin 2019,Dylan Larkin,2019,C,22.172,73,198,,80.0,80.0,82,76,,2.0479,1.8794,2.1644,2.4399,,0.7813,0.3764,0.9803,0.9601,,0.3125,0.3227,0.8402,0.4364,,0.3662,0.0,1.0142,0.9707,0.5105666666666666,,0.0,0.7981,1.3522,1.6178,0.9010333333333332,,1.0987,1.1972,0.6761,0.9707,,6.376,6.0499,6.244,6.6396
Dylan Larkin 2020,Dylan Larkin,2020,C,23.171,73,198,80.0,80.0,82.0,76,83,2.0479,1.8794,2.1644,2.4399,3.2465,0.7813,0.3764,0.9803,0.9601,0.6374,0.3125,0.3227,0.8402,0.4364,0.5884,0.3662,0.0,1.0142,0.9707,1.0412,0.45342499999999986,0.0,0.7981,1.3522,1.6178,1.3015,0.3594750000000001,1.0987,1.1972,0.6761,0.9707,0.7809,6.376,6.0499,6.244,6.6396,6.0963
Dylan Larkin 2021,Dylan Larkin,2021,C,24.173,73,198,80.0,82.0,76.0,83,64,1.8794,2.1644,2.4399,3.2465,2.7856,0.3764,0.9803,0.9601,0.6374,0.6331,0.3227,0.8402,0.4364,0.5884,0.0791,0.0,1.0142,0.9707,1.0412,1.4686,0.7120749999999999,0.7981,1.3522,1.6178,1.3015,1.4686,0.20119999999999982,1.1972,0.6761,0.9707,0.7809,0.0,6.0499,6.244,6.6396,6.0963,5.424
Dylan Larkin 2022,Dylan Larkin,2022,C,25.172,73,198,82.0,76.0,83.0,64,71,2.1644,2.4399,3.2465,2.7856,2.8669,0.9803,0.9601,0.6374,0.6331,1.0403,0.8402,0.4364,0.5884,0.0791,0.5202,1.0142,0.9707,1.0412,1.4686,1.4738,0.350125,1.3522,1.6178,1.3015,1.4686,0.5895,-0.845525,0.6761,0.9707,0.7809,0.0,0.8843,6.244,6.6396,6.0963,5.424,7.8821
Dylan Larkin 2023,Dylan Larkin,2023,C,26.172,73,198,76.0,83.0,64.0,71,80,2.4399,3.2465,2.7856,2.8669,3.4665,0.9601,0.6374,0.6331,1.0403,1.0015,0.4364,0.5884,0.0791,0.5202,0.6852,0.9707,1.0412,1.4686,1.4738,1.0818,-0.1567749999999999,1.6178,1.3015,1.4686,0.5895,2.1636,0.9192500000000001,0.9707,0.7809,0.0,0.8843,2.5963,6.6396,6.0963,5.424,7.8821,8.4142
Sonny Milano 2023,Sonny Milano,2023,L,26.388,72,194,8.0,64.0,8.0,66,64,0.2,1.1936,1.3667,2.1386,0.7893,0.0,0.7387,0.0,0.7617,0.6198,0.0,0.554,0.0,0.277,0.7748,0.0,0.9139,0.0,1.7003,2.3755,1.72195,0.0,0.9139,0.0,0.4251,2.3755,2.04075,0.0,0.0,0.0,0.0,0.0,0.0,5.2917,5.8537,6.2742,4.8103
Alex Tuch 2018,Alex Tuch,2018,R,21.394,76,219,,,,6,78,,,,,2.3449,,,,0.0,0.6579,,,,0.0,0.2991,,,,,1.3122,1.3122,,,,,0.6561,0.6561,,,,,3.2805,,,,,9.064
Alex Tuch 2019,Alex Tuch,2019,R,22.393,76,219,,,6.0,78,74,,,,2.3449,2.4797,,,0.0,0.6579,0.6832,,,0.0,0.2991,0.9679,,,,1.3122,0.327,-0.9852000000000001,,,,0.6561,0.654,-0.0020999999999999908,,,,3.2805,1.9619,,,,9.064,7.8082
Alex Tuch 2020,Alex Tuch,2020,R,23.393,76,219,,6.0,78.0,74,49,,,2.3449,2.4797,1.7595,,0.0,0.6579,0.6832,0.4513,,0.0,0.2991,0.9679,0.1128,,,1.3122,0.327,1.6238,0.8041999999999999,,,0.6561,0.654,1.6238,0.9687499999999999,,,3.2805,1.9619,0.8119,,,9.064,7.8082,6.747
Alex Tuch 2021,Alex Tuch,2021,R,24.395,76,219,6.0,78.0,74.0,49,80,,2.3449,2.4797,1.7595,2.0297,0.0,0.6579,0.6832,0.4513,0.7015,0.0,0.2991,0.9679,0.1128,0.3118,,1.3122,0.327,1.6238,1.0749,-0.012766666666666593,,0.6561,0.654,1.6238,0.0,-0.9779666666666667,,3.2805,1.9619,0.8119,0.0,,9.064,7.8082,6.747,7.0785
Alex Tuch 2022,Alex Tuch,2022,R,25.394,76,219,78.0,74.0,49.0,80,50,2.3449,2.4797,1.7595,2.0297,2.8683,0.6579,0.6832,0.4513,0.7015,1.112,0.2991,0.9679,0.1128,0.3118,0.5987,1.3122,0.327,1.6238,1.0749,0.8367,-0.24777500000000008,0.6561,0.654,1.6238,0.0,1.6734,0.939925,3.2805,1.9619,0.8119,0.0,0.4184,9.064,7.8082,6.747,7.0785,7.108
Alex Tuch 2023,Alex Tuch,2023,R,26.394,76,219,74.0,49.0,80.0,50,74,2.4797,1.7595,2.0297,2.8683,3.3779,0.6832,0.4513,0.7015,1.112,1.2348,0.9679,0.1128,0.3118,0.5987,0.5051,0.327,1.6238,1.0749,0.8367,1.6802,0.7145999999999999,0.654,1.6238,0.0,1.6734,1.2002,0.21239999999999992,1.9619,0.8119,0.0,0.4184,1.6802,7.8082,6.747,7.0785,7.108,7.1458
Nick Schmaltz 2018,Nick Schmaltz,2018,C,21.605,72,181,,,,61,78,,,,1.0574,2.6712,,,,1.2914,0.4862,,,,0.3229,0.5942,,,,0.0,1.1519,1.1519,,,,1.8605,1.4399,-0.4206000000000001,,,,0.9302,0.576,,,,3.6558,6.2865
Nick Schmaltz 2019,Nick Schmaltz,2019,C,22.604,72,181,,,61.0,78,40,,,1.0574,2.6712,3.0721,,,1.2914,0.4862,0.8363,,,0.3229,0.5942,0.7318,,,0.0,1.1519,0.4883,-0.08764999999999995,,,1.8605,1.4399,0.9765,-0.6736999999999999,,,0.9302,0.576,1.9531,,,3.6558,6.2865,7.2117
Nick Schmaltz 2020,Nick Schmaltz,2020,C,23.604,72,181,,61.0,78.0,40,82,,1.0574,2.6712,3.0721,2.269,,1.2914,0.4862,0.8363,0.973,,0.3229,0.5942,0.7318,0.5189,,0.0,1.1519,0.4883,1.8888,1.3420666666666667,,1.8605,1.4399,0.9765,2.2665,0.8408666666666669,,0.9302,0.576,1.9531,0.7555,,3.6558,6.2865,7.2117,5.0581
Nick Schmaltz 2021,Nick Schmaltz,2021,C,24.606,72,181,61.0,78.0,40.0,82,76,1.0574,2.6712,3.0721,2.269,2.75,1.2914,0.4862,0.8363,0.973,0.6479,0.3229,0.5942,0.7318,0.5189,0.8099,0.0,1.1519,0.4883,1.8888,1.2587,0.37644999999999995,1.8605,1.4399,0.9765,2.2665,0.4196,-1.21625,0.9302,0.576,1.9531,0.7555,1.6783,3.6558,6.2865,7.2117,5.0581,7.0238
Nick Schmaltz 2022,Nick Schmaltz,2022,C,25.605,72,181,78.0,40.0,82.0,76,63,2.6712,3.0721,2.269,2.75,2.4378,0.4862,0.8363,0.973,0.6479,1.5571,0.5942,0.7318,0.5189,0.8099,0.436,1.1519,0.4883,1.8888,1.2587,0.7813,-0.415625,1.4399,0.9765,2.2665,0.4196,0.7813,-0.494325,0.576,1.9531,0.7555,1.6783,2.344,6.2865,7.2117,5.0581,7.0238,6.3562
Nick Schmaltz 2023,Nick Schmaltz,2023,C,26.604,72,181,40.0,82.0,76.0,63,63,3.0721,2.269,2.75,2.4378,2.977,0.8363,0.973,0.6479,1.5571,0.8299,0.7318,0.5189,0.8099,0.436,0.8892,0.4883,1.8888,1.2587,0.7813,0.3199,-0.7843749999999998,0.9765,2.2665,0.4196,0.7813,1.5996,0.48862499999999986,1.9531,0.7555,1.6783,2.344,1.5996,7.2117,5.0581,7.0238,6.3562,7.0957
Robby Fabbri 2017,Robby Fabbri,2017,C,20.693,71,185,,,,72,51,,,,1.4625,2.2624,,,,0.2817,0.886,,,,0.6339,0.2658,,,,2.2792,1.04,-1.2391999999999999,,,,1.1396,1.56,0.4204000000000001,,,,0.5698,0.52,,,,3.3846,5.3821
Robby Fabbri 2021,Robby Fabbri,2021,C,24.693,71,185,51.0,,32.0,71,43,2.2624,,0.9276,2.5459,2.365,0.886,,0.3204,0.6524,0.8129,0.2658,,0.3204,0.3624,0.0,1.04,,0.0,0.3863,0.8457,0.3702666666666667,1.56,,0.0,0.7727,0.8457,0.06813333333333327,0.52,,0.0,0.7727,0.0,5.3821,,4.6289,5.1964,5.3615
Robby Fabbri 2022,Robby Fabbri,2022,C,25.693,71,185,,32.0,71.0,43,56,,0.9276,2.5459,2.365,2.767,,0.3204,0.6524,0.8129,0.5919,,0.3204,0.3624,0.0,0.222,,0.0,0.3863,0.8457,0.7744,0.3637333333333333,,0.0,0.7727,0.8457,0.0,-0.5394666666666666,,0.0,0.7727,0.0,0.7744,,4.6289,5.1964,5.3615,7.5586
Robby Fabbri 2023,Robby Fabbri,2023,C,26.692,71,185,32.0,71.0,43.0,56,28,0.9276,2.5459,2.365,2.767,2.7321,0.3204,0.6524,0.8129,0.5919,0.1622,0.3204,0.3624,0.0,0.222,0.4866,0.0,0.3863,0.8457,0.7744,3.1373,2.6357,0.0,0.7727,0.8457,0.0,0.7843,0.3797,0.0,0.7727,0.0,0.7744,0.0,4.6289,5.1964,5.3615,7.5586,6.3059
Kasperi Kapanen 2020,Kasperi Kapanen,2020,R,23.19,73,194,9.0,8.0,38.0,78,81,1.7481,0.0563,0.0469,0.7936,1.278,0.0,0.0,0.1562,0.5955,0.6109,0.0,0.0,0.1562,0.5955,0.7466,0.0,0.0,0.0,0.0,0.6804,0.6804,0.0,0.0,0.0,1.9386,1.3608,0.87615,0.0,0.0,0.0,0.9693,0.0,5.6441,0.0,0.0,7.454,5.4228
Kasperi Kapanen 2021,Kasperi Kapanen,2021,R,24.192,73,194,8.0,38.0,78.0,81,58,0.0563,0.0469,0.7936,1.278,1.5396,0.0,0.1562,0.5955,0.6109,0.8636,0.0,0.1562,0.5955,0.7466,0.8636,0.0,0.0,0.0,0.6804,0.0,-0.1701,0.0,0.0,1.9386,1.3608,2.9229,2.0980499999999997,0.0,0.0,0.9693,0.0,0.0,0.0,0.0,7.454,5.4228,4.7448
Kasperi Kapanen 2022,Kasperi Kapanen,2022,R,25.192,73,194,38.0,78.0,81.0,58,79,0.0469,0.7936,1.278,1.5396,1.6215,0.1562,0.5955,0.6109,0.8636,0.6493,0.1562,0.5955,0.7466,0.8636,0.2951,0.0,0.0,0.6804,0.0,0.9368,0.7666999999999999,0.0,1.9386,1.3608,2.9229,1.4052,-0.15037499999999993,0.0,0.9693,0.0,0.0,0.9368,0.0,7.454,5.4228,4.7448,7.5222
Kasperi Kapanen 2023,Kasperi Kapanen,2023,R,26.191,73,194,78.0,81.0,58.0,79,66,0.7936,1.278,1.5396,1.6215,1.4169,0.5955,0.6109,0.8636,0.6493,0.9459,0.5955,0.7466,0.8636,0.2951,0.3153,0.0,0.6804,0.0,0.9368,1.2832,0.8788999999999999,1.9386,1.3608,2.9229,1.4052,0.6416,-1.265275,0.9693,0.0,0.0,0.9368,1.2832,7.454,5.4228,4.7448,7.5222,6.3454
Jared McCann 2020,Jared McCann,2020,L,23.335,73,191,69.0,29.0,68.0,78,77,1.1244,0.9994,0.6733,0.8175,1.6556,0.306,0.9744,0.7341,0.614,0.5592,0.2295,0.0,0.5873,0.2456,0.6291,0.0,2.0702,0.0,1.8819,1.0982,0.11017500000000013,1.5467,0.0,0.0,0.0,1.0982,0.7115250000000001,0.7734,2.0702,0.0,0.0,0.5491,4.849,5.0512,5.976,5.5139,6.6937
Jared McCann 2021,Jared McCann,2021,L,24.337,73,191,29.0,68.0,78.0,77,62,0.9994,0.6733,0.8175,1.6556,1.9729,0.9744,0.7341,0.614,0.5592,1.2727,0.0,0.5873,0.2456,0.6291,0.4628,2.0702,0.0,1.8819,1.0982,0.7073,-0.555275,0.0,0.0,0.0,1.0982,1.4145,1.13995,2.0702,0.0,0.0,0.5491,0.7073,5.0512,5.976,5.5139,6.6937,6.1815
Jared McCann 2022,Jared McCann,2022,L,25.337,73,191,68.0,78.0,77.0,62,74,0.6733,0.8175,1.6556,1.9729,2.611,0.7341,0.614,0.5592,1.2727,0.4893,0.5873,0.2456,0.6291,0.4628,0.367,0.0,1.8819,1.0982,0.7073,1.2421,0.3202499999999999,0.0,0.0,1.0982,1.4145,1.5527,0.9245249999999999,0.0,0.0,0.5491,0.7073,2.7948,5.976,5.5139,6.6937,6.1815,7.8192
Jared McCann 2023,Jared McCann,2023,L,26.336,73,191,78.0,77.0,62.0,74,79,0.8175,1.6556,1.9729,2.611,2.6709,0.614,0.5592,1.2727,0.4893,0.9591,0.2456,0.6291,0.4628,0.367,0.2997,1.8819,1.0982,0.7073,1.2421,0.8531,-0.37927500000000003,0.0,1.0982,1.4145,1.5527,1.7062,0.6898499999999999,0.0,0.5491,0.7073,2.7948,2.2749,5.5139,6.6937,6.1815,7.8192,7.2654
David Pastrnak 2018,David Pastrnak,2018,R,21.353,73,195,,46.0,51.0,75,82,,1.6884,0.468,2.6511,3.0972,,0.8514,0.4367,0.7835,1.0853,,0.8514,0.4367,0.3656,0.4933,,0.0,2.514,2.1123,1.1813,-0.3607999999999998,,0.7725,0.0,2.1123,1.89,0.9284,,0.0,0.0,1.5088,1.6538,,4.527,4.5251,8.6334,8.8169
David Pastrnak 2019,David Pastrnak,2019,R,22.352,73,195,46.0,51.0,75.0,82,66,1.6884,0.468,2.6511,3.0972,3.3601,0.8514,0.4367,0.7835,1.0853,1.007,0.8514,0.4367,0.3656,0.4933,0.5924,0.0,2.514,2.1123,1.1813,2.9761,1.5242000000000002,0.7725,0.0,2.1123,1.89,1.3528,0.15910000000000002,0.0,0.0,1.5088,1.6538,1.3528,4.527,4.5251,8.6334,8.8169,8.5468
David Pastrnak 2020,David Pastrnak,2020,R,23.352,73,195,51.0,75.0,82.0,66,82,0.468,2.6511,3.0972,3.3601,3.7776,0.4367,0.7835,1.0853,1.007,1.1408,0.4367,0.3656,0.4933,0.5924,0.5134,2.514,2.1123,1.1813,2.9761,2.4959,0.2999749999999999,0.0,2.1123,1.89,1.3528,1.5883,0.249525,0.0,1.5088,1.6538,1.3528,2.0421,4.5251,8.6334,8.8169,8.5468,8.4543
David Pastrnak 2021,David Pastrnak,2021,R,24.354,73,195,75.0,82.0,66.0,82,70,2.6511,3.0972,3.3601,3.7776,3.4785,0.7835,1.0853,1.007,1.1408,1.3283,0.3656,0.4933,0.5924,0.5134,0.3321,2.1123,1.1813,2.9761,2.4959,1.7968,-0.39459999999999984,2.1123,1.89,1.3528,1.5883,1.0781,-0.6577499999999998,1.5088,1.6538,1.3528,2.0421,1.4374,8.6334,8.8169,8.5468,8.4543,6.5941
David Pastrnak 2022,David Pastrnak,2022,R,25.353,73,195,82.0,66.0,82.0,70,72,3.0972,3.3601,3.7776,3.4785,3.5523,1.0853,1.007,1.1408,1.3283,1.1157,0.4933,0.5924,0.5134,0.3321,0.3347,1.1813,2.9761,2.4959,1.7968,1.6421,-0.47042499999999987,1.89,1.3528,1.5883,1.0781,0.9384,-0.5389,1.6538,1.3528,2.0421,1.4374,1.1729,8.8169,8.5468,8.4543,6.5941,8.8557
David Pastrnak 2023,David Pastrnak,2023,R,26.353,73,195,66.0,82.0,70.0,72,82,3.3601,3.7776,3.4785,3.5523,3.8177,1.007,1.1408,1.3283,1.1157,0.8396,0.5924,0.5134,0.3321,0.3347,0.6996,2.9761,2.4959,1.7968,1.6421,2.4916,0.2638750000000001,1.3528,1.5883,1.0781,0.9384,1.15,-0.08940000000000015,1.3528,2.0421,1.4374,1.1729,3.0666,8.5468,8.4543,6.5941,8.8557,9.1902
Adrian Kempe 2019,Adrian Kempe,2019,"C, R",22.049,74,200,,,25.0,81,81,,,0.8033,1.1107,1.3547,,,0.0,0.4883,0.3529,,,0.2222,0.5494,0.3529,,,5.9751,1.3338,1.0936,-2.5608500000000003,,,0.0,1.3338,1.0936,0.42669999999999986,,,2.9876,1.3338,1.6403,,,5.288,6.5424,5.9435
Adrian Kempe 2020,Adrian Kempe,2020,"C, R",23.048,74,200,,25.0,81.0,81,81,,0.8033,1.1107,1.3547,2.4995,,0.0,0.4883,0.3529,0.4853,,0.2222,0.5494,0.3529,0.2773,,5.9751,1.3338,1.0936,1.7395,-1.0613333333333332,,0.0,1.3338,1.0936,1.0437,0.2345666666666667,,2.9876,1.3338,1.6403,2.4353,,5.288,6.5424,5.9435,7.431
Adrian Kempe 2021,Adrian Kempe,2021,"C, R",24.05,74,200,25.0,81.0,81.0,81,82,0.8033,1.1107,1.3547,2.4995,2.8815,0.0,0.4883,0.3529,0.4853,0.4223,0.2222,0.5494,0.3529,0.2773,0.0,5.9751,1.3338,1.0936,1.7395,2.9746,0.43910000000000027,0.0,1.3338,1.0936,1.0437,0.7436,-0.12417499999999992,2.9876,1.3338,1.6403,2.4353,2.2309,5.288,6.5424,5.9435,7.431,7.8901
Adrian Kempe 2022,Adrian Kempe,2022,"C, R",25.049,74,200,81.0,81.0,81.0,82,78,1.1107,1.3547,2.4995,2.8815,2.9577,0.4883,0.3529,0.4853,0.4223,0.1633,0.5494,0.3529,0.2773,0.0,0.3265,1.3338,1.0936,1.7395,2.9746,1.3004,-0.48497500000000016,1.3338,1.0936,1.0437,0.7436,1.3004,0.24672499999999986,1.3338,1.6403,2.4353,2.2309,2.3407,6.5424,5.9435,7.431,7.8901,7.8726
Adrian Kempe 2023,Adrian Kempe,2023,"C, R",26.049,74,200,81.0,81.0,82.0,78,82,1.3547,2.4995,2.8815,2.9577,2.9203,0.3529,0.4853,0.4223,0.1633,0.5095,0.3529,0.2773,0.0,0.3265,0.3567,1.0936,1.7395,2.9746,1.3004,1.5033,-0.273725,1.0936,1.0437,0.7436,1.3004,0.7517,-0.293625,1.6403,2.4353,2.2309,2.3407,1.5033,5.9435,7.431,7.8901,7.8726,7.9151
Ivan Barbashev 2023,Ivan Barbashev,2023,C,26.799,73,195,80.0,81.0,55.0,81,82,0.0615,0.1664,0.1263,1.4842,1.9252,0.6081,0.8201,0.8413,1.0158,0.6769,0.304,0.2237,0.1402,0.4812,0.6248,0.0,0.0,0.0,1.9964,0.7601,0.261,0.0,0.0,0.0,0.4991,0.3801,0.255325,0.0,5.225,0.0,0.4991,0.3801,1.2203,1.6197,3.875,5.7596,6.3547
Ryan Donato 2020,Ryan Donato,2020,C,23.478,72,190,,,12.0,56,73,,,2.4583,2.0711,0.7473,,,0.8172,0.3689,0.1978,,,0.0,0.5534,0.4944,,,2.0339,1.0346,0.0,-1.5342500000000001,,,2.0339,1.5519,2.5899,0.7970000000000002,,,2.0339,1.5519,1.295,,,11.0034,6.5699,5.8921
Ryan Donato 2021,Ryan Donato,2021,C,24.48,72,190,,12.0,56.0,73,73,,2.4583,2.0711,0.7473,1.7173,,0.8172,0.3689,0.1978,0.7754,,0.0,0.5534,0.4944,0.2215,,2.0339,1.0346,0.0,2.0963,1.0734666666666666,,2.0339,1.5519,2.5899,1.3975,-0.6610666666666667,,2.0339,1.5519,1.295,3.4938,,11.0034,6.5699,5.8921,8.6366
Ryan Donato 2022,Ryan Donato,2022,C,25.479,72,190,12.0,56.0,73.0,73,74,2.4583,2.0711,0.7473,1.7173,1.7966,0.8172,0.3689,0.1978,0.7754,0.7487,0.0,0.5534,0.4944,0.2215,0.2723,2.0339,1.0346,0.0,2.0963,0.0,-1.2912,2.0339,1.5519,2.5899,1.3975,0.0,-1.8933,2.0339,1.5519,1.295,3.4938,4.513,11.0034,6.5699,5.8921,8.6366,6.4175
Christian Dvorak 2018,Christian Dvorak,2018,C,21.662,73,193,,,,78,78,,,,1.4265,1.8361,,,,0.4618,0.6941,,,,0.404,0.2892,,,,1.0785,1.2568,0.1782999999999999,,,,0.5392,0.8379,0.29869999999999997,,,,1.0785,2.0947,,,,4.3948,6.9252
