,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 PP A1/60,Y2 PP A1/60,Y3 PP A1/60,Y4 PP A1/60,Y5 PP A1/60,Y5 dPP A1/60,Y1 PP A2/60,Y2 PP A2/60,Y3 PP A2/60,Y4 PP A2/60,Y5 PP A2/60,Y5 dPP A2/60,Y1 PP Rebounds Created/60,Y2 PP Rebounds Created/60,Y3 PP Rebounds Created/60,Y4 PP Rebounds Created/60,Y5 PP Rebounds Created/60,Y1 PP oixGF/60,Y2 PP oixGF/60,Y3 PP oixGF/60,Y4 PP oixGF/60,Y5 PP oixGF/60
Jeff Carter 2013,Jeff Carter,2013,C,27.749,75,219,82.0,74.0,80.0,55,82,2.7518,3.0982,2.9198,3.1058,2.6767,0.8226,0.3948,0.5118,0.4268,0.3654,0.4839,0.564,0.563,0.2845,0.0913,1.5954,1.3085,1.0275,0.3513,0.934,-0.136675,1.3295,1.5702,1.2843,0.7025,0.0,-1.221625,0.7977,2.8787,2.8255,1.7563,0.934,7.275,8.5656,8.0965,7.6257,8.0135
Jeff Carter 2014,Jeff Carter,2014,C,28.748,75,219,74.0,80.0,55.0,82,72,3.0982,2.9198,3.1058,2.6767,3.285,0.3948,0.5118,0.4268,0.3654,0.6477,0.564,0.563,0.2845,0.0913,0.3533,1.3085,1.0275,0.3513,0.934,0.761,-0.14432500000000004,1.5702,1.2843,0.7025,0.0,0.761,-0.12824999999999998,2.8787,2.8255,1.7563,0.934,1.7758,8.5656,8.0965,7.6257,8.0135,7.1665
Jeff Carter 2015,Jeff Carter,2015,C,29.748,75,219,80.0,55.0,82.0,72,82,2.9198,3.1058,2.6767,3.285,2.7809,0.5118,0.4268,0.3654,0.6477,0.743,0.563,0.2845,0.0913,0.3533,0.743,1.0275,0.3513,0.934,0.761,0.7894,0.020949999999999913,1.2843,0.7025,0.0,0.761,0.5262,-0.16074999999999995,2.8255,1.7563,0.934,1.7758,0.7894,8.0965,7.6257,8.0135,7.1665,7.7304
Jeff Carter 2016,Jeff Carter,2016,C,30.747,75,219,55.0,82.0,72.0,82,77,3.1058,2.6767,3.285,2.7809,2.2786,0.4268,0.3654,0.6477,0.743,0.8085,0.2845,0.0913,0.3533,0.743,0.7546,0.3513,0.934,0.761,0.7894,1.3679,0.6589749999999999,0.7025,0.0,0.761,0.5262,1.3679,0.8704749999999999,1.7563,0.934,1.7758,0.7894,1.3679,7.6257,8.0135,7.1665,7.7304,7.373
Jeff Carter 2017,Jeff Carter,2017,C,31.749,75,219,82.0,72.0,82.0,77,82,2.6767,3.285,2.7809,2.2786,2.8815,0.3654,0.6477,0.743,0.8085,0.9121,0.0913,0.3533,0.743,0.7546,0.2683,0.934,0.761,0.7894,1.3679,1.2697,0.30662500000000004,0.0,0.761,0.5262,1.3679,1.7775,1.113725,0.934,1.7758,0.7894,1.3679,1.5236,8.0135,7.1665,7.7304,7.373,8.0801
Jeff Carter 2018,Jeff Carter,2018,C,32.748,75,219,72.0,82.0,77.0,82,27,3.285,2.7809,2.2786,2.8815,3.1673,0.6477,0.743,0.8085,0.9121,0.4997,0.3533,0.743,0.7546,0.2683,0.4997,0.761,0.7894,1.3679,1.2697,2.1049,1.0579000000000003,0.761,0.5262,1.3679,1.7775,0.0,-1.10815,1.7758,0.7894,1.3679,1.5236,3.5081,7.1665,7.7304,7.373,8.0801,9.2964
Jeff Carter 2019,Jeff Carter,2019,C,33.748,75,219,82.0,77.0,82.0,27,76,2.7809,2.2786,2.8815,3.1673,2.4695,0.743,0.8085,0.9121,0.4997,0.383,0.743,0.7546,0.2683,0.4997,0.2189,0.7894,1.3679,1.2697,2.1049,0.6394,-0.7435750000000001,0.5262,1.3679,1.7775,0.0,1.9181,1.0002,0.7894,1.3679,1.5236,3.5081,2.5575,7.7304,7.373,8.0801,9.2964,6.5056
Jeff Carter 2020,Jeff Carter,2020,C,34.747,75,219,77.0,82.0,27.0,76,70,2.2786,2.8815,3.1673,2.4695,1.8531,0.8085,0.9121,0.4997,0.383,0.3661,0.7546,0.2683,0.4997,0.2189,0.2196,1.3679,1.2697,2.1049,0.6394,1.0793,-0.26617500000000005,1.3679,1.7775,0.0,1.9181,0.0,-1.2658749999999999,1.3679,1.5236,3.5081,2.5575,1.0793,7.373,8.0801,9.2964,6.5056,6.805
Jeff Carter 2021,Jeff Carter,2021,C,35.749,75,219,82.0,27.0,76.0,70,79,2.8815,3.1673,2.4695,1.8531,2.0185,0.9121,0.4997,0.383,0.3661,0.4974,0.2683,0.4997,0.2189,0.2196,0.3316,1.2697,2.1049,0.6394,1.0793,1.1009,-0.17242500000000005,1.7775,0.0,1.9181,0.0,0.5505,-0.37339999999999995,1.5236,3.5081,2.5575,1.0793,4.4037,8.0801,9.2964,6.5056,6.805,5.6697
Jeff Carter 2022,Jeff Carter,2022,C,36.748,75,219,27.0,76.0,70.0,79,76,3.1673,2.4695,1.8531,2.0185,2.057,0.4997,0.383,0.3661,0.4974,0.7822,0.4997,0.2189,0.2196,0.3316,0.5028,2.1049,0.6394,1.0793,1.1009,0.3838,-0.8473250000000001,0.0,1.9181,0.0,0.5505,0.7676,0.15044999999999997,3.5081,2.5575,1.0793,4.4037,4.9893,9.2964,6.5056,6.805,5.6697,8.3284
