,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y5 dPP ATOI
Jeff Petry 2017,Jeff Petry,2017,D,28.814,75,209,82.0,80.0,78.0,51,80,0.6139,0.8471,1.2863,1.7951,1.7719,0.6363000000000001
Jeff Petry 2018,Jeff Petry,2018,D,29.813,75,209,80.0,78.0,51.0,80,82,0.8471,1.2863,1.7951,1.7719,2.7846,1.3595000000000002
Jeff Petry 2019,Jeff Petry,2019,D,30.813,75,209,78.0,51.0,80.0,82,82,1.2863,1.7951,1.7719,2.7846,2.5382,0.6287249999999998
Jeff Petry 2020,Jeff Petry,2020,D,31.812,75,209,51.0,80.0,82.0,82,83,1.7951,1.7719,2.7846,2.5382,2.3953,0.1728500000000004
Jeff Petry 2021,Jeff Petry,2021,D,32.814,75,209,80.0,82.0,82.0,83,80,1.7719,2.7846,2.5382,2.3953,2.3676,-0.0049000000000001265
Jeff Petry 2022,Jeff Petry,2022,D,33.813,75,209,82.0,82.0,83.0,80,68,2.7846,2.5382,2.3953,2.3676,1.7015,-0.8199249999999998
Jeff Petry 2023,Jeff Petry,2023,D,34.813,75,209,82.0,83.0,80.0,68,61,2.5382,2.3953,2.3676,1.7015,2.3123,0.061650000000000205
Ian Cole 2015,Ian Cole,2015,D,25.608,73,225,26.0,26.0,25.0,46,74,0.4423,0.3109,0.2444,0.2417,0.5259,0.21607500000000002
Ian Cole 2016,Ian Cole,2016,D,26.607,73,225,26.0,25.0,46.0,74,70,0.3109,0.2444,0.2417,0.5259,0.3736,0.042874999999999996
Ian Cole 2017,Ian Cole,2017,D,27.609,73,225,25.0,46.0,74.0,70,81,0.2444,0.2417,0.5259,0.3736,0.1235,-0.2229
Ian Cole 2018,Ian Cole,2018,D,28.609,73,225,46.0,74.0,70.0,81,67,0.2417,0.5259,0.3736,0.1235,0.0236,-0.292575
Ian Cole 2019,Ian Cole,2019,D,29.608,73,225,74.0,70.0,81.0,67,71,0.5259,0.3736,0.1235,0.0236,0.0653,-0.19635
Ian Cole 2020,Ian Cole,2020,D,30.607,73,225,70.0,81.0,67.0,71,76,0.3736,0.1235,0.0236,0.0653,0.0323,-0.1142
Ian Cole 2021,Ian Cole,2021,D,31.609,73,225,81.0,67.0,71.0,76,79,0.1235,0.0236,0.0653,0.0323,0.0991,0.03792499999999999
Ian Cole 2022,Ian Cole,2022,D,32.609,73,225,67.0,71.0,76.0,79,75,0.0236,0.0653,0.0323,0.0991,0.0402,-0.014875
Ian Cole 2023,Ian Cole,2023,D,33.608,73,225,71.0,76.0,79.0,75,78,0.0653,0.0323,0.0991,0.0402,0.0474,-0.011825000000000002
