,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y1 PK G/60,Y2 PK G/60,Y3 PK G/60,Y4 PK G/60,Y5 PK G/60,Y5 dPK G/60,Y1 PK ixG/60,Y2 PK ixG/60,Y3 PK ixG/60,Y4 PK ixG/60,Y5 PK ixG/60
Anze Kopitar 2016,Anze Kopitar,2016,C,28.105,75,225,82.0,80.0,82.0,79,81,2.248,1.4926,2.0205,1.6833,2.1545,0.651,0.0,0.0,0.0,0.3438,0.18105,0.3944,0.0987,0.2298,0.1979,0.2976
Anze Kopitar 2017,Anze Kopitar,2017,C,29.107,75,225,80.0,82.0,79.0,81,76,1.4926,2.0205,1.6833,2.1545,1.9064,0.0,0.0,0.0,0.3438,0.0,-0.08595,0.0987,0.2298,0.1979,0.2976,0.2772
Anze Kopitar 2018,Anze Kopitar,2018,C,30.106,75,225,82.0,79.0,81.0,76,82,2.0205,1.6833,2.1545,1.9064,2.1754,0.0,0.0,0.3438,0.0,0.0,-0.08595,0.2298,0.1979,0.2976,0.2772,0.3415
Anze Kopitar 2019,Anze Kopitar,2019,C,31.106,75,225,79.0,81.0,76.0,82,81,1.6833,2.1545,1.9064,2.1754,1.9658,0.0,0.3438,0.0,0.0,0.7536,0.6676500000000001,0.1979,0.2976,0.2772,0.3415,0.5652
Anze Kopitar 2020,Anze Kopitar,2020,C,32.105,75,225,81.0,76.0,82.0,81,82,2.1545,1.9064,2.1754,1.9658,1.7724,0.3438,0.0,0.0,0.7536,0.4836,0.20925,0.2976,0.2772,0.3415,0.5652,0.8984
Anze Kopitar 2021,Anze Kopitar,2021,C,33.107,75,225,76.0,82.0,81.0,82,82,1.9064,2.1754,1.9658,1.7724,2.0911,0.0,0.0,0.7536,0.4836,0.0,-0.3093,0.2772,0.3415,0.5652,0.8984,0.0887
Anze Kopitar 2022,Anze Kopitar,2022,C,34.106,75,225,82.0,81.0,82.0,82,81,2.1754,1.9658,1.7724,2.0911,1.7064,0.0,0.7536,0.4836,0.0,0.0,-0.3093,0.3415,0.5652,0.8984,0.0887,0.2454
Anze Kopitar 2023,Anze Kopitar,2023,C,35.106,75,225,81.0,82.0,82.0,81,82,1.9658,1.7724,2.0911,1.7064,1.8722,0.7536,0.4836,0.0,0.0,0.0,-0.3093,0.5652,0.8984,0.0887,0.2454,0.0586
T.J. Oshie 2013,T.J. Oshie,2013,R,25.775,72,187,57.0,76.0,49.0,80,51,2.1541,2.3761,1.9214,1.8054,1.6378,0.4887,0.3323,0.6373,0.4154,1.2212,0.7527750000000001,0.4718,0.3632,0.7783,0.546,0.1989
T.J. Oshie 2014,T.J. Oshie,2014,R,26.774,72,187,76.0,49.0,80.0,51,79,2.3761,1.9214,1.8054,1.6378,1.773,0.3323,0.6373,0.4154,1.2212,0.8567,0.20515000000000005,0.3632,0.7783,0.546,0.1989,0.3139
T.J. Oshie 2015,T.J. Oshie,2015,R,27.774,72,187,49.0,80.0,51.0,79,72,1.9214,1.8054,1.6378,1.773,1.3306,0.6373,0.4154,1.2212,0.8567,0.0,-0.7826500000000001,0.7783,0.546,0.1989,0.3139,1.1145
