,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y1 PP G/60,Y2 PP G/60,Y3 PP G/60,Y4 PP G/60,Y5 PP G/60,Y5 dPP G/60,Y1 PP ixG/60,Y2 PP ixG/60,Y3 PP ixG/60,Y4 PP ixG/60,Y5 PP ixG/60,Y1 EV G/60,Y2 EV G/60,Y3 EV G/60,Y4 EV G/60,Y5 EV G/60,Y1 EV ixG/60,Y2 EV ixG/60,Y3 EV ixG/60,Y4 EV ixG/60,Y5 EV ixG/60
Patric Hornqvist 2018,Patric Hornqvist,2018,R,30.75,71,189,76.0,64.0,82.0,70,70,2.9202,3.326,3.0427,3.0198,3.5095,1.8925,1.6912,2.1643,2.8384,3.6635,1.5169000000000001,1.403,1.7287,1.5345,1.6001,2.3754,0.8503,1.2459,0.6909,0.7305,0.8714,0.6781,0.7863,0.751,0.7512,0.7651
Patric Hornqvist 2019,Patric Hornqvist,2019,R,31.749,71,189,64.0,82.0,70.0,70,69,3.326,3.0427,3.0198,3.5095,2.7403,1.6912,2.1643,2.8384,3.6635,1.9039,-0.6854500000000001,1.7287,1.5345,1.6001,2.3754,1.9483,1.2459,0.6909,0.7305,0.8714,0.82,0.7863,0.751,0.7512,0.7651,0.6843
Patric Hornqvist 2020,Patric Hornqvist,2020,R,32.748,71,189,82.0,70.0,70.0,69,61,3.0427,3.0198,3.5095,2.7403,3.2619,2.1643,2.8384,3.6635,1.9039,1.0612,-1.581325,1.5345,1.6001,2.3754,1.9483,2.5883,0.6909,0.7305,0.8714,0.82,1.2797,0.751,0.7512,0.7651,0.6843,0.7217
Patric Hornqvist 2021,Patric Hornqvist,2021,R,33.75,71,189,70.0,70.0,69.0,61,64,3.0198,3.5095,2.7403,3.2619,4.0742,2.8384,3.6635,1.9039,1.0612,2.6776,0.31084999999999985,1.6001,2.3754,1.9483,2.5883,2.0205,0.7305,0.8714,0.82,1.2797,0.646,0.7512,0.7651,0.6843,0.7217,0.5521
Patric Hornqvist 2022,Patric Hornqvist,2022,R,34.75,71,189,70.0,69.0,61.0,64,65,3.5095,2.7403,3.2619,4.0742,2.1128,3.6635,1.9039,1.0612,2.6776,1.3107,-1.0158500000000001,2.3754,1.9483,2.5883,2.0205,1.8314,0.8714,0.82,1.2797,0.646,0.7007,0.7651,0.6843,0.7217,0.5521,0.7783
Brad Marchand 2018,Brad Marchand,2018,L,29.392,69,176,82.0,77.0,77.0,80,68,0.5248,0.9903,1.4781,2.6717,3.0978,1.3943,1.5738,3.6901,2.5265,2.2787,-0.017474999999999685,0.4668,0.9396,1.3177,2.0958,1.7483,1.0025,1.0728,1.29,1.3117,1.4912,0.7778,0.8022,0.8827,1.0072,0.9558
Brad Marchand 2019,Brad Marchand,2019,L,30.391,69,176,77.0,77.0,80.0,68,79,0.9903,1.4781,2.6717,3.0978,3.1576,1.5738,3.6901,2.5265,2.2787,2.4053,-0.11197500000000016,0.9396,1.3177,2.0958,1.7483,1.4951,1.0728,1.29,1.3117,1.4912,1.1731,0.8022,0.8827,1.0072,0.9558,1.0217
Brad Marchand 2020,Brad Marchand,2020,L,31.39,69,176,77.0,80.0,68.0,79,82,1.4781,2.6717,3.0978,3.1576,3.701,3.6901,2.5265,2.2787,2.4053,1.158,-1.5671500000000003,1.3177,2.0958,1.7483,1.4951,1.6645,1.29,1.3117,1.4912,1.1731,1.3397,0.8827,1.0072,0.9558,1.0217,0.9371
Brad Marchand 2021,Brad Marchand,2021,L,32.392,69,176,80.0,68.0,79.0,82,77,2.6717,3.0978,3.1576,3.701,3.2142,2.5265,2.2787,2.4053,1.158,1.4089,-0.6832250000000002,2.0958,1.7483,1.4951,1.6645,1.3678,1.3117,1.4912,1.1731,1.3397,1.6911,1.0072,0.9558,1.0217,0.9371,1.1351
Brad Marchand 2022,Brad Marchand,2022,L,33.392,69,176,68.0,79.0,82.0,77,70,3.0978,3.1576,3.701,3.2142,3.4164,2.2787,2.4053,1.158,1.4089,1.7562,-0.056524999999999936,1.7483,1.4951,1.6645,1.3678,1.5735,1.4912,1.1731,1.3397,1.6911,1.3368,0.9558,1.0217,0.9371,1.1351,1.2633
Brad Marchand 2023,Brad Marchand,2023,L,34.391,69,176,79.0,82.0,77.0,70,73,3.1576,3.701,3.2142,3.4164,3.4205,2.4053,1.158,1.4089,1.7562,1.9223,0.24019999999999997,1.4951,1.6645,1.3678,1.5735,1.5741,1.1731,1.3397,1.6911,1.3368,0.7248,1.0217,0.9371,1.1351,1.2633,0.9288
Nick Foligno 2012,Nick Foligno,2012,L,23.919,72,210,45.0,81.0,61.0,82,82,0.407,2.3123,1.6954,1.7569,1.3256,0.0,2.2424,1.1604,2.0824,0.552,-0.8192999999999999,0.2382,1.3721,0.769,0.929,0.571,0.9139,0.6533,0.5479,0.4781,0.7807,0.5293,0.4631,0.451,0.4666,0.6494
Nick Foligno 2013,Nick Foligno,2013,L,24.921,72,210,81.0,61.0,82.0,82,76,2.3123,1.6954,1.7569,1.3256,1.9822,2.2424,1.1604,2.0824,0.552,0.6726,-0.8367000000000001,1.3721,0.769,0.929,0.571,0.6197,0.6533,0.5479,0.4781,0.7807,0.4612,0.4631,0.451,0.4666,0.6494,0.413
Nick Foligno 2014,Nick Foligno,2014,L,25.92,72,210,61.0,82.0,82.0,76,70,1.6954,1.7569,1.3256,1.9822,1.7395,1.1604,2.0824,0.552,0.6726,1.4782,0.36135000000000006,0.769,0.929,0.571,0.6197,1.0075,0.5479,0.4781,0.7807,0.4612,0.9116,0.451,0.4666,0.6494,0.413,0.4862
Nick Foligno 2015,Nick Foligno,2015,L,26.919,72,210,82.0,82.0,76.0,70,79,1.7569,1.3256,1.9822,1.7395,2.5179,2.0824,0.552,0.6726,1.4782,3.318,2.1217,0.929,0.571,0.6197,1.0075,1.3797,0.4781,0.7807,0.4612,0.9116,1.0155,0.4666,0.6494,0.413,0.4862,0.5921
Nick Foligno 2016,Nick Foligno,2016,L,27.919,72,210,82.0,76.0,70.0,79,72,1.3256,1.9822,1.7395,2.5179,2.0757,0.552,0.6726,1.4782,3.318,0.0,-1.5052,0.571,0.6197,1.0075,1.3797,1.288,0.7807,0.4612,0.9116,1.0155,0.701,0.6494,0.413,0.4862,0.5921,0.643
Nick Foligno 2017,Nick Foligno,2017,L,28.921,72,210,76.0,70.0,79.0,72,79,1.9822,1.7395,2.5179,2.0757,2.6873,0.6726,1.4782,3.318,0.0,3.1088,1.7416,0.6197,1.0075,1.3797,1.288,1.8044,0.4612,0.9116,1.0155,0.701,0.7528,0.413,0.4862,0.5921,0.643,0.5739
Nick Foligno 2018,Nick Foligno,2018,L,29.92,72,210,70.0,79.0,72.0,79,72,1.7395,2.5179,2.0757,2.6873,2.4056,1.4782,3.318,0.0,3.1088,0.6928,-1.2834500000000002,1.0075,1.3797,1.288,1.8044,0.7027,0.9116,1.0155,0.701,0.7528,0.7349,0.4862,0.5921,0.643,0.5739,0.4857
Nick Foligno 2019,Nick Foligno,2019,L,30.919,72,210,79.0,72.0,79.0,72,73,2.5179,2.0757,2.6873,2.4056,2.4509,3.318,0.0,3.1088,0.6928,0.6707,-1.1092,1.3797,1.288,1.8044,0.7027,1.3984,1.0155,0.701,0.7528,0.7349,0.858,0.5921,0.643,0.5739,0.4857,0.5344
Nick Foligno 2020,Nick Foligno,2020,L,31.919,72,210,72.0,79.0,72.0,73,79,2.0757,2.6873,2.4056,2.4509,1.894,0.0,3.1088,0.6928,0.6707,0.9456,-0.17247499999999993,1.288,1.8044,0.7027,1.3984,1.3527,0.701,0.7528,0.7349,0.858,0.471,0.643,0.5739,0.4857,0.5344,0.5396
Nick Foligno 2021,Nick Foligno,2021,L,32.921,72,210,79.0,72.0,73.0,79,71,2.6873,2.4056,2.4509,1.894,1.9296,3.1088,0.6928,0.6707,0.9456,0.6346,-0.7198749999999998,1.8044,0.7027,1.3984,1.3527,0.4667,0.7528,0.7349,0.858,0.471,0.5231,0.5739,0.4857,0.5344,0.5396,0.4925
Nick Foligno 2022,Nick Foligno,2022,L,33.92,72,210,72.0,73.0,79.0,71,64,2.4056,2.4509,1.894,1.9296,1.1031,0.6928,0.6707,0.9456,0.6346,0.0,-0.7359249999999999,0.7027,1.3984,1.3527,0.4667,0.8448,0.7349,0.858,0.471,0.5231,0.1716,0.4857,0.5344,0.5396,0.4925,0.468
Nick Foligno 2023,Nick Foligno,2023,L,34.92,72,210,73.0,79.0,71.0,64,60,2.4509,1.894,1.9296,1.1031,1.3994,0.6707,0.9456,0.6346,0.0,1.4291,0.866375,1.3984,1.3527,0.4667,0.8448,1.4841,0.858,0.471,0.5231,0.1716,0.7393,0.5344,0.5396,0.4925,0.468,0.4369
Kyle Okposo 2012,Kyle Okposo,2012,R,23.459,72,218,9.0,65.0,80.0,38,79,2.3593,3.1941,4.3,2.5303,1.6787,2.8257,2.6009,0.6977,0.0,1.3573,-0.173775,0.6603,1.8411,1.7403,1.4964,1.1263,0.4882,0.6173,0.7808,0.5834,1.043,0.7292,0.6802,0.896,0.8109,0.7958
Kyle Okposo 2013,Kyle Okposo,2013,R,24.461,72,218,65.0,80.0,38.0,79,82,3.1941,4.3,2.5303,1.6787,1.5569,2.6009,0.6977,0.0,1.3573,0.0,-1.163975,1.8411,1.7403,1.4964,1.1263,1.4112,0.6173,0.7808,0.5834,1.043,0.3277,0.6802,0.896,0.8109,0.7958,0.88
Kyle Okposo 2014,Kyle Okposo,2014,R,25.46,72,218,80.0,38.0,79.0,82,71,4.3,2.5303,1.6787,1.5569,3.9704,0.6977,0.0,1.3573,0.0,1.0642,0.5504500000000001,1.7403,1.4964,1.1263,1.4112,1.6112,0.7808,0.5834,1.043,0.3277,1.1422,0.896,0.8109,0.7958,0.88,0.7902
Kyle Okposo 2015,Kyle Okposo,2015,R,26.459,72,218,38.0,79.0,82.0,71,60,2.5303,1.6787,1.5569,3.9704,3.7739,0.0,1.3573,0.0,1.0642,1.5899,0.9845250000000001,1.4964,1.1263,1.4112,1.6112,1.8927,0.5834,1.043,0.3277,1.1422,0.7621,0.8109,0.7958,0.88,0.7902,0.8937
Kyle Okposo 2016,Kyle Okposo,2016,R,27.459,72,218,79.0,82.0,71.0,60,79,1.6787,1.5569,3.9704,3.7739,2.9785,1.3573,0.0,1.0642,1.5899,1.785,0.7821499999999999,1.1263,1.4112,1.6112,1.8927,1.4199,1.043,0.3277,1.1422,0.7621,0.7509,0.7958,0.88,0.7902,0.8937,0.8235
Kyle Okposo 2017,Kyle Okposo,2017,R,28.461,72,218,82.0,71.0,60.0,79,65,1.5569,3.9704,3.7739,2.9785,3.1931,0.0,1.0642,1.5899,1.785,2.0236,0.9138250000000001,1.4112,1.6112,1.8927,1.4199,1.9122,0.3277,1.1422,0.7621,0.7509,0.7083,0.88,0.7902,0.8937,0.8235,0.7341
Kyle Okposo 2018,Kyle Okposo,2018,R,29.46,72,218,71.0,60.0,79.0,65,76,3.9704,3.7739,2.9785,3.1931,3.4158,1.0642,1.5899,1.785,2.0236,1.3867,-0.22897499999999993,1.6112,1.8927,1.4199,1.9122,1.7566,1.1422,0.7621,0.7509,0.7083,0.5265,0.7902,0.8937,0.8235,0.7341,0.6296
Kyle Okposo 2019,Kyle Okposo,2019,R,30.459,72,218,60.0,79.0,65.0,76,78,3.7739,2.9785,3.1931,3.4158,1.8904,1.5899,1.785,2.0236,1.3867,2.8484,1.1521,1.8927,1.4199,1.9122,1.7566,1.7572,0.7621,0.7509,0.7083,0.5265,0.4532,0.8937,0.8235,0.7341,0.6296,0.548
Milan Lucic 2014,Milan Lucic,2014,L,25.318,75,240,50.0,79.0,81.0,78,80,0.7343,2.5131,2.2282,1.9877,2.3571,0.0,1.5111,2.3271,0.0,0.9546,-0.004950000000000121,1.3549,1.442,1.1527,0.7073,0.9785,0.7951,1.3533,0.9525,0.6134,1.0495,0.4722,0.6965,0.4214,0.4617,0.4792
Milan Lucic 2015,Milan Lucic,2015,L,26.317,75,240,79.0,81.0,78.0,80,81,2.5131,2.2282,1.9877,2.3571,1.828,1.5111,2.3271,0.0,0.9546,0.8104,-0.38780000000000014,1.442,1.1527,0.7073,0.9785,0.6323,1.3533,0.9525,0.6134,1.0495,0.818,0.6965,0.4214,0.4617,0.4792,0.5102
Milan Lucic 2016,Milan Lucic,2016,L,27.316,75,240,81.0,78.0,80.0,81,81,2.2282,1.9877,2.3571,1.828,2.1309,2.3271,0.0,0.9546,0.8104,0.6952,-0.32782500000000003,1.1527,0.7073,0.9785,0.6323,1.1791,0.9525,0.6134,1.0495,0.818,0.8853,0.4214,0.4617,0.4792,0.5102,0.4857
Milan Lucic 2017,Milan Lucic,2017,L,28.318,75,240,78.0,80.0,81.0,81,82,1.9877,2.3571,1.828,2.1309,2.7232,0.0,0.9546,0.8104,0.6952,3.2244,2.60935,0.7073,0.9785,0.6323,1.1791,1.8775,0.6134,1.0495,0.818,0.8853,0.5578,0.4617,0.4792,0.5102,0.4857,0.4636
Milan Lucic 2018,Milan Lucic,2018,L,29.318,75,240,80.0,81.0,81.0,82,82,2.3571,1.828,2.1309,2.7232,2.1331,0.9546,0.8104,0.6952,3.2244,1.0291,-0.39205000000000023,0.9785,0.6323,1.1791,1.8775,1.1919,1.0495,0.818,0.8853,0.5578,0.3713,0.4792,0.5102,0.4857,0.4636,0.597
Milan Lucic 2019,Milan Lucic,2019,L,30.317,75,240,81.0,81.0,82.0,82,79,1.828,2.1309,2.7232,2.1331,1.3483,0.8104,0.6952,3.2244,1.0291,1.1266,-0.313175,0.6323,1.1791,1.8775,1.1919,0.6581,0.818,0.8853,0.5578,0.3713,0.2558,0.5102,0.4857,0.4636,0.597,0.4045
Milan Lucic 2020,Milan Lucic,2020,L,31.316,75,240,81.0,82.0,82.0,79,80,2.1309,2.7232,2.1331,1.3483,1.6017,0.6952,3.2244,1.0291,1.1266,2.7544,1.2355749999999999,1.1791,1.8775,1.1919,0.6581,1.499,0.8853,0.5578,0.3713,0.2558,0.2273,0.4857,0.4636,0.597,0.4045,0.3084
Milan Lucic 2021,Milan Lucic,2021,L,32.318,75,240,82.0,82.0,79.0,80,82,2.7232,2.1331,1.3483,1.6017,1.494,3.2244,1.0291,1.1266,2.7544,1.4343,-0.5993249999999999,1.8775,1.1919,0.6581,1.499,1.2919,0.5578,0.3713,0.2558,0.2273,0.7081,0.4636,0.597,0.4045,0.3084,0.3476
Milan Lucic 2022,Milan Lucic,2022,L,33.318,75,240,82.0,79.0,80.0,82,82,2.1331,1.3483,1.6017,1.494,1.1165,1.0291,1.1266,2.7544,1.4343,1.3108,-0.2753000000000001,1.1919,0.6581,1.499,1.2919,1.0769,0.3713,0.2558,0.2273,0.7081,0.5281,0.597,0.4045,0.3084,0.3476,0.489
Claude Giroux 2012,Claude Giroux,2012,R,23.719,71,190,2.0,42.0,82.0,82,77,1.3167,1.3869,2.7577,3.0484,3.9173,0.0,2.0601,2.1226,1.9203,1.1935,-0.33224999999999993,4.6386,1.9922,2.095,2.1641,2.2388,0.0,0.7718,0.4522,0.7196,1.1164,0.317,1.0037,1.0095,1.0314,1.2743
Claude Giroux 2013,Claude Giroux,2013,R,24.721,71,190,42.0,82.0,82.0,77,82,1.3869,2.7577,3.0484,3.9173,3.6972,2.0601,2.1226,1.9203,1.1935,2.0285,0.2043750000000002,1.9922,2.095,2.1641,2.2388,1.6519,0.7718,0.4522,0.7196,1.1164,0.4757,1.0037,1.0095,1.0314,1.2743,0.7886
Claude Giroux 2014,Claude Giroux,2014,R,25.72,71,190,82.0,82.0,77.0,82,82,2.7577,3.0484,3.9173,3.6972,3.7577,2.1226,1.9203,1.1935,2.0285,1.363,-0.453225,2.095,2.1641,2.2388,1.6519,2.1039,0.4522,0.7196,1.1164,0.4757,0.9766,1.0095,1.0314,1.2743,0.7886,0.9481
Claude Giroux 2015,Claude Giroux,2015,R,26.719,71,190,82.0,77.0,82.0,82,81,3.0484,3.9173,3.6972,3.7577,3.3037,1.9203,1.1935,2.0285,1.363,3.139,1.5126749999999998,2.1641,2.2388,1.6519,2.1039,1.7085,0.7196,1.1164,0.4757,0.9766,0.494,1.0314,1.2743,0.7886,0.9481,1.0063
Claude Giroux 2016,Claude Giroux,2016,R,27.719,71,190,77.0,82.0,82.0,81,78,3.9173,3.6972,3.7577,3.3037,3.8545,1.1935,2.0285,1.363,3.139,1.1974,-0.7336,2.2388,1.6519,2.1039,1.7085,1.6397,1.1164,0.4757,0.9766,0.494,0.7586,1.2743,0.7886,0.9481,1.0063,0.8737
Claude Giroux 2017,Claude Giroux,2017,R,28.721,71,190,82.0,82.0,81.0,78,82,3.6972,3.7577,3.3037,3.8545,3.7419,2.0285,1.363,3.139,1.1974,0.9777,-0.954275,1.6519,2.1039,1.7085,1.6397,1.9137,0.4757,0.9766,0.494,0.7586,0.4358,0.7886,0.9481,1.0063,0.8737,0.6499
Claude Giroux 2018,Claude Giroux,2018,R,29.72,71,190,82.0,81.0,78.0,82,82,3.7577,3.3037,3.8545,3.7419,3.4791,1.363,3.139,1.1974,0.9777,1.8929,0.22362500000000018,2.1039,1.7085,1.6397,1.9137,1.5842,0.9766,0.494,0.7586,0.4358,1.1361,0.9481,1.0063,0.8737,0.6499,0.8664
Claude Giroux 2019,Claude Giroux,2019,R,30.72,71,190,81.0,78.0,82.0,82,82,3.3037,3.8545,3.7419,3.4791,3.5177,3.139,1.1974,0.9777,1.8929,0.416,-1.38575,1.7085,1.6397,1.9137,1.5842,1.4641,0.494,0.7586,0.4358,1.1361,0.8581,1.0063,0.8737,0.6499,0.8664,0.7613
Claude Giroux 2020,Claude Giroux,2020,R,31.719,71,190,78.0,82.0,82.0,82,81,3.8545,3.7419,3.4791,3.5177,3.114,1.1974,0.9777,1.8929,0.416,1.9547,0.8337000000000001,1.6397,1.9137,1.5842,1.4641,1.8436,0.7586,0.4358,1.1361,0.8581,0.7626,0.8737,0.6499,0.8664,0.7613,0.9315
Claude Giroux 2021,Claude Giroux,2021,R,32.721,71,190,82.0,82.0,82.0,81,79,3.7419,3.4791,3.5177,3.114,2.6222,0.9777,1.8929,0.416,1.9547,0.4237,-0.886625,1.9137,1.5842,1.4641,1.8436,1.7438,0.4358,1.1361,0.8581,0.7626,1.1314,0.6499,0.8664,0.7613,0.9315,1.0013
Claude Giroux 2022,Claude Giroux,2022,R,33.72,71,190,82.0,82.0,81.0,79,75,3.4791,3.5177,3.114,2.6222,3.2249,1.8929,0.416,1.9547,0.4237,1.2404,0.06857499999999983,1.5842,1.4641,1.8436,1.7438,1.663,1.1361,0.8581,0.7626,1.1314,0.8528,0.8664,0.7613,0.9315,1.0013,0.8875
Claude Giroux 2023,Claude Giroux,2023,R,34.72,71,190,82.0,81.0,79.0,75,82,3.5177,3.114,2.6222,3.2249,2.7474,0.416,1.9547,0.4237,1.2404,1.8643,0.8556000000000001,1.4641,1.8436,1.7438,1.663,1.6576,0.8581,0.7626,1.1314,0.8528,1.3596,0.7613,0.9315,1.0013,0.8875,1.2321
Jordan Staal 2011,Jordan Staal,2011,C,22.057,76,220,,82.0,82.0,82,42,,1.523,2.3425,1.9051,3.1706,,1.4413,0.6247,0.3841,1.3517,0.5349999999999999,,1.5836,1.0431,1.0527,0.8988,,0.4956,0.9944,0.9328,0.7295,,0.8235,0.7286,0.7542,0.5521
Jordan Staal 2012,Jordan Staal,2012,C,23.056,76,220,82.0,82.0,82.0,42,62,1.523,2.3425,1.9051,3.1706,2.0035,1.4413,0.6247,0.3841,1.3517,2.4151,1.4646499999999998,1.5836,1.0431,1.0527,0.8988,1.0181,0.4956,0.9944,0.9328,0.7295,1.0705,0.8235,0.7286,0.7542,0.5521,0.6532
Jordan Staal 2013,Jordan Staal,2013,C,24.058,76,220,82.0,82.0,42.0,62,82,2.3425,1.9051,3.1706,2.0035,2.3229,0.6247,0.3841,1.3517,2.4151,0.5381,-0.6557999999999999,1.0431,1.0527,0.8988,1.0181,1.6336,0.9944,0.9328,0.7295,1.0705,0.7241,0.7286,0.7542,0.5521,0.6532,0.6699
Jordan Staal 2014,Jordan Staal,2014,C,25.057,76,220,82.0,42.0,62.0,82,82,1.9051,3.1706,2.0035,2.3229,2.2724,0.3841,1.3517,2.4151,0.5381,0.644,-0.52825,1.0527,0.8988,1.0181,1.6336,1.4467,0.9328,0.7295,1.0705,0.7241,0.5845,0.7542,0.5521,0.6532,0.6699,0.6578
Jordan Staal 2015,Jordan Staal,2015,C,26.057,76,220,42.0,62.0,82.0,82,46,3.1706,2.0035,2.3229,2.2724,2.0029,1.3517,2.4151,0.5381,0.644,0.6512,-0.586025,0.8988,1.0181,1.6336,1.4467,2.5249,0.7295,1.0705,0.7241,0.5845,0.3999,0.5521,0.6532,0.6699,0.6578,0.6902
Jordan Staal 2016,Jordan Staal,2016,C,27.056,76,220,62.0,82.0,82.0,46,82,2.0035,2.3229,2.2724,2.0029,1.7909,2.4151,0.5381,0.644,0.6512,2.4515,1.3893999999999997,1.0181,1.6336,1.4467,2.5249,1.6409,1.0705,0.7241,0.5845,0.3999,0.6957,0.6532,0.6699,0.6578,0.6902,0.6426
Jordan Staal 2017,Jordan Staal,2017,C,28.058,76,220,82.0,82.0,46.0,82,75,2.3229,2.2724,2.0029,1.7909,2.2529,0.5381,0.644,0.6512,2.4515,1.4204,0.3492000000000002,1.6336,1.4467,2.5249,1.6409,1.1889,0.7241,0.5845,0.3999,0.6957,0.5946,0.6699,0.6578,0.6902,0.6426,0.6751
Jordan Staal 2018,Jordan Staal,2018,C,29.058,76,220,82.0,46.0,82.0,75,79,2.2724,2.0029,1.7909,2.2529,2.5947,0.644,0.6512,2.4515,1.4204,1.1708,-0.12097499999999983,1.4467,2.5249,1.6409,1.1889,2.0261,0.5845,0.3999,0.6957,0.5946,0.6618,0.6578,0.6902,0.6426,0.6751,0.6279
Jordan Staal 2019,Jordan Staal,2019,C,30.057,76,220,46.0,82.0,75.0,79,50,2.0029,1.7909,2.2529,2.5947,1.8207,0.6512,2.4515,1.4204,1.1708,0.0,-1.423475,2.5249,1.6409,1.1889,2.0261,1.5606,0.3999,0.6957,0.5946,0.6618,0.9016,0.6902,0.6426,0.6751,0.6279,0.9348
Jordan Staal 2020,Jordan Staal,2020,C,31.056,76,220,82.0,75.0,79.0,50,80,1.7909,2.2529,2.5947,1.8207,1.1784,2.4515,1.4204,1.1708,0.0,1.4975,0.23682500000000006,1.6409,1.1889,2.0261,1.5606,1.2793,0.6957,0.5946,0.6618,0.9016,0.3792,0.6426,0.6751,0.6279,0.9348,0.718
Jordan Staal 2021,Jordan Staal,2021,C,32.058,76,220,75.0,79.0,50.0,80,77,2.2529,2.5947,1.8207,1.1784,2.5824,1.4204,1.1708,0.0,1.4975,3.0687,2.046525,1.1889,2.0261,1.5606,1.2793,2.038,0.5946,0.6618,0.9016,0.3792,0.7392,0.6751,0.6279,0.9348,0.718,0.5999
Jordan Staal 2022,Jordan Staal,2022,C,33.058,76,220,79.0,50.0,80.0,77,78,2.5947,1.8207,1.1784,2.5824,0.7092,1.1708,0.0,1.4975,3.0687,1.0847,-0.34955,2.0261,1.5606,1.2793,2.038,0.6586,0.6618,0.9016,0.3792,0.7392,0.8985,0.6279,0.9348,0.718,0.5999,0.8933
Derick Brassard 2012,Derick Brassard,2012,C,24.025,73,200,17.0,31.0,79.0,74,74,1.6961,3.3543,2.5253,2.9829,3.0752,0.0,1.731,1.203,1.6309,1.3183,0.1770750000000001,0.956,1.829,1.2986,1.9698,1.1476,0.485,1.2332,0.3109,0.6397,0.5555,0.5793,0.5705,0.6042,0.7413,0.6081
Derick Brassard 2013,Derick Brassard,2013,C,25.027,73,200,31.0,79.0,74.0,74,80,3.3543,2.5253,2.9829,3.0752,2.8025,1.731,1.203,1.6309,1.3183,1.3666,-0.10420000000000007,1.829,1.2986,1.9698,1.1476,1.5328,1.2332,0.3109,0.6397,0.5555,0.8404,0.5705,0.6042,0.7413,0.6081,0.593
Derick Brassard 2014,Derick Brassard,2014,C,26.027,73,200,79.0,74.0,74.0,80,81,2.5253,2.9829,3.0752,2.8025,2.5527,1.203,1.6309,1.3183,1.3666,2.0313,0.6515999999999997,1.2986,1.9698,1.1476,1.5328,1.5564,0.3109,0.6397,0.5555,0.8404,0.6169,0.6042,0.7413,0.6081,0.593,0.7433
Derick Brassard 2015,Derick Brassard,2015,C,27.026,73,200,74.0,74.0,80.0,81,80,2.9829,3.0752,2.8025,2.5527,2.7471,1.6309,1.3183,1.3666,2.0313,1.6381,0.05132499999999984,1.9698,1.1476,1.5328,1.5564,1.4862,0.6397,0.5555,0.8404,0.6169,0.6768,0.7413,0.6081,0.593,0.7433,0.6331
Derick Brassard 2016,Derick Brassard,2016,C,28.025,73,200,74.0,80.0,81.0,80,80,3.0752,2.8025,2.5527,2.7471,2.7208,1.3183,1.3666,2.0313,1.6381,2.2052,0.616625,1.1476,1.5328,1.5564,1.4862,1.4436,0.5555,0.8404,0.6169,0.6768,0.9503,0.6081,0.593,0.7433,0.6331,0.8341
Derick Brassard 2017,Derick Brassard,2017,C,29.027,73,200,80.0,81.0,80.0,80,81,2.8025,2.5527,2.7471,2.7208,2.5438,1.3666,2.0313,1.6381,2.2052,0.8736,-0.9367,1.5328,1.5564,1.4862,1.4436,1.2508,0.8404,0.6169,0.6768,0.9503,0.5524,0.593,0.7433,0.6331,0.8341,0.7629
Derick Brassard 2018,Derick Brassard,2018,C,30.027,73,200,81.0,80.0,80.0,81,72,2.5527,2.7471,2.7208,2.5438,2.537,2.0313,1.6381,2.2052,0.8736,1.6423,-0.044749999999999845,1.5564,1.4862,1.4436,1.2508,1.9465,0.6169,0.6768,0.9503,0.5524,0.8843,0.7433,0.6331,0.8341,0.7629,0.895
Derick Brassard 2019,Derick Brassard,2019,C,31.026,73,200,80.0,80.0,81.0,72,70,2.7471,2.7208,2.5438,2.537,1.5926,1.6381,2.2052,0.8736,1.6423,1.0764,-0.5134000000000001,1.4862,1.4436,1.2508,1.9465,1.1249,0.6768,0.9503,0.5524,0.8843,0.7744,0.6331,0.8341,0.7629,0.895,0.6144
Derick Brassard 2020,Derick Brassard,2020,C,32.026,73,200,80.0,81.0,72.0,70,77,2.7208,2.5438,2.537,1.5926,1.7447,2.2052,0.8736,1.6423,1.0764,1.5632,0.11382499999999984,1.4436,1.2508,1.9465,1.1249,1.125,0.9503,0.5524,0.8843,0.7744,0.5359,0.8341,0.7629,0.895,0.6144,0.7148
Derick Brassard 2021,Derick Brassard,2021,C,33.028,73,200,81.0,72.0,70.0,77,77,2.5438,2.537,1.5926,1.7447,2.3805,0.8736,1.6423,1.0764,1.5632,1.9022,0.6133249999999999,1.2508,1.9465,1.1249,1.125,1.1632,0.5524,0.8843,0.7744,0.5359,0.3678,0.7629,0.895,0.6144,0.7148,0.5733
Derick Brassard 2022,Derick Brassard,2022,C,34.027,73,200,72.0,70.0,77.0,77,46,2.537,1.5926,1.7447,2.3805,1.5496,1.6423,1.0764,1.5632,1.9022,0.8417,-0.704325,1.9465,1.1249,1.125,1.1632,1.4693,0.8843,0.7744,0.5359,0.3678,0.808,0.895,0.6144,0.7148,0.5733,0.7132
Derick Brassard 2023,Derick Brassard,2023,C,35.026,73,200,70.0,77.0,77.0,46,62,1.5926,1.7447,2.3805,1.5496,1.8828,1.0764,1.5632,1.9022,0.8417,2.57,1.224125,1.1249,1.125,1.1632,1.4693,2.7802,0.7744,0.5359,0.3678,0.808,0.7704,0.6144,0.7148,0.5733,0.7132,0.7454
