,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y1 PK A1/60,Y2 PK A1/60,Y3 PK A1/60,Y4 PK A1/60,Y5 PK A1/60,Y1 PK A2/60,Y2 PK A2/60,Y3 PK A2/60,Y4 PK A2/60,Y5 PK A2/60
Andrew Cogliano 2017,Andrew Cogliano,2017,C,29.301,70,179,82.0,82.0,82.0,82,82,1.6514,1.6148,1.6673,1.8976,1.7754,0.0,0.9062,0.0,0.3856,0.4121,0.0,0.0,0.0,0.0,0.0
Andrew Cogliano 2018,Andrew Cogliano,2018,C,30.301,70,179,82.0,82.0,82.0,82,80,1.6148,1.6673,1.8976,1.7754,1.719,0.9062,0.0,0.3856,0.4121,0.4363,0.0,0.0,0.0,0.0,0.0
Andrew Cogliano 2019,Andrew Cogliano,2019,C,31.3,70,179,82.0,82.0,82.0,80,78,1.6673,1.8976,1.7754,1.719,1.3491,0.0,0.3856,0.4121,0.4363,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Cogliano 2020,Andrew Cogliano,2020,C,32.299,70,179,82.0,82.0,80.0,78,80,1.8976,1.7754,1.719,1.3491,1.4706,0.3856,0.4121,0.4363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Cogliano 2021,Andrew Cogliano,2021,C,33.301,70,179,82.0,80.0,78.0,80,79,1.7754,1.719,1.3491,1.4706,1.4478,0.4121,0.4363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Cogliano 2022,Andrew Cogliano,2022,C,34.301,70,179,80.0,78.0,80.0,79,74,1.719,1.3491,1.4706,1.4478,1.755,0.4363,0.0,0.0,0.0,0.462,0.0,0.0,0.0,0.0,0.0
Andrew Cogliano 2023,Andrew Cogliano,2023,C,35.3,70,179,78.0,80.0,79.0,74,79,1.3491,1.4706,1.4478,1.755,1.9013,0.0,0.0,0.0,0.462,0.7989,0.0,0.0,0.0,0.0,0.0
Darren Helm 2018,Darren Helm,2018,C,30.695,72,192,42.0,75.0,77.0,50,75,2.1714,1.5376,1.8015,1.6487,2.0122,0.0,0.0,0.0,0.7279,0.7951,0.0,0.0,0.0,0.0,0.0
Darren Helm 2019,Darren Helm,2019,C,31.694,72,192,75.0,77.0,50.0,75,61,1.5376,1.8015,1.6487,2.0122,1.8896,0.0,0.0,0.7279,0.7951,0.5205,0.0,0.0,0.0,0.0,1.0411
Darren Helm 2020,Darren Helm,2020,C,32.694,72,192,77.0,50.0,75.0,61,80,1.8015,1.6487,2.0122,1.8896,1.6328,0.0,0.7279,0.7951,0.5205,0.5404,0.0,0.0,0.0,1.0411,0.0
Darren Helm 2021,Darren Helm,2021,C,33.696,72,192,50.0,75.0,61.0,80,68,1.6487,2.0122,1.8896,1.6328,1.8291,0.7279,0.7951,0.5205,0.5404,0.0,0.0,0.0,1.0411,0.0,0.0
Darren Helm 2022,Darren Helm,2022,C,34.695,72,192,75.0,61.0,80.0,68,68,2.0122,1.8896,1.6328,1.8291,1.9,0.7951,0.5205,0.5404,0.0,0.4644,0.0,1.0411,0.0,0.0,0.0
Brad Marchand 2015,Brad Marchand,2015,L,26.391,69,176,77.0,76.0,76.0,82,77,1.5768,1.4059,1.28,1.5549,1.3829,0.4942,1.1231,0.0,0.0,0.5635,0.0,0.0,0.0,0.0,0.0
Brad Marchand 2016,Brad Marchand,2016,L,27.39,69,176,76.0,76.0,82.0,77,77,1.4059,1.28,1.5549,1.3829,2.021,1.1231,0.0,0.0,0.5635,0.7711,0.0,0.0,0.0,0.0,0.0
Brad Marchand 2017,Brad Marchand,2017,L,28.392,69,176,76.0,82.0,77.0,77,80,1.28,1.5549,1.3829,2.021,1.8981,0.0,0.0,0.5635,0.7711,0.3951,0.0,0.0,0.0,0.0,0.3951
Brad Marchand 2018,Brad Marchand,2018,L,29.392,69,176,82.0,77.0,77.0,80,68,1.5549,1.3829,2.021,1.8981,1.8255,0.0,0.5635,0.7711,0.3951,1.4501,0.0,0.0,0.0,0.3951,0.0
Brad Marchand 2019,Brad Marchand,2019,L,30.391,69,176,77.0,77.0,80.0,68,79,1.3829,2.021,1.8981,1.8255,1.5692,0.5635,0.7711,0.3951,1.4501,1.452,0.0,0.0,0.3951,0.0,0.484
Brad Marchand 2020,Brad Marchand,2020,L,31.39,69,176,77.0,80.0,68.0,79,82,2.021,1.8981,1.8255,1.5692,1.5862,0.7711,0.3951,1.4501,1.452,1.0808,0.0,0.3951,0.0,0.484,0.0
Brad Marchand 2021,Brad Marchand,2021,L,32.392,69,176,80.0,68.0,79.0,82,77,1.8981,1.8255,1.5692,1.5862,1.5881,0.3951,1.4501,1.452,1.0808,2.1386,0.3951,0.0,0.484,0.0,0.0
Brad Marchand 2022,Brad Marchand,2022,L,33.392,69,176,68.0,79.0,82.0,77,70,1.8255,1.5692,1.5862,1.5881,1.6569,1.4501,1.452,1.0808,2.1386,0.0,0.0,0.484,0.0,0.0,0.0
Brad Marchand 2023,Brad Marchand,2023,L,34.391,69,176,79.0,82.0,77.0,70,73,1.5692,1.5862,1.5881,1.6569,1.4995,1.452,1.0808,2.1386,0.0,0.5481,0.484,0.0,0.0,0.0,0.0
Trevor Lewis 2015,Trevor Lewis,2015,C,27.73,73,201,72.0,72.0,82.0,73,73,1.7764,1.6993,1.8375,1.8879,1.4171,0.0,0.0,0.6803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Lewis 2016,Trevor Lewis,2016,C,28.729,73,201,72.0,82.0,73.0,73,75,1.6993,1.8375,1.8879,1.4171,1.5309,0.0,0.6803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Lewis 2017,Trevor Lewis,2017,C,29.731,73,201,82.0,73.0,73.0,75,82,1.8375,1.8879,1.4171,1.5309,1.235,0.6803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Lewis 2018,Trevor Lewis,2018,C,30.73,73,201,73.0,73.0,75.0,82,68,1.8879,1.4171,1.5309,1.235,1.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Lewis 2019,Trevor Lewis,2019,C,31.73,73,201,73.0,75.0,82.0,68,44,1.4171,1.5309,1.235,1.664,1.4462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Lewis 2020,Trevor Lewis,2020,C,32.729,73,201,75.0,82.0,68.0,44,66,1.5309,1.235,1.664,1.4462,0.8289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Lewis 2021,Trevor Lewis,2021,C,33.731,73,201,82.0,68.0,44.0,66,82,1.235,1.664,1.4462,0.8289,1.7583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Lewis 2022,Trevor Lewis,2022,C,34.731,73,201,68.0,44.0,66.0,82,80,1.664,1.4462,0.8289,1.7583,1.7085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Lewis 2023,Trevor Lewis,2023,C,35.73,73,201,44.0,66.0,82.0,80,82,1.4462,0.8289,1.7583,1.7085,1.7108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cal Clutterbuck 2013,Cal Clutterbuck,2013,R,24.871,72,212,78.0,74.0,76.0,74,71,0.7919,1.5282,1.4502,1.486,1.6468,0.0,0.0,0.5444,0.0,0.8675,0.0,0.0,0.0,0.0,0.0
