,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y5 dPP ATOI
Blake Wheeler 2016,Blake Wheeler,2016,R,29.085,77,220,80.0,82.0,82.0,79,82,2.6465,2.601,2.64,3.2403,3.1654,0.38344999999999985
Blake Wheeler 2017,Blake Wheeler,2017,R,30.087,77,220,82.0,82.0,79.0,82,82,2.601,2.64,3.2403,3.1654,2.9364,0.024725000000000108
Blake Wheeler 2018,Blake Wheeler,2018,R,31.086,77,220,82.0,79.0,82.0,82,81,2.64,3.2403,3.1654,2.9364,3.1496,0.15407500000000018
Blake Wheeler 2019,Blake Wheeler,2019,R,32.086,77,220,79.0,82.0,82.0,81,82,3.2403,3.1654,2.9364,3.1496,3.5874,0.4644750000000002
Blake Wheeler 2020,Blake Wheeler,2020,R,33.085,77,220,82.0,82.0,81.0,82,83,3.1654,2.9364,3.1496,3.5874,3.2404,0.030700000000000394
Blake Wheeler 2021,Blake Wheeler,2021,R,34.087,77,220,82.0,81.0,82.0,83,73,2.9364,3.1496,3.5874,3.2404,2.9783,-0.2501500000000001
Blake Wheeler 2022,Blake Wheeler,2022,R,35.087,77,220,81.0,82.0,83.0,73,65,3.1496,3.5874,3.2404,2.9783,3.1546,-0.0843250000000002
Blake Wheeler 2023,Blake Wheeler,2023,R,36.086,77,220,82.0,83.0,73.0,65,72,3.5874,3.2404,2.9783,3.1546,2.75,-0.4901749999999998
David Krejci 2011,David Krejci,2011,C,24.428,72,192,,56.0,82.0,79,75,,2.1452,2.3797,2.4179,2.688,0.3737333333333335
David Krejci 2012,David Krejci,2012,C,25.427,72,192,56.0,82.0,79.0,75,79,2.1452,2.3797,2.4179,2.688,2.4405,0.03279999999999994
David Krejci 2013,David Krejci,2013,C,26.429,72,192,82.0,79.0,75.0,79,80,2.3797,2.4179,2.688,2.4405,2.2085,-0.2730250000000001
David Krejci 2014,David Krejci,2014,C,27.429,72,192,79.0,75.0,79.0,80,80,2.4179,2.688,2.4405,2.2085,2.5617,0.12297500000000028
David Krejci 2015,David Krejci,2015,C,28.428,72,192,75.0,79.0,80.0,80,47,2.688,2.4405,2.2085,2.5617,2.2138,-0.26087499999999997
David Krejci 2016,David Krejci,2016,C,29.427,72,192,79.0,80.0,80.0,47,72,2.4405,2.2085,2.5617,2.2138,3.2306,0.8744749999999999
David Krejci 2017,David Krejci,2017,C,30.429,72,192,80.0,80.0,47.0,72,82,2.2085,2.5617,2.2138,3.2306,2.55,-0.003650000000000375
David Krejci 2018,David Krejci,2018,C,31.429,72,192,80.0,47.0,72.0,82,64,2.5617,2.2138,3.2306,2.55,2.2263,-0.412725
David Krejci 2019,David Krejci,2019,C,32.428,72,192,47.0,72.0,82.0,64,81,2.2138,3.2306,2.55,2.2263,2.2484,-0.306775
David Krejci 2020,David Krejci,2020,C,33.427,72,192,72.0,82.0,64.0,81,71,3.2306,2.55,2.2263,2.2484,1.9213,-0.642525
David Krejci 2021,David Krejci,2021,C,34.429,72,192,82.0,64.0,81.0,71,74,2.55,2.2263,2.2484,1.9213,2.5167,0.2802000000000002
Paul Stastny 2011,Paul Stastny,2011,C,24.762,72,193,,66.0,45.0,81,74,,4.223,4.0848,3.7767,3.0761,-0.9520666666666666
Paul Stastny 2012,Paul Stastny,2012,C,25.761,72,193,66.0,45.0,81.0,74,79,4.223,4.0848,3.7767,3.0761,2.3549,-1.43525
Paul Stastny 2013,Paul Stastny,2013,C,26.763,72,193,45.0,81.0,74.0,79,68,4.0848,3.7767,3.0761,2.3549,2.7029,-0.620225
Paul Stastny 2014,Paul Stastny,2014,C,27.763,72,193,81.0,74.0,79.0,68,71,3.7767,3.0761,2.3549,2.7029,2.3758,-0.6018500000000002
Paul Stastny 2015,Paul Stastny,2015,C,28.762,72,193,74.0,79.0,68.0,71,74,3.0761,2.3549,2.7029,2.3758,2.3426,-0.2848250000000001
Paul Stastny 2016,Paul Stastny,2016,C,29.761,72,193,79.0,68.0,71.0,74,64,2.3549,2.7029,2.3758,2.3426,2.3661,-0.07794999999999996
Paul Stastny 2017,Paul Stastny,2017,C,30.763,72,193,68.0,71.0,74.0,64,66,2.7029,2.3758,2.3426,2.3661,2.5826,0.13574999999999982
Paul Stastny 2018,Paul Stastny,2018,C,31.763,72,193,71.0,74.0,64.0,66,82,2.3758,2.3426,2.3661,2.5826,2.638,0.221225
Paul Stastny 2019,Paul Stastny,2019,C,32.762,72,193,74.0,64.0,66.0,82,50,2.3426,2.3661,2.5826,2.638,2.0333,-0.4490249999999998
Paul Stastny 2020,Paul Stastny,2020,C,33.761,72,193,64.0,66.0,82.0,50,83,2.3661,2.5826,2.638,2.0333,2.3225,-0.08250000000000002
Paul Stastny 2021,Paul Stastny,2021,C,34.763,72,193,66.0,82.0,50.0,83,82,2.5826,2.638,2.0333,2.3225,2.9518,0.5577000000000001
Paul Stastny 2022,Paul Stastny,2022,C,35.763,72,193,82.0,50.0,83.0,82,71,2.638,2.0333,2.3225,2.9518,1.7418,-0.7445999999999997
Paul Stastny 2023,Paul Stastny,2023,C,36.762,72,193,50.0,83.0,82.0,71,73,2.0333,2.3225,2.9518,1.7418,1.5772,-0.6851500000000001
Sidney Crosby 2011,Sidney Crosby,2011,C,23.152,71,200,,53.0,77.0,81,41,,5.1752,5.3823,5.0072,5.4285,0.24026666666666596
Sidney Crosby 2016,Sidney Crosby,2016,C,28.151,71,200,22.0,61.0,80.0,77,80,3.8879,4.3722,4.2879,3.6359,3.711,-0.33497500000000047
Sidney Crosby 2017,Sidney Crosby,2017,C,29.153,71,200,61.0,80.0,77.0,80,75,4.3722,4.2879,3.6359,3.711,3.6142,-0.3875499999999996
