,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y5 dPK ATOI
Dmitry Orlov 2021,Dmitry Orlov,2021,D,29.195,71,214,82.0,82.0,82.0,81,74,0.2504,1.9801,1.3726,0.9085,0.6569,-0.47099999999999986
Dmitry Orlov 2022,Dmitry Orlov,2022,D,30.194,71,214,82.0,82.0,81.0,74,76,1.9801,1.3726,0.9085,0.6569,0.752,-0.477525
Dmitry Orlov 2023,Dmitry Orlov,2023,D,31.193,71,214,82.0,81.0,74.0,76,66,1.3726,0.9085,0.6569,0.752,2.0816,1.1591
Brian Dumoulin 2018,Brian Dumoulin,2018,D,26.071,76,207,6.0,8.0,79.0,70,80,1.2778,0.7292,1.2947,1.8426,2.5317,1.2456249999999998
Brian Dumoulin 2019,Brian Dumoulin,2019,D,27.07,76,207,8.0,79.0,70.0,80,76,0.7292,1.2947,1.8426,2.5317,2.3629,0.7633499999999998
Brian Dumoulin 2023,Brian Dumoulin,2023,D,31.07,76,207,76.0,33.0,60.0,76,82,2.3629,2.1607,2.6963,2.3875,2.9608,0.5589499999999998
Mattias Ekholm 2016,Mattias Ekholm,2016,D,25.356,76,215,2.0,1.0,62.0,80,82,0.2583,,1.3274,1.5125,1.725,0.6922666666666668
Mattias Ekholm 2017,Mattias Ekholm,2017,D,26.358,76,215,1.0,62.0,80.0,82,82,,1.3274,1.5125,1.725,2.2522,0.7305666666666668
Mattias Ekholm 2018,Mattias Ekholm,2018,D,27.357,76,215,62.0,80.0,82.0,82,81,1.3274,1.5125,1.725,2.2522,2.915,1.210725
Mattias Ekholm 2019,Mattias Ekholm,2019,D,28.357,76,215,80.0,82.0,82.0,81,80,1.5125,1.725,2.2522,2.915,2.2404,0.13922500000000015
Mattias Ekholm 2020,Mattias Ekholm,2020,D,29.356,76,215,82.0,82.0,81.0,80,80,1.725,2.2522,2.915,2.2404,2.8218,0.5386500000000001
Mattias Ekholm 2021,Mattias Ekholm,2021,D,30.358,76,215,82.0,81.0,80.0,80,68,2.2522,2.915,2.2404,2.8218,2.6067,0.049350000000000005
Mattias Ekholm 2022,Mattias Ekholm,2022,D,31.357,76,215,81.0,80.0,80.0,68,76,2.915,2.2404,2.8218,2.6067,3.2822,0.636225
Mattias Ekholm 2023,Mattias Ekholm,2023,D,32.357,76,215,80.0,80.0,68.0,76,78,2.2404,2.8218,2.6067,3.2822,2.5192,-0.21857499999999996
David Savard 2016,David Savard,2016,D,24.943,73,235,31.0,6.0,70.0,82,65,0.1828,0.7125,1.3536,2.8815,2.8759,1.5933000000000002
David Savard 2017,David Savard,2017,D,25.945,73,235,6.0,70.0,82.0,65,74,0.7125,1.3536,2.8815,2.8759,2.4577,0.501825
David Savard 2018,David Savard,2018,D,26.944,73,235,70.0,82.0,65.0,74,81,1.3536,2.8815,2.8759,2.4577,2.2136,-0.17857499999999993
David Savard 2019,David Savard,2019,D,27.943,73,235,82.0,65.0,74.0,81,82,2.8815,2.8759,2.4577,2.2136,1.7128,-0.8943749999999997
David Savard 2020,David Savard,2020,D,28.943,73,235,65.0,74.0,81.0,82,80,2.8759,2.4577,2.2136,1.7128,1.8517,-0.46330000000000005
David Savard 2021,David Savard,2021,D,29.945,73,235,74.0,81.0,82.0,80,79,2.4577,2.2136,1.7128,1.8517,1.9275,-0.13144999999999984
David Savard 2022,David Savard,2022,D,30.944,73,235,81.0,82.0,80.0,79,62,2.2136,1.7128,1.8517,1.9275,2.7992,0.8727999999999998
David Savard 2023,David Savard,2023,D,31.943,73,235,82.0,80.0,79.0,62,62,1.7128,1.8517,1.9275,2.7992,3.3005,1.2277
Ben Chiarot 2017,Ben Chiarot,2017,D,25.4,75,232,,1.0,40.0,70,59,,,0.8608,0.7726,1.9777,1.161
Ben Chiarot 2018,Ben Chiarot,2018,D,26.399,75,232,1.0,40.0,70.0,59,57,,0.8608,0.7726,1.9777,1.3219,0.11820000000000008
Ben Chiarot 2019,Ben Chiarot,2019,D,27.398,75,232,40.0,70.0,59.0,57,78,0.8608,0.7726,1.9777,1.3219,1.7583,0.52505
Ben Chiarot 2020,Ben Chiarot,2020,D,28.398,75,232,70.0,59.0,57.0,78,81,0.7726,1.9777,1.3219,1.7583,3.0403,1.5826749999999998
Ben Chiarot 2021,Ben Chiarot,2021,D,29.4,75,232,59.0,57.0,78.0,81,60,1.9777,1.3219,1.7583,3.0403,2.7419,0.7173499999999997
Ben Chiarot 2022,Ben Chiarot,2022,D,30.399,75,232,57.0,78.0,81.0,60,74,1.3219,1.7583,3.0403,2.7419,2.975,0.7594000000000003
Ben Chiarot 2023,Ben Chiarot,2023,D,31.399,75,232,78.0,81.0,60.0,74,76,1.7583,3.0403,2.7419,2.975,2.4292,-0.19967500000000005
Nick Jensen 2019,Nick Jensen,2019,D,28.028,73,205,,,49.0,81,80,,,1.5333,1.9372,2.4413,0.7060499999999998
Nick Jensen 2020,Nick Jensen,2020,D,29.027,73,205,,49.0,81.0,80,80,,1.5333,1.9372,2.4413,2.3534,0.38280000000000003
Nick Jensen 2021,Nick Jensen,2021,D,30.03,73,205,49.0,81.0,80.0,80,77,1.5333,1.9372,2.4413,2.3534,2.6632,0.5968999999999998
Nick Jensen 2022,Nick Jensen,2022,D,31.029,73,205,81.0,80.0,80.0,77,76,1.9372,2.4413,2.3534,2.6632,2.55,0.201225
Nick Jensen 2023,Nick Jensen,2023,D,32.028,73,205,80.0,80.0,77.0,76,77,2.4413,2.3534,2.6632,2.55,2.4864,-0.015574999999999672
Brenden Dillon 2015,Brenden Dillon,2015,D,23.883,76,224,,1.0,82.0,80,80,,2.6833,2.6028,2.3906,1.3533,-1.2056
Brenden Dillon 2016,Brenden Dillon,2016,D,24.882,76,224,1.0,82.0,80.0,80,76,2.6833,2.6028,2.3906,1.3533,1.0143,-1.2431999999999999
Brenden Dillon 2017,Brenden Dillon,2017,D,25.884,76,224,82.0,80.0,80.0,76,81,2.6028,2.3906,1.3533,1.0143,0.8058,-1.03445
Brenden Dillon 2018,Brenden Dillon,2018,D,26.884,76,224,80.0,80.0,76.0,81,81,2.3906,1.3533,1.0143,0.8058,1.4387,0.047700000000000076
Brenden Dillon 2019,Brenden Dillon,2019,D,27.883,76,224,80.0,76.0,81.0,81,82,1.3533,1.0143,0.8058,1.4387,1.1071,-0.045924999999999994
Brenden Dillon 2020,Brenden Dillon,2020,D,28.882,76,224,76.0,81.0,81.0,82,81,1.0143,0.8058,1.4387,1.1071,2.1546,1.0631249999999999
Brenden Dillon 2021,Brenden Dillon,2021,D,29.884,76,224,81.0,81.0,82.0,81,82,0.8058,1.4387,1.1071,2.1546,1.8313,0.45475
Brenden Dillon 2022,Brenden Dillon,2022,D,30.884,76,224,81.0,82.0,81.0,82,79,1.4387,1.1071,2.1546,1.8313,1.7662,0.13327500000000003
Brenden Dillon 2023,Brenden Dillon,2023,D,31.883,76,224,82.0,81.0,82.0,79,82,1.1071,2.1546,1.8313,1.7662,2.574,0.8592
Radko Gudas 2018,Radko Gudas,2018,D,27.324,72,208,73.0,31.0,76.0,67,70,1.7158,0.672,2.7132,1.907,1.8643,0.11230000000000007
Radko Gudas 2019,Radko Gudas,2019,D,28.324,72,208,31.0,76.0,67.0,70,77,0.672,2.7132,1.907,1.8643,2.6297,0.8405750000000001
Radko Gudas 2020,Radko Gudas,2020,D,29.323,72,208,76.0,67.0,70.0,77,74,2.7132,1.907,1.8643,2.6297,2.7733,0.4947499999999998
Radko Gudas 2021,Radko Gudas,2021,D,30.325,72,208,67.0,70.0,77.0,74,79,1.907,1.8643,2.6297,2.7733,1.9522,-0.3413750000000002
Radko Gudas 2022,Radko Gudas,2022,D,31.325,72,208,70.0,77.0,74.0,79,77,1.8643,2.6297,2.7733,1.9522,2.0749,-0.22997500000000004
Radko Gudas 2023,Radko Gudas,2023,D,32.324,72,208,77.0,74.0,79.0,77,72,2.6297,2.7733,1.9522,2.0749,2.5324,0.1748750000000001
Matt Irwin 2015,Matt Irwin,2015,D,26.84,74,200,,,64.0,62,53,,,0.218,0.1866,0.1509,-0.051399999999999973
Matt Irwin 2019,Matt Irwin,2019,D,30.84,74,200,53.0,2.0,74.0,50,44,0.1509,1.125,1.22,0.6253,0.2197,-0.5606
Matt Irwin 2020,Matt Irwin,2020,D,31.839,74,200,2.0,74.0,50.0,44,42,1.125,1.22,0.6253,0.2197,0.9588,0.1613
Justin Holl 2022,Justin Holl,2022,D,29.671,75,197,2.0,11.0,80.0,80,69,1.2667,,1.9941,2.53,2.4606,0.5303333333333333
Justin Holl 2023,Justin Holl,2023,D,30.67,75,197,11.0,80.0,80.0,69,80,,1.9941,2.53,2.4606,3.066,0.7377666666666665
Patrik Nemeth 2019,Patrik Nemeth,2019,D,26.645,76,230,22.0,38.0,40.0,68,74,1.1439,1.0807,1.02,3.3311,3.2054,1.561475
Patrik Nemeth 2020,Patrik Nemeth,2020,D,27.645,76,230,38.0,40.0,68.0,74,75,1.0807,1.02,3.3311,3.2054,3.3742,1.2149
Patrik Nemeth 2021,Patrik Nemeth,2021,D,28.647,76,230,40.0,68.0,74.0,75,76,1.02,3.3311,3.2054,3.3742,2.2356,-0.49707500000000016
Patrik Nemeth 2022,Patrik Nemeth,2022,D,29.646,76,230,68.0,74.0,75.0,76,63,3.3311,3.2054,3.3742,2.2356,1.5648,-1.471775
Patrik Nemeth 2023,Patrik Nemeth,2023,D,30.646,76,230,74.0,75.0,76.0,63,75,3.2054,3.3742,2.2356,1.5648,3.2658,0.6708000000000003
Jon Merrill 2016,Jon Merrill,2016,D,23.658,75,204,,,52.0,66,47,,,0.6676,1.7571,1.2734,0.06105000000000005
Jon Merrill 2017,Jon Merrill,2017,D,24.66,75,204,,52.0,66.0,47,51,,0.6676,1.7571,1.2734,1.4778,0.24509999999999987
Jon Merrill 2021,Jon Merrill,2021,D,28.661,75,204,51.0,34.0,57.0,57,71,1.4778,0.4211,1.2225,1.4139,1.2939,0.1600750000000002
Jon Merrill 2022,Jon Merrill,2022,D,29.66,75,204,34.0,57.0,57.0,71,69,0.4211,1.2225,1.4139,1.2939,1.9403,0.8524499999999999
Jon Merrill 2023,Jon Merrill,2023,D,30.659,75,204,57.0,57.0,71.0,69,73,1.2225,1.4139,1.2939,1.9403,1.0493,-0.41835
Justin Faulk 2014,Justin Faulk,2014,D,21.534,72,214,,,66.0,64,76,,,1.828,2.9895,2.4344,0.025650000000000173
Justin Faulk 2015,Justin Faulk,2015,D,22.533,72,214,,66.0,64.0,76,82,,1.828,2.9895,2.4344,2.022,-0.3953000000000002
Justin Faulk 2016,Justin Faulk,2016,D,23.532,72,214,66.0,64.0,76.0,82,64,1.828,2.9895,2.4344,2.022,1.9078,-0.4106749999999999
Justin Faulk 2017,Justin Faulk,2017,D,24.535,72,214,64.0,76.0,82.0,64,75,2.9895,2.4344,2.022,1.9078,0.7284,-1.6100249999999998
Justin Faulk 2018,Justin Faulk,2018,D,25.534,72,214,76.0,82.0,64.0,75,76,2.4344,2.022,1.9078,0.7284,0.5294,-1.24375
Justin Faulk 2019,Justin Faulk,2019,D,26.533,72,214,82.0,64.0,75.0,76,82,2.022,1.9078,0.7284,0.5294,1.7303,0.4334
Justin Faulk 2020,Justin Faulk,2020,D,27.533,72,214,64.0,75.0,76.0,82,81,1.9078,0.7284,0.5294,1.7303,1.1133,-0.11067500000000008
Justin Faulk 2021,Justin Faulk,2021,D,28.535,72,214,75.0,76.0,82.0,81,82,0.7284,0.5294,1.7303,1.1133,2.6664,1.64105
Justin Faulk 2022,Justin Faulk,2022,D,29.534,72,214,76.0,82.0,81.0,82,76,0.5294,1.7303,1.1133,2.6664,1.7719,0.2620500000000001
Justin Faulk 2023,Justin Faulk,2023,D,30.533,72,214,82.0,81.0,82.0,76,82,1.7303,1.1133,2.6664,1.7719,1.8703,0.04982500000000001
Derek Forbort 2019,Derek Forbort,2019,D,26.577,76,208,,14.0,82.0,78,81,,0.6798,2.1793,2.6968,2.2858,0.4338333333333333
Derek Forbort 2023,Derek Forbort,2023,D,30.577,76,208,81.0,23.0,82.0,76,54,2.2858,1.4933,2.6923,3.0792,3.1133,0.7256500000000004
Cam Fowler 2013,Cam Fowler,2013,D,20.825,74,215,,,76.0,82,63,,,0.395,0.6886,0.568,0.02619999999999989
Cam Fowler 2014,Cam Fowler,2014,D,21.824,74,215,,76.0,82.0,63,70,,0.395,0.6886,0.568,2.7424,2.191866666666667
Cam Fowler 2015,Cam Fowler,2015,D,22.823,74,215,76.0,82.0,63.0,70,80,0.395,0.6886,0.568,2.7424,1.7962,0.6977
Cam Fowler 2016,Cam Fowler,2016,D,23.823,74,215,82.0,63.0,70.0,80,69,0.6886,0.568,2.7424,1.7962,2.1722,0.7234000000000003
Cam Fowler 2017,Cam Fowler,2017,D,24.825,74,215,63.0,70.0,80.0,69,80,0.568,2.7424,1.7962,2.1722,2.7546,0.9348999999999998
Cam Fowler 2018,Cam Fowler,2018,D,25.824,74,215,70.0,80.0,69.0,80,67,2.7424,1.7962,2.1722,2.7546,2.3928,0.02644999999999964
Cam Fowler 2019,Cam Fowler,2019,D,26.823,74,215,80.0,69.0,80.0,67,59,1.7962,2.1722,2.7546,2.3928,1.4963,-0.7826500000000001
Cam Fowler 2020,Cam Fowler,2020,D,27.823,74,215,69.0,80.0,67.0,59,69,2.1722,2.7546,2.3928,1.4963,0.7141,-1.4898749999999998
Cam Fowler 2021,Cam Fowler,2021,D,28.825,74,215,80.0,67.0,59.0,69,82,2.7546,2.3928,1.4963,0.7141,1.9417,0.10225000000000017
Cam Fowler 2022,Cam Fowler,2022,D,29.824,74,215,67.0,59.0,69.0,82,76,2.3928,1.4963,0.7141,1.9417,2.8673,1.2310750000000001
Cam Fowler 2023,Cam Fowler,2023,D,30.824,74,215,59.0,69.0,82.0,76,82,1.4963,0.7141,1.9417,2.8673,1.9886,0.2337499999999999
Erik Gudbranson 2014,Erik Gudbranson,2014,D,21.734,77,222,,,72.0,54,65,,,0.3127,1.6302,1.9531,0.98165
Erik Gudbranson 2015,Erik Gudbranson,2015,D,22.733,77,222,,72.0,54.0,65,76,,0.3127,1.6302,1.9531,2.17,0.8713333333333333
Erik Gudbranson 2016,Erik Gudbranson,2016,D,23.732,77,222,72.0,54.0,65.0,76,64,0.3127,1.6302,1.9531,2.17,3.2396,1.7230999999999999
Erik Gudbranson 2020,Erik Gudbranson,2020,D,27.732,77,222,64.0,30.0,52.0,76,60,3.2396,2.6617,2.5401,2.0561,2.049,-0.5753749999999997
Erik Gudbranson 2021,Erik Gudbranson,2021,D,28.735,77,222,30.0,52.0,76.0,60,64,2.6617,2.5401,2.0561,2.049,2.3568,0.030075000000000074
Erik Gudbranson 2022,Erik Gudbranson,2022,D,29.734,77,222,52.0,76.0,60.0,64,78,2.5401,2.0561,2.049,2.3568,2.8951,0.6446000000000001
Erik Gudbranson 2023,Erik Gudbranson,2023,D,30.733,77,222,76.0,60.0,64.0,78,70,2.0561,2.049,2.3568,2.8951,2.2055,-0.13375000000000004
Jani Hakanpaa 2023,Jani Hakanpaa,2023,D,30.503,78,225,,5.0,83.0,80,82,,1.4233,2.0126,2.2829,3.2687,1.3624333333333332
John Klingberg 2017,John Klingberg,2017,D,24.132,75,190,,,65.0,76,80,,,0.1505,0.0991,0.2615,0.13670000000000002
John Klingberg 2018,John Klingberg,2018,D,25.131,75,190,,65.0,76.0,80,82,,0.1505,0.0991,0.2615,1.1372,0.9668333333333333
John Klingberg 2019,John Klingberg,2019,D,26.131,75,190,65.0,76.0,80.0,82,64,0.1505,0.0991,0.2615,1.1372,0.757,0.34492500000000004
John Klingberg 2020,John Klingberg,2020,D,27.13,75,190,76.0,80.0,82.0,64,68,0.0991,0.2615,1.1372,0.757,0.3072,-0.2565
John Klingberg 2021,John Klingberg,2021,D,28.132,75,190,80.0,82.0,64.0,68,77,0.2615,1.1372,0.757,0.3072,0.178,-0.437725
John Klingberg 2022,John Klingberg,2022,D,29.132,75,190,82.0,64.0,68.0,77,74,1.1372,0.757,0.3072,0.178,0.2809,-0.31395
John Klingberg 2023,John Klingberg,2023,D,30.131,75,190,64.0,68.0,77.0,74,67,0.757,0.3072,0.178,0.2809,0.0465,-0.334275
Josh Manson 2018,Josh Manson,2018,D,25.986,75,218,,28.0,71.0,82,80,,1.5726,2.1338,2.3394,2.4452,0.42993333333333306
Josh Manson 2019,Josh Manson,2019,D,26.985,75,218,28.0,71.0,82.0,80,74,1.5726,2.1338,2.3394,2.4452,3.1682,1.0454500000000002
Josh Manson 2020,Josh Manson,2020,D,27.984,75,218,71.0,82.0,80.0,74,58,2.1338,2.3394,2.4452,3.1682,2.505,-0.016650000000000276
Dylan DeMelo 2020,Dylan DeMelo,2020,D,26.418,72,195,45.0,25.0,63.0,77,69,0.1293,0.316,0.2839,1.711,2.2367,1.62665
Dylan DeMelo 2021,Dylan DeMelo,2021,D,27.42,72,195,25.0,63.0,77.0,69,76,0.316,0.2839,1.711,2.2367,2.5962,1.4593
Dylan DeMelo 2022,Dylan DeMelo,2022,D,28.42,72,195,63.0,77.0,69.0,76,76,0.2839,1.711,2.2367,2.5962,2.6173,0.9103500000000002
Dylan DeMelo 2023,Dylan DeMelo,2023,D,29.419,72,195,77.0,69.0,76.0,76,75,1.711,2.2367,2.5962,2.6173,2.656,0.3656999999999999
Mike Reilly 2020,Mike Reilly,2020,D,26.218,73,196,29.0,17.0,57.0,57,51,0.058,0.0225,0.0854,0.5029,0.358,0.19079999999999997
Mike Reilly 2021,Mike Reilly,2021,D,27.22,73,196,17.0,57.0,57.0,51,80,0.0225,0.0854,0.5029,0.358,1.5821,1.3399
Mike Reilly 2022,Mike Reilly,2022,D,28.22,73,196,57.0,57.0,51.0,80,70,0.0854,0.5029,0.358,1.5821,0.7907,0.15859999999999996
Scott Mayfield 2020,Scott Mayfield,2020,D,26.963,77,220,6.0,25.0,47.0,79,79,1.4,0.0207,1.4972,2.3222,2.4995,1.1894749999999998
Scott Mayfield 2021,Scott Mayfield,2021,D,27.965,77,220,25.0,47.0,79.0,79,82,0.0207,1.4972,2.3222,2.4995,2.2443,0.6594
Scott Mayfield 2022,Scott Mayfield,2022,D,28.965,77,220,47.0,79.0,79.0,82,61,1.4972,2.3222,2.4995,2.2443,2.2686,0.12780000000000014
Scott Mayfield 2023,Scott Mayfield,2023,D,29.964,77,220,79.0,79.0,82.0,61,82,2.3222,2.4995,2.2443,2.2686,2.7297,0.3960499999999998
Joel Edmundson 2018,Joel Edmundson,2018,D,24.261,77,221,,,67.0,69,69,,,1.103,1.8855,2.2517,0.75745
Joel Edmundson 2019,Joel Edmundson,2019,D,25.26,77,221,,67.0,69.0,69,64,,1.103,1.8855,2.2517,2.0839,0.3371666666666666
Joel Edmundson 2020,Joel Edmundson,2020,D,26.259,77,221,67.0,69.0,69.0,64,80,1.103,1.8855,2.2517,2.0839,2.776,0.9449749999999999
Joel Edmundson 2021,Joel Edmundson,2021,D,27.262,77,221,69.0,69.0,64.0,80,80,1.8855,2.2517,2.0839,2.776,2.3088,0.05952500000000027
Adam Larsson 2017,Adam Larsson,2017,D,23.886,75,209,63.0,26.0,64.0,82,79,1.1514,0.9013,3.1641,3.3533,1.5996,-0.5429250000000001
Adam Larsson 2018,Adam Larsson,2018,D,24.885,75,209,26.0,64.0,82.0,79,63,0.9013,3.1641,3.3533,1.5996,2.4135,0.15892499999999998
Adam Larsson 2019,Adam Larsson,2019,D,25.884,75,209,64.0,82.0,79.0,63,82,3.1641,3.3533,1.5996,2.4135,2.0163,-0.6163249999999998
Adam Larsson 2020,Adam Larsson,2020,D,26.884,75,209,82.0,79.0,63.0,82,57,3.3533,1.5996,2.4135,2.0163,1.6776,-0.668075
Adam Larsson 2021,Adam Larsson,2021,D,27.886,75,209,79.0,63.0,82.0,57,82,1.5996,2.4135,2.0163,1.6776,2.3342,0.4074500000000001
Adam Larsson 2022,Adam Larsson,2022,D,28.885,75,209,63.0,82.0,57.0,82,82,2.4135,2.0163,1.6776,2.3342,2.5293,0.41889999999999983
Adam Larsson 2023,Adam Larsson,2023,D,29.884,75,209,82.0,57.0,82.0,82,82,2.0163,1.6776,2.3342,2.5293,2.8167,0.6773499999999997
Dougie Hamilton 2015,Dougie Hamilton,2015,D,21.29,78,230,,,71.0,64,72,,,0.3071,0.656,1.1634,0.68185
Dougie Hamilton 2016,Dougie Hamilton,2016,D,22.289,78,230,,71.0,64.0,72,82,,0.3071,0.656,1.1634,0.4843,-0.2245333333333333
Dougie Hamilton 2017,Dougie Hamilton,2017,D,23.292,78,230,71.0,64.0,72.0,82,81,0.3071,0.656,1.1634,0.4843,0.8984,0.24569999999999992
Dougie Hamilton 2018,Dougie Hamilton,2018,D,24.291,78,230,64.0,72.0,82.0,81,82,0.656,1.1634,0.4843,0.8984,0.5089,-0.291625
Dougie Hamilton 2019,Dougie Hamilton,2019,D,25.29,78,230,72.0,82.0,81.0,82,82,1.1634,0.4843,0.8984,0.5089,0.2539,-0.50985
Dougie Hamilton 2020,Dougie Hamilton,2020,D,26.29,78,230,82.0,81.0,82.0,82,55,0.4843,0.8984,0.5089,0.2539,2.3071,1.770725
Dougie Hamilton 2021,Dougie Hamilton,2021,D,27.292,78,230,81.0,82.0,82.0,55,80,0.8984,0.5089,0.2539,2.3071,1.4518,0.45972499999999994
Dougie Hamilton 2022,Dougie Hamilton,2022,D,28.291,78,230,82.0,82.0,55.0,80,62,0.5089,0.2539,2.3071,1.4518,0.4898,-0.640625
Dougie Hamilton 2023,Dougie Hamilton,2023,D,29.29,78,230,82.0,55.0,80.0,62,82,0.2539,2.3071,1.4518,0.4898,0.1724,-0.95325
Jonas Brodin 2015,Jonas Brodin,2015,D,21.222,74,196,,,76.0,79,71,,,2.0315,2.2717,2.2336,0.08199999999999985
Jonas Brodin 2016,Jonas Brodin,2016,D,22.221,74,196,,76.0,79.0,71,68,,2.0315,2.2717,2.2336,1.7623,-0.4166333333333332
Jonas Brodin 2017,Jonas Brodin,2017,D,23.223,74,196,76.0,79.0,71.0,68,68,2.0315,2.2717,2.2336,1.7623,1.8613,-0.21347499999999986
Jonas Brodin 2018,Jonas Brodin,2018,D,24.222,74,196,79.0,71.0,68.0,68,73,2.2717,2.2336,1.7623,1.8613,2.3986,0.3663750000000001
Jonas Brodin 2019,Jonas Brodin,2019,D,25.222,74,196,71.0,68.0,68.0,73,82,2.2336,1.7623,1.8613,2.3986,2.1179,0.05394999999999994
Jonas Brodin 2020,Jonas Brodin,2020,D,26.221,74,196,68.0,68.0,73.0,82,81,1.7623,1.8613,2.3986,2.1179,2.065,0.029974999999999863
Jonas Brodin 2021,Jonas Brodin,2021,D,27.223,74,196,68.0,73.0,82.0,81,77,1.8613,2.3986,2.1179,2.065,2.1484,0.03770000000000007
Jonas Brodin 2022,Jonas Brodin,2022,D,28.223,74,196,73.0,82.0,81.0,77,73,2.3986,2.1179,2.065,2.1484,2.5541,0.37162499999999987
Jonas Brodin 2023,Jonas Brodin,2023,D,29.222,74,196,82.0,81.0,77.0,73,60,2.1179,2.065,2.1484,2.5541,2.9606,0.7392499999999997
Jamie Oleksiak 2019,Jamie Oleksiak,2019,D,25.778,79,257,36.0,19.0,41.0,68,57,1.0718,0.614,1.2488,1.8809,0.3544,-0.849475
Jamie Oleksiak 2020,Jamie Oleksiak,2020,D,26.777,79,257,19.0,41.0,68.0,57,81,0.614,1.2488,1.8809,0.3544,0.5618,-0.46272499999999994
Jamie Oleksiak 2021,Jamie Oleksiak,2021,D,27.779,79,257,41.0,68.0,57.0,81,82,1.2488,1.8809,0.3544,0.5618,1.4783,0.46682500000000005
Jamie Oleksiak 2022,Jamie Oleksiak,2022,D,28.778,79,257,68.0,57.0,81.0,82,72,1.8809,0.3544,0.5618,1.4783,1.7551,0.68625
Jamie Oleksiak 2023,Jamie Oleksiak,2023,D,29.778,79,257,57.0,81.0,82.0,72,75,0.3544,0.5618,1.4783,1.7551,2.8702,1.8328
Nathan Beaulieu 2017,Nathan Beaulieu,2017,D,23.823,74,200,10.0,17.0,64.0,64,74,0.1083,0.0176,0.2492,0.4852,0.9671,0.7520249999999999
Nathan Beaulieu 2018,Nathan Beaulieu,2018,D,24.822,74,200,17.0,64.0,64.0,74,59,0.0176,0.2492,0.4852,0.9671,0.2585,-0.171275
Nathan Beaulieu 2019,Nathan Beaulieu,2019,D,25.821,74,200,64.0,64.0,74.0,59,48,0.2492,0.4852,0.9671,0.2585,0.6194,0.12939999999999996
Nathan Beaulieu 2020,Nathan Beaulieu,2020,D,26.821,74,200,64.0,74.0,59.0,48,44,0.4852,0.9671,0.2585,0.6194,2.3044,1.7218499999999999
Connor Murphy 2017,Connor Murphy,2017,D,23.519,76,212,,30.0,73.0,78,77,,1.85,1.726,2.135,1.8537,-0.049966666666666715
Connor Murphy 2018,Connor Murphy,2018,D,24.518,76,212,30.0,73.0,78.0,77,76,1.85,1.726,2.135,1.8537,1.1224,-0.768775
Connor Murphy 2019,Connor Murphy,2019,D,25.517,76,212,73.0,78.0,77.0,76,52,1.726,2.135,1.8537,1.1224,2.0923,0.38302499999999995
Connor Murphy 2020,Connor Murphy,2020,D,26.517,76,212,78.0,77.0,76.0,52,68,2.135,1.8537,1.1224,2.0923,2.8072,1.00635
Connor Murphy 2021,Connor Murphy,2021,D,27.519,76,212,77.0,76.0,52.0,68,71,1.8537,1.1224,2.0923,2.8072,2.733,0.7641000000000002
Connor Murphy 2022,Connor Murphy,2022,D,28.518,76,212,76.0,52.0,68.0,71,57,1.1224,2.0923,2.8072,2.733,2.6848,0.49607500000000027
Connor Murphy 2023,Connor Murphy,2023,D,29.518,76,212,52.0,68.0,71.0,57,80,2.0923,2.8072,2.733,2.6848,2.1075,-0.47182499999999994
Colin Miller 2018,Colin Miller,2018,D,24.923,73,200,,,42.0,61,82,,,0.0905,0.2563,0.9911,0.8177
Colin Miller 2019,Colin Miller,2019,D,25.923,73,200,,42.0,61.0,82,65,,0.0905,0.2563,0.9911,0.5851,0.13913333333333333
Colin Miller 2020,Colin Miller,2020,D,26.922,73,200,42.0,61.0,82.0,65,60,0.0905,0.2563,0.9911,0.5851,0.3137,-0.16704999999999998
Colin Miller 2021,Colin Miller,2021,D,27.924,73,200,61.0,82.0,65.0,60,70,0.2563,0.9911,0.5851,0.3137,0.8656,0.32905000000000006
Brad Hunt 2020,Brad Hunt,2020,D,31.103,69,177,7.0,12.0,45.0,42,69,0.0357,0.2472,0.0848,0.0123,0.0653,-0.029700000000000004
Torey Krug 2016,Torey Krug,2016,D,24.472,69,194,2.0,1.0,79.0,78,81,0.3833,1.5833,0.2502,0.1895,0.6486,0.047024999999999983
Torey Krug 2017,Torey Krug,2017,D,25.474,69,194,1.0,79.0,78.0,81,81,1.5833,0.2502,0.1895,0.6486,0.3714,-0.29649999999999993
Torey Krug 2018,Torey Krug,2018,D,26.473,69,194,79.0,78.0,81.0,81,76,0.2502,0.1895,0.6486,0.3714,0.3912,0.026274999999999993
Torey Krug 2019,Torey Krug,2019,D,27.472,69,194,78.0,81.0,81.0,76,64,0.1895,0.6486,0.3714,0.3912,0.2128,-0.187375
Torey Krug 2020,Torey Krug,2020,D,28.472,69,194,81.0,81.0,76.0,64,71,0.6486,0.3714,0.3912,0.2128,0.1189,-0.28709999999999997
Torey Krug 2021,Torey Krug,2021,D,29.474,69,194,81.0,76.0,64.0,71,74,0.3714,0.3912,0.2128,0.1189,0.4163,0.142725
Torey Krug 2022,Torey Krug,2022,D,30.473,69,194,76.0,64.0,71.0,74,64,0.3912,0.2128,0.1189,0.4163,0.1828,-0.10200000000000001
