,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
Marc Staal 2020,Marc Staal,2020,D,32.715,76,208,77.0,72.0,72.0,79,61,17.3113,17.1914,15.6875,16.4903,14.7538,-1.9163249999999987
Marc Staal 2021,Marc Staal,2021,D,33.718,76,208,72.0,72.0,79.0,61,82,17.1914,15.6875,16.4903,14.7538,16.1902,0.15944999999999965
Marc Staal 2022,Marc Staal,2022,D,34.717,76,208,72.0,79.0,61.0,82,71,15.6875,16.4903,14.7538,16.1902,15.1009,-0.6795500000000008
Marc Staal 2023,Marc Staal,2023,D,35.716,76,208,79.0,61.0,82.0,71,82,16.4903,14.7538,16.1902,15.1009,15.5589,-0.0749000000000013
Marc-Edouard Vlasic 2012,Marc-Edouard Vlasic,2012,D,24.507,73,205,82.0,82.0,64.0,80,82,17.5413,18.3,17.3706,17.6781,20.4701,2.7475999999999985
Marc-Edouard Vlasic 2013,Marc-Edouard Vlasic,2013,D,25.509,73,205,82.0,64.0,80.0,82,82,18.3,17.3706,17.6781,20.4701,18.1556,-0.29909999999999926
Marc-Edouard Vlasic 2014,Marc-Edouard Vlasic,2014,D,26.509,73,205,64.0,80.0,82.0,82,81,17.3706,17.6781,20.4701,18.1556,17.8158,-0.6027999999999984
Marc-Edouard Vlasic 2015,Marc-Edouard Vlasic,2015,D,27.508,73,205,80.0,82.0,82.0,81,70,17.6781,20.4701,18.1556,17.8158,18.3105,-0.2193999999999967
Marc-Edouard Vlasic 2016,Marc-Edouard Vlasic,2016,D,28.507,73,205,82.0,82.0,81.0,70,67,20.4701,18.1556,17.8158,18.3105,18.8147,0.1266999999999996
Marc-Edouard Vlasic 2017,Marc-Edouard Vlasic,2017,D,29.509,73,205,82.0,81.0,70.0,67,75,18.1556,17.8158,18.3105,18.8147,17.2262,-1.0479500000000002
Marc-Edouard Vlasic 2018,Marc-Edouard Vlasic,2018,D,30.509,73,205,81.0,70.0,67.0,75,81,17.8158,18.3105,18.8147,17.2262,18.5967,0.5549
Marc-Edouard Vlasic 2019,Marc-Edouard Vlasic,2019,D,31.508,73,205,70.0,67.0,75.0,81,72,18.3105,18.8147,17.2262,18.5967,17.6586,-0.5784249999999993
Marc-Edouard Vlasic 2020,Marc-Edouard Vlasic,2020,D,32.507,73,205,67.0,75.0,81.0,72,82,18.8147,17.2262,18.5967,17.6586,17.1343,-0.9397500000000001
Marc-Edouard Vlasic 2021,Marc-Edouard Vlasic,2021,D,33.509,73,205,75.0,81.0,72.0,82,74,17.2262,18.5967,17.6586,17.1343,15.0131,-2.6408499999999986
Marc-Edouard Vlasic 2022,Marc-Edouard Vlasic,2022,D,34.509,73,205,81.0,72.0,82.0,74,75,18.5967,17.6586,17.1343,15.0131,14.2582,-2.8424749999999985
Marc-Edouard Vlasic 2023,Marc-Edouard Vlasic,2023,D,35.508,73,205,72.0,82.0,74.0,75,78,17.6586,17.1343,15.0131,14.2582,14.7444,-1.2716499999999993
Kris Letang 2012,Kris Letang,2012,D,24.439,72,201,63.0,74.0,73.0,82,51,14.7175,16.2374,17.321,17.4341,19.0281,2.6005999999999965
Kris Letang 2013,Kris Letang,2013,D,25.441,72,201,74.0,73.0,82.0,51,59,16.2374,17.321,17.4341,19.0281,18.7762,1.271049999999999
Kris Letang 2019,Kris Letang,2019,D,31.44,72,201,69.0,71.0,41.0,79,65,18.8928,20.6246,19.6293,19.6352,20.5315,0.8360249999999994
Kris Letang 2020,Kris Letang,2020,D,32.439,72,201,71.0,41.0,79.0,65,71,20.6246,19.6293,19.6352,20.5315,19.9844,-0.12075000000000102
Kris Letang 2021,Kris Letang,2021,D,33.441,72,201,41.0,79.0,65.0,71,80,19.6293,19.6352,20.5315,19.9844,20.0218,0.07669999999999888
Kris Letang 2022,Kris Letang,2022,D,34.44,72,201,79.0,65.0,71.0,80,78,19.6352,20.5315,19.9844,20.0218,20.8115,0.7682749999999992
Kris Letang 2023,Kris Letang,2023,D,35.44,72,201,65.0,71.0,80.0,78,64,20.5315,19.9844,20.0218,20.8115,20.3104,-0.026899999999997704
Anton Stralman 2014,Anton Stralman,2014,D,27.168,71,193,73.0,51.0,53.0,82,81,16.1797,16.4209,15.2827,15.9944,17.4757,1.5062749999999987
Anton Stralman 2015,Anton Stralman,2015,D,28.168,71,193,51.0,53.0,82.0,81,82,16.4209,15.2827,15.9944,17.4757,16.8854,0.5919750000000015
Anton Stralman 2016,Anton Stralman,2016,D,29.167,71,193,53.0,82.0,81.0,82,73,15.2827,15.9944,17.4757,16.8854,17.0957,0.6861500000000014
Anton Stralman 2017,Anton Stralman,2017,D,30.169,71,193,82.0,81.0,82.0,73,73,15.9944,17.4757,16.8854,17.0957,18.6048,1.7420000000000009
Anton Stralman 2018,Anton Stralman,2018,D,31.169,71,193,81.0,82.0,73.0,73,80,17.4757,16.8854,17.0957,18.6048,18.3442,0.8288000000000011
Anton Stralman 2019,Anton Stralman,2019,D,32.168,71,193,82.0,73.0,73.0,80,47,16.8854,17.0957,18.6048,18.3442,17.5287,-0.20382500000000192
Anton Stralman 2020,Anton Stralman,2020,D,33.167,71,193,73.0,73.0,80.0,47,81,17.0957,18.6048,18.3442,17.5287,18.3027,0.4093499999999999
Anton Stralman 2021,Anton Stralman,2021,D,34.169,71,193,73.0,80.0,47.0,81,55,18.6048,18.3442,17.5287,18.3027,16.5785,-1.6166000000000018
Anton Stralman 2022,Anton Stralman,2022,D,35.169,71,193,80.0,47.0,81.0,55,74,18.3442,17.5287,18.3027,16.5785,18.2396,0.5510750000000009
Erik Johnson 2014,Erik Johnson,2014,D,25.531,76,225,79.0,77.0,73.0,52,80,17.3563,17.6318,16.9144,16.4446,19.3362,2.2494250000000022
Erik Johnson 2015,Erik Johnson,2015,D,26.531,76,225,77.0,73.0,52.0,80,47,17.6318,16.9144,16.4446,19.3362,19.2238,1.6420500000000011
Erik Johnson 2016,Erik Johnson,2016,D,27.53,76,225,73.0,52.0,80.0,47,73,16.9144,16.4446,19.3362,19.2238,18.3011,0.3213499999999989
Erik Johnson 2017,Erik Johnson,2017,D,28.532,76,225,52.0,80.0,47.0,73,46,16.4446,19.3362,19.2238,18.3011,17.142,-1.184425000000001
Erik Johnson 2018,Erik Johnson,2018,D,29.531,76,225,80.0,47.0,73.0,46,62,19.3362,19.2238,18.3011,17.142,19.9691,1.468325
Erik Johnson 2019,Erik Johnson,2019,D,30.531,76,225,47.0,73.0,46.0,62,80,19.2238,18.3011,17.142,19.9691,18.3652,-0.2937999999999974
Erik Johnson 2020,Erik Johnson,2020,D,31.53,76,225,73.0,46.0,62.0,80,69,18.3011,17.142,19.9691,18.3652,17.5325,-0.9118500000000012
Jeff Petry 2016,Jeff Petry,2016,D,27.812,75,209,73.0,82.0,80.0,78,51,17.9733,17.9281,17.6817,18.2571,17.2108,-0.74925
Jeff Petry 2017,Jeff Petry,2017,D,28.814,75,209,82.0,80.0,78.0,51,80,17.9281,17.6817,18.2571,17.2108,18.5427,0.7732750000000017
Jeff Petry 2018,Jeff Petry,2018,D,29.813,75,209,80.0,78.0,51.0,80,82,17.6817,18.2571,17.2108,18.5427,18.3543,0.43122499999999775
Jeff Petry 2019,Jeff Petry,2019,D,30.813,75,209,78.0,51.0,80.0,82,82,18.2571,17.2108,18.5427,18.3543,18.4585,0.36727499999999935
Jeff Petry 2020,Jeff Petry,2020,D,31.812,75,209,51.0,80.0,82.0,82,83,17.2108,18.5427,18.3543,18.4585,19.1439,1.002324999999999
Jeff Petry 2021,Jeff Petry,2021,D,32.814,75,209,80.0,82.0,82.0,83,80,18.5427,18.3543,18.4585,19.1439,18.3361,-0.2887500000000003
Jeff Petry 2022,Jeff Petry,2022,D,33.813,75,209,82.0,82.0,83.0,80,68,18.3543,18.4585,19.1439,18.3361,18.0174,-0.5558000000000014
Jeff Petry 2023,Jeff Petry,2023,D,34.813,75,209,82.0,83.0,80.0,68,61,18.4585,19.1439,18.3361,18.0174,17.6538,-0.8351749999999996
Ian Cole 2018,Ian Cole,2018,D,28.609,73,225,46.0,74.0,70.0,81,67,14.2058,15.1331,14.5479,17.2829,15.5122,0.2197749999999985
Ian Cole 2019,Ian Cole,2019,D,29.608,73,225,74.0,70.0,81.0,67,71,15.1331,14.5479,17.2829,15.5122,16.4012,0.7821749999999987
Ian Cole 2020,Ian Cole,2020,D,30.607,73,225,70.0,81.0,67.0,71,76,14.5479,17.2829,15.5122,16.4012,15.1746,-0.76145
Ian Cole 2021,Ian Cole,2021,D,31.609,73,225,81.0,67.0,71.0,76,79,17.2829,15.5122,16.4012,15.1746,14.3719,-1.7208250000000014
Ian Cole 2022,Ian Cole,2022,D,32.609,73,225,67.0,71.0,76.0,79,75,15.5122,16.4012,15.1746,14.3719,14.5976,-0.7673749999999995
Ian Cole 2023,Ian Cole,2023,D,33.608,73,225,71.0,76.0,79.0,75,78,16.4012,15.1746,14.3719,14.5976,16.4365,1.3001749999999994
Justin Braun 2016,Justin Braun,2016,D,28.639,74,205,66.0,70.0,82.0,70,80,14.4154,15.9602,17.7398,18.3379,17.8683,1.2549750000000017
Justin Braun 2017,Justin Braun,2017,D,29.641,74,205,70.0,82.0,70.0,80,81,15.9602,17.7398,18.3379,17.8683,17.8243,0.34775000000000134
Justin Braun 2018,Justin Braun,2018,D,30.64,74,205,82.0,70.0,80.0,81,81,17.7398,18.3379,17.8683,17.8243,18.5455,0.602924999999999
Justin Braun 2019,Justin Braun,2019,D,31.639,74,205,70.0,80.0,81.0,81,78,18.3379,17.8683,17.8243,18.5455,17.8942,-0.24980000000000047
Justin Braun 2020,Justin Braun,2020,D,32.639,74,205,80.0,81.0,81.0,78,73,17.8683,17.8243,18.5455,17.8942,15.1511,-2.8819750000000006
Justin Braun 2021,Justin Braun,2021,D,33.641,74,205,81.0,81.0,78.0,73,77,17.8243,18.5455,17.8942,15.1511,16.0094,-1.3443749999999994
Justin Braun 2022,Justin Braun,2022,D,34.64,74,205,81.0,78.0,73.0,77,69,18.5455,17.8942,15.1511,16.0094,17.3111,0.41104999999999947
Justin Braun 2023,Justin Braun,2023,D,35.64,74,205,78.0,73.0,77.0,69,51,17.8942,15.1511,16.0094,17.3111,13.5278,-3.0636500000000026
Kevin Shattenkirk 2015,Kevin Shattenkirk,2015,D,25.671,72,212,72.0,81.0,82.0,81,56,16.4542,16.7792,16.8976,16.4984,17.3613,0.703949999999999
Kevin Shattenkirk 2016,Kevin Shattenkirk,2016,D,26.67,72,212,81.0,82.0,81.0,56,72,16.7792,16.8976,16.4984,17.3613,17.7313,0.847175
Kevin Shattenkirk 2017,Kevin Shattenkirk,2017,D,27.672,72,212,82.0,81.0,56.0,72,80,16.8976,16.4984,17.3613,17.7313,16.4294,-0.6927500000000002
Kevin Shattenkirk 2018,Kevin Shattenkirk,2018,D,28.672,72,212,81.0,56.0,72.0,80,46,16.4984,17.3613,17.7313,16.4294,17.0033,-0.0017999999999993577
Kevin Shattenkirk 2019,Kevin Shattenkirk,2019,D,29.671,72,212,56.0,72.0,80.0,46,73,17.3613,17.7313,16.4294,17.0033,16.0724,-1.0589250000000021
Kevin Shattenkirk 2020,Kevin Shattenkirk,2020,D,30.67,72,212,72.0,80.0,46.0,73,82,17.7313,16.4294,17.0033,16.0724,17.0729,0.2637999999999998
Kevin Shattenkirk 2021,Kevin Shattenkirk,2021,D,31.672,72,212,80.0,46.0,73.0,82,80,16.4294,17.0033,16.0724,17.0729,18.3621,1.717600000000001
Kevin Shattenkirk 2022,Kevin Shattenkirk,2022,D,32.672,72,212,46.0,73.0,82.0,80,82,17.0033,16.0724,17.0729,18.3621,17.2248,0.09712499999999835
Kevin Shattenkirk 2023,Kevin Shattenkirk,2023,D,33.671,72,212,73.0,82.0,80.0,82,75,16.0724,17.0729,18.3621,17.2248,16.1822,-1.0008499999999998
Brendan Smith 2017,Brendan Smith,2017,D,27.645,74,200,58.0,71.0,76.0,63,51,15.9475,17.4009,16.4171,15.8566,16.416,0.010474999999999568
Brendan Smith 2018,Brendan Smith,2018,D,28.644,74,200,71.0,76.0,63.0,51,44,17.4009,16.4171,15.8566,16.416,15.6936,-0.8290499999999987
Brendan Smith 2019,Brendan Smith,2019,D,29.644,74,200,76.0,63.0,51.0,44,63,16.4171,15.8566,16.416,15.6936,13.6521,-2.4437250000000006
Brendan Smith 2020,Brendan Smith,2020,D,30.643,74,200,63.0,51.0,44.0,63,73,15.8566,16.416,15.6936,13.6521,8.9782,-6.426375000000002
Brendan Smith 2021,Brendan Smith,2021,D,31.645,74,200,51.0,44.0,63.0,73,70,16.416,15.6936,13.6521,8.9782,14.9361,1.251125
Brendan Smith 2022,Brendan Smith,2022,D,32.644,74,200,44.0,63.0,73.0,70,45,15.6936,13.6521,8.9782,14.9361,12.8126,-0.5023999999999997
Brendan Smith 2023,Brendan Smith,2023,D,33.644,74,200,63.0,73.0,70.0,45,60,13.6521,8.9782,14.9361,12.8126,13.9264,1.3316499999999998
Robert Bortuzzo 2022,Robert Bortuzzo,2022,D,32.54,76,216,72.0,59.0,49.0,58,73,13.4095,13.0585,10.5873,12.435,11.5667,-0.8058750000000003
Robert Bortuzzo 2023,Robert Bortuzzo,2023,D,33.54,76,216,59.0,49.0,58.0,73,43,13.0585,10.5873,12.435,11.5667,10.6473,-1.2645750000000007
Ryan McDonagh 2015,Ryan McDonagh,2015,D,25.301,73,215,40.0,82.0,80.0,77,71,17.1,21.0465,20.9723,19.1851,18.2033,-1.372675000000001
Ryan McDonagh 2016,Ryan McDonagh,2016,D,26.301,73,215,82.0,80.0,77.0,71,73,21.0465,20.9723,19.1851,18.2033,17.7336,-2.1182000000000016
Ryan McDonagh 2017,Ryan McDonagh,2017,D,27.303,73,215,80.0,77.0,71.0,73,77,20.9723,19.1851,18.2033,17.7336,18.9195,-0.1040750000000017
Ryan McDonagh 2018,Ryan McDonagh,2018,D,28.302,73,215,77.0,71.0,73.0,77,63,19.1851,18.2033,17.7336,18.9195,18.5325,0.022124999999999062
Ryan McDonagh 2019,Ryan McDonagh,2019,D,29.301,73,215,71.0,73.0,77.0,63,82,18.2033,17.7336,18.9195,18.5325,18.2787,-0.0685249999999975
Ryan McDonagh 2020,Ryan McDonagh,2020,D,30.301,73,215,73.0,77.0,63.0,82,58,17.7336,18.9195,18.5325,18.2787,17.1747,-1.1913749999999972
Ryan McDonagh 2021,Ryan McDonagh,2021,D,31.303,73,215,77.0,63.0,82.0,58,73,18.9195,18.5325,18.2787,17.1747,18.5717,0.3453499999999998
Ryan McDonagh 2022,Ryan McDonagh,2022,D,32.302,73,215,63.0,82.0,58.0,73,71,18.5325,18.2787,17.1747,18.5717,18.7761,0.6366999999999976
Ryan McDonagh 2023,Ryan McDonagh,2023,D,33.301,73,215,82.0,58.0,73.0,71,71,18.2787,17.1747,18.5717,18.7761,18.2955,0.09520000000000195
Jake Muzzin 2017,Jake Muzzin,2017,D,27.609,75,227,76.0,76.0,76.0,82,82,15.5785,16.1474,19.2246,18.2315,17.7295,0.43400000000000105
Jake Muzzin 2018,Jake Muzzin,2018,D,28.609,75,227,76.0,76.0,82.0,82,74,16.1474,19.2246,18.2315,17.7295,17.0559,-0.7773499999999984
Jake Muzzin 2019,Jake Muzzin,2019,D,29.608,75,227,76.0,82.0,82.0,74,80,19.2246,18.2315,17.7295,17.0559,18.3869,0.3265250000000002
Jake Muzzin 2020,Jake Muzzin,2020,D,30.607,75,227,82.0,82.0,74.0,80,62,18.2315,17.7295,17.0559,18.3869,18.6925,0.841549999999998
