,Player,Position,Age,Height,Weight,Projected A1,Projected A2,Projected Assists,StDev,5th Percentile,95th Percentile,90A Probability,80A Probability,70A Probability,60A Probability,50A Probability,40A Probability,30A Probability
604,Justin Barron,D,21.9,74,201,3.6163298313983900,4.260235206820630,7.8765650382190200,1.914482764750860,4.773582139884800,10.71867964694790,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,Cal Clutterbuck,R,35.9,72,212,3.5819169450582800,3.7733150040897400,7.355231949148020,2.1853999566103000,5.071144305719680,11.972387407916200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,Nathan Walker,L,29.6,69,187,3.5589873769026900,2.647834084531970,6.206821461434660,1.965666521342330,4.16332101978246,9.243557517968540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,Dylan Holloway,L,22.0,73,203,3.5159783368506100,2.973524179287370,6.489502516137980,1.4749588739822900,4.168805163353700,8.872981059758700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,Elmer Soderblom,L,22.2,80,246,3.523760492433570,3.4700708153462000,6.993831307779770,1.5735213713411500,4.191483911896700,9.212320756711890,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609,Jake Walman,D,27.6,74,215,3.5430488522001600,5.089161359364820,8.632210211564970,1.5755318144439200,6.046791562839640,11.270574784668800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,Danil Gushchin,L,21.6,68,165,3.552326461266260,2.7969547368638000,6.349281198130060,1.551935787427620,3.7568815296290000,8.61214399358441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,Karson Kuhlman,C,28.0,70,184,3.6013393700287900,4.025407395407030,7.626746765435820,1.476564539016270,5.583610297928280,10.314407861745500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,Julien Gauthier,R,26.0,76,224,3.6259143960745000,2.766687394948680,6.392601791023170,1.3232946029591800,4.608234563164690,8.89083566007335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,Pierre-Edouard Bellemare,L,38.6,71,198,3.649851216705800,2.7390024359892900,6.3888536526950900,1.4147533077957700,4.3653537886655600,8.948597728200960,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,Nicholas Robertson,L,22.1,69,183,3.653871281989120,4.355511407532920,8.009382689522040,2.7056837884392700,4.251913003138640,12.4284663853202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,Jakob Pelletier,L,22.6,69,170,3.6871163229928800,2.6779199566904100,6.3650362796832800,1.5426057960027100,3.4657125868555900,8.634726013356590,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,Kurtis MacDermid,D,29.5,77,233,3.7057429494450300,4.293599918193700,7.999342867638720,1.977758874371920,5.159883845966930,11.501367285854000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,Shane Wright,C,19.7,72,192,3.7245467614525700,4.373598022809030,8.098144784261600,3.7969711373960200,3.5766481417810800,14.980783975018700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,Steven Lorentz,C,27.5,76,206,3.7532660958561400,5.211358404996480,8.964624500852620,1.4416844113522000,6.72851544984704,11.397576564667700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,Josh Archibald,R,31.0,70,176,3.7835844228820000,3.0836265044804100,6.867210927362410,1.7658763288378300,3.959237130055580,9.92764663589088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,Tucker Poolman,D,30.3,74,199,3.8209829903672800,1.7667756769558300,5.587758667323110,2.5128617678919000,2.207192212893220,10.296164562040200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,MacKenzie Entwistle,R,24.2,75,184,3.767413441108330,4.222103476911090,7.989516918019420,1.377658545110620,5.248331501665970,9.583665227801960,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,Justin Danforth,R,30.5,69,190,3.7852047918337400,1.6182950108385000,5.403499802672250,2.02680054589831,2.4813376298025300,9.009492685763960,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623,Kevin Bahl,D,23.3,78,230,3.7949312253751800,4.699901606249580,8.494832831624750,2.4272560642436100,5.4074826470941600,13.110086841878400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624,Pontus Holmberg,R,24.6,72,202,3.776175978349000,2.0736259220740900,5.849801900423080,1.997806778438210,3.150044343997180,9.22511190071159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,Jack Drury,C,23.7,71,174,3.7664296824431000,2.765991657812680,6.53242134025578,1.5678984923472200,3.9963557470446700,9.09657108709182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,Connor McMichael,C,22.7,72,180,3.756721797288030,2.2071167354220700,5.9638385327101000,2.145728445019710,3.2253973261001200,10.038997219353300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,Erik Johnson,D,35.5,76,225,3.7457215695700100,4.5834954676483200,8.32921703721833,1.4670545509544500,5.743184624433570,10.602941141928000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,Jakub Lauko,C,23.5,72,196,3.722830405627080,1.6081563039712500,5.3309867095983200,1.6524288690591600,2.9275536834801900,8.369497879900220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,Calle Rosen,D,29.7,73,188,3.702173266459300,4.42984834553549,8.13202161199479,2.004592038817270,5.180455144831330,11.708355273240600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,Drew O'Connor,L,25.3,75,200,3.673083828020680,2.7633682207872500,6.436452048807920,1.5000030215085200,4.2317551113140000,9.256855220698240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631,Mason Shaw,C,24.9,70,184,3.645981070871260,2.745403411798960,6.3913844826702100,1.594519493450970,4.0054447817072900,9.333639042829030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,Arber Xhekaj,D,22.7,76,238,3.6189908448548700,3.3392080404837500,6.958198885338620,1.4972904320838700,4.548327253717230,9.42919445066747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,Liam O'Brien,C,29.2,73,213,3.5690646401713300,2.753392672358670,6.322457312530000,1.861106136523040,3.74071839293631,9.83714739206683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634,Thomas Harley,D,22.1,75,205,3.5277164462626900,4.065699131425190,7.593415577687880,2.389463065366830,4.394032812346070,12.01974658877030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
635,Alex Vlasic,D,22.3,78,199,3.492050647076070,2.6253250860189300,6.1173757330949900,1.7233195445436600,3.57388225197336,8.896265752759270,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,Mike Reilly,D,30.2,73,196,3.459910983009740,5.0857477885635100,8.545658771573260,2.144348887910670,5.562444307099870,12.553844692327300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,Derek Stepan,C,33.3,71,196,3.4254359601930400,2.7751293208937800,6.200565281086810,1.4200285839197200,3.853412714671940,8.665563864556370,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638,Jacob MacDonald,D,30.6,72,204,3.3991093513331500,4.339933423054090,7.739042774387240,1.853658174603960,4.92610902629397,11.052420710736900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,Brendan Smith,D,34.6,74,200,3.3658320052517700,5.210844682992870,8.576676688244640,1.5698049963833400,6.230360489778820,11.439614421712900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,Andrew Agozzino,L,32.7,70,187,3.345038276641530,2.720567772199550,6.065606048841080,2.4858253131264100,2.527417046999270,10.375246502101100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,Aleksi Heponiemi,C,24.7,70,155,3.333098233802710,2.81345013376673,6.146548367569440,34.289526446931100,2.965438323011760,75.59985897961410,0.037,0.045,0.057,0.069,0.082,0.104,0.14
642,Jansen Harkins,C,26.4,73,182,3.3291137476933500,2.762956287363850,6.092070035057200,1.443411540840960,4.000030724446390,8.63594124031456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,Joey Anderson,R,25.3,72,207,3.3287950808036800,1.5250278233822200,4.853822904185900,1.3340420958604100,2.8441877251272300,7.209690916726640,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,Chad Ruhwedel,D,33.4,71,191,3.3259137969086100,5.9636210642790100,9.289534861187620,1.5614300292796900,6.935109925591420,11.936956082065600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,Dylan Samberg,D,24.7,76,219,3.3195679739450700,4.386537657930250,7.706105631875320,32.16703935517400,5.771632247585860,73.2675245251736,0.036,0.045,0.059,0.072,0.086,0.115,0.149
646,Samuel Fagemo,L,23.5,72,200,3.3041327756627400,1.4008663453343800,4.704999120997120,1.4473052753588600,2.512584087863440,7.155953893367990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,Sean Farrell,C,21.9,69,175,3.294357059059780,2.2999117035536200,5.594268762613400,1.4317737468523300,3.43540878962271,8.037093211651650,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,Simon Benoit,D,25.0,75,203,3.2843867338434600,6.055174501150270,9.339561234993720,1.494485002615030,6.775185989901110,11.612103013427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,Logan Brown,C,25.6,78,218,3.2831430747042300,2.7093911837943600,5.992534258498590,1.5516604679977000,3.3228789493632900,8.33473189167412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,Phillip Di Giuseppe,L,30.0,72,193,3.2908660094444900,2.7577983425292500,6.048664351973740,1.7448525899153400,3.5938057762285700,9.311679422506090,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,Axel Jonsson-Fjallby,L,25.6,73,189,3.302370668377490,2.7478279305966200,6.0501985989741200,1.5251471394621300,3.8170420910361000,8.795925750051370,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,Jaret Anderson-Dolan,C,24.1,71,200,3.321825476626920,2.172822497859850,5.4946479744867700,1.390138867646390,3.3646723005632600,7.828164893942690,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,Sam Carrick,C,31.7,72,200,3.325933380833530,2.773571541238870,6.0995049220724,1.2669030769711100,4.388683450459050,8.563128985839730,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,Marco Kasper,C,19.5,73,183,3.3456932088284300,2.7458829455233200,6.091576154351740,7.682574982946900,3.1414542374655900,25.27445115934700,0.0,0.0,0.0,0.0,0.0,0.0,0.015
655,Victor Soderstrom,D,22.6,71,184,3.3622871830001900,4.642870046167160,8.005157229167340,1.7962664004916100,4.969629485136660,10.865252561775600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,Dylan Coghlan,D,25.6,74,208,3.387777956057780,2.8369386063768200,6.224716562434600,1.5233516821536000,3.6724315904995100,8.696904741789720,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,Kiefer Sherwood,L,28.5,72,194,3.394953511224810,2.1920367014836500,5.586990212708460,1.4332810643247400,3.2949237871366900,7.785101100343050,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,Walker Duehr,R,25.9,74,210,3.4329824269614000,1.3761297521134800,4.809112179074880,1.4996912668536200,2.6438125492972400,7.4412270284511400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,Colton White,D,26.4,73,187,3.4636067848321500,3.3503635636773100,6.813970348509460,1.7852015430735300,4.361511475145720,10.017966265060500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,Austin Watson,L,31.7,76,204,3.4605956260805100,3.705073589056040,7.165669215136560,1.2525287997121300,4.929693559917360,8.935800465872210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,Zack MacEwen,C,27.2,75,205,3.4640503462745200,3.7497430042583200,7.213793350532840,1.2405223885745400,5.529740193426020,9.607915585937910,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,Austin Czarnik,C,30.8,69,170,3.4638991458387100,1.6548635654896000,5.1187627113283200,1.5043554219689200,2.8993818166915000,7.769011338334720,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,Hunter McKown,C,21.1,73,205,3.4577965639739400,2.7515720685501900,6.209368632524130,1.891648401518070,3.0774946580734800,8.81535910475513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,Brandt Clarke,D,20.6,74,185,3.424605433917040,2.71375470813958,6.138360142056620,1.7131066527476500,3.2115752065237400,8.994495926069680,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,Kyle Burroughs,D,28.2,72,193,3.4082864457833100,3.3798969706706100,6.7881834164539100,1.4754810763428200,4.382404579733800,9.20472312591248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,Gustav Lindstrom,D,24.9,74,186,3.384870517900740,4.3733725138115000,7.75824303171224,1.8138473844526600,5.229187902542780,11.013104438149100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667,Ville Heinola,D,22.7,71,181,3.3497742941475100,2.5748214062778500,5.924595700425350,1.8338387005517500,3.1325962844119400,8.99760950224531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,Brendan Gaunce,C,29.5,75,219,3.3112984216879100,1.183107244521340,4.494405666209260,1.7262650107684100,2.1972195693601600,7.589161258601660,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,Derrick Pouliot,D,29.7,72,196,3.2589916304280400,3.3307008519698300,6.589692482397870,1.8774806639033500,3.654675122283320,9.79427740436228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,Calvin de Haan,D,32.4,73,195,3.2202445868131900,4.431064779842940,7.651309366656130,1.5027156140920400,5.3189926080301700,10.19246802551870,0.0,0.0,0.0,0.0,0.0,0.0,0.0
671,Mac Hollowell,D,25.0,69,170,3.186470040330230,3.6836087712499200,6.870078811580150,2.6077777620711200,2.877015202300560,11.263667801827100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,A.J. Greer,L,26.8,75,208,3.148407055886910,2.2189889922039900,5.367396048090900,1.567285251721250,3.325064071575950,8.401116043812250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,Casey Fitzgerald,D,26.6,71,188,3.1191844176718600,2.910099716271800,6.0292841339436700,1.5086075788279900,3.7058940801612700,8.66864023300079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,Jonas Rondbjerg,R,24.5,74,203,3.0825625660099000,1.459278861358340,4.541841427368240,1.3784467649194800,2.5719446658384900,7.131218388603920,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,Ben Hutton,D,30.4,75,201,3.0547151149109900,3.5461330604183900,6.600848175329380,1.1953350942058000,4.8163179523913600,8.801443950258900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,Robert Hagg,D,28.6,74,210,3.015114307983930,3.0302444253937300,6.0453587333776600,1.0951420367438400,4.237990405237850,7.795565906031330,0.0,0.0,0.0,0.0,0.0,0.0,0.0
