,Player,Projected Goals,Projected A1,Projected A2,Projected Assists,Projected Points,StDev,5th Percentile,95th Percentile,150P Probability,140P Probability,130P Probability,120P Probability,110P Probability,100P Probability,90P Probability,80P Probability,70P Probability,60P Probability,50P Probability,40P Probability,30P Probability
522,Jesse Ylonen,5.253656681602280,4.67593931092477,3.7821095407686400,8.458048851693410,13.711705533295700,3.8524668899280000,7.736649365456920,20.16794065835360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
523,Brett Leason,5.266845426625590,3.0091366662280800,2.1017347440958400,5.110871410323920,10.377716836949500,2.3518746216353400,6.724847075408270,14.517727387133000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,Thomas Bordeleau,5.241957125059560,6.057413168569480,4.342197366766470,10.399610535335900,15.64156766039550,3.316260401929670,9.217480975423150,20.300011128249800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,Pat Maroon,5.200086152666990,6.058337398729540,5.1155825566614000,11.173919955390900,16.374006108057900,4.810930460862700,16.023235104911100,30.307323598277400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.058
526,Ethan Bear,5.21479119033225,6.821080429500200,7.182250917081340,14.003331346581500,19.21812253691380,2.299489811206170,14.855245784801200,22.418717055083900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,Tomas Nosek,5.214826218965750,4.362213150259080,4.435959334933260,8.798172485192340,14.012998704158100,2.5382612941747200,9.602676403782330,17.72552577693440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,Jake Middleton,5.1992668913678700,6.903049441211710,7.765109817989520,14.668159259201200,19.867426150569100,27.477435390372200,15.730902441006800,26.80203384417630,0.018,0.018,0.019,0.021,0.023,0.025,0.026,0.027,0.027,0.027,0.029,0.03,0.04
529,Derek Stepan,5.128988587464770,3.4254359601930400,2.7751293208937800,6.200565281086810,11.329553868551600,2.486274307470920,7.242023648499080,15.395747921777000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530,Josh Leivo,5.12303277443888,5.12217036811701,2.9474928494566000,8.06966321757361,13.192695992012500,3.0784329974576700,8.452801538528610,18.45248290138960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,Connor McMichael,5.109724372191790,3.756721797288030,2.2071167354220700,5.9638385327101000,11.073562904901900,3.4412726980655600,6.084185402779100,17.326842229616100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
