,Player,Position,Team,Age,Games,Average TOI,Goals,Primary Assists,Secondary Assists,Total Assists,Points
893,Luke Philp,C,CHI,27.9,18,10.0,1,2,1,3,4
894,Nick Swaney,RW,MIN,26.1,24,10.6,2,1,1,2,4
895,Dmitri Samorukov,D,STL,24.3,33,14.4,1,1,2,3,4
896,Ryan Murray,D,EDM,30,23,14.5,1,2,2,3,4
897,Vinni Lettieri,C,BOS,28.6,24,11.5,2,1,1,2,4
898,Adam Ginning,D,PHI,23.7,30,15.8,1,1,2,3,4
899,Frederic Allard,D,-,25.8,32,13.9,1,1,2,3,4
900,Glenn Gawdin,C,ANA,26.5,27,9.8,2,1,1,2,4
901,Parker Wotherspoon,D,NYI,26.1,26,14.1,1,1,2,3,4
902,Rourke Chartier,C,OTT,27.5,24,10.2,2,1,1,2,4
903,Tyler Benson,LW,EDM,25.5,29,9.5,1,1,1,3,4
904,Lucas Johansen,D,WSH,25.9,29,14.5,1,1,2,3,4
905,Charles Hudon,LW,COL,29.3,24,10.3,2,1,1,2,4
906,Brad Malone,C,EDM,34.4,27,9.4,2,1,1,2,4
907,Bobby McMann,C,TOR,27.3,19,10.3,2,1,1,2,4
908,Max Willman,C,PHI,28.6,22,10.3,2,1,1,2,4
909,Lawrence Pilut,D,-,27.8,27,13.9,1,1,2,3,4
910,Josh Dunne,C,CBJ,24.8,23,10.2,2,1,1,2,4
911,Bokondji Imama,LW,ARI,27.2,26,9.3,2,1,1,2,4
912,Maxence Guenette,D,OTT,22.4,28,15.1,1,1,2,3,4
913,Hayden Hodgson,RW,PHI,27.6,21,9.9,1,1,1,2,4
914,Jacob Moverare,D,LA,25.1,30,14.8,1,1,2,3,4
915,Dennis Gilbert,D,CGY,26.9,27,12.6,1,1,2,3,4
916,Matthew Kessel,D,STL,23.3,30,14.7,1,1,2,3,4
917,Byron Froese,C,VGK,32.6,19,10.1,2,1,1,2,4
918,Jacob Larsson,D,OTT,26.4,27,13.0,1,1,1,3,4
919,CJ Suess,LW,WIN,29.5,22,9.8,1,1,1,2,3
920,Justin Kirkland,C,ANA,27.2,22,9.3,1,1,1,2,3
921,Jeffrey Viel,LW,SJ,26.7,22,9.5,2,1,1,2,3
922,Callahan Burke,C,COL,26.5,22,10.0,1,1,1,2,3
923,Steven Santini,D,STL,28.6,20,13.8,0,2,1,3,3
924,Jeremy Davies,D,BUF,26.8,25,14.6,1,1,1,3,3
925,Cole Bardreau,C,NYI,30.2,20,9.7,1,1,1,2,3
926,Libor Hajek,D,NYR,25.7,27,13.6,1,1,1,2,3
927,Nick DeSimone,D,CGY,28.9,28,13.8,1,1,1,3,3
928,Anton Levtchi,LW,-,27.8,20,10.5,1,1,1,2,3
929,Markus Niemelainen,D,EDM,25.3,32,13.6,1,1,1,2,3
930,Jean-Sebastien Dea,C,ARI,29.6,19,10.1,1,1,1,2,3
931,Dakota Mermis,D,MIN,29.7,27,14.3,1,1,1,3,3
932,Ross Johnston,LW,ANA,29.6,23,8.7,1,2,1,2,3
933,Mark Borowiecki,D,-,34.2,26,14.0,1,1,1,2,3
934,Nikita Soshnikov,RW,-,30,19,10.5,1,1,1,2,3
935,Anton Blidh,LW,COL,28.6,23,9.3,1,1,1,2,3
936,Taylor Fedun,D,PIT,35.3,21,13.3,1,1,1,2,3
937,Dennis Cholowski,D,NYI,25.6,24,14.6,1,1,1,2,3
938,Taro Hirose,LW,DET,27.3,19,11.0,1,1,1,2,3
939,Austin Strand,D,ANA,26.6,24,13.8,1,1,1,2,3
940,Maxime Lajoie,D,CAR,25.9,27,12.4,1,1,1,2,3
941,Jason Demers,D,EDM,35.3,24,14.3,1,1,1,2,3
942,Dan Renouf,D,BOS,29.3,23,13.3,1,1,1,2,3
943,Gustav Olofsson,D,SEA,28.8,26,13.3,1,1,1,2,3
944,Noah Juulsen,D,VAN,26.5,23,14.6,1,1,1,2,3
945,Roland McKeown,D,NSH,27.7,24,13.9,1,1,1,2,3
946,Dylan McIlrath,D,WSH,31.4,19,14.1,0,1,2,2,3
947,Billy Sweezey,D,CBJ,27.6,18,15.4,0,1,1,2,3
948,Kevin Gravel,D,NSH,31.6,21,14.6,1,1,1,2,3
949,Alex Barre-Boulet,C,TB,26.4,21,11.2,1,1,1,1,3
950,Dillon Heatherington,D,OTT,28.4,21,13.3,1,1,1,2,2
